game_date,final_games,games_with_events,missing_games
2025-03-18,12,10,2
2025-03-19,13,0,13
2025-03-20,11,0,11
2025-03-21,18,0,18
2025-03-22,16,0,16
2025-03-23,16,0,16
2025-03-24,14,0,14
2025-03-25,10,0,10
2025-03-27,14,0,14
2025-03-28,9,0,9
2025-03-29,15,0,15
2025-03-30,13,0,13
2025-03-31,14,0,14
2025-08-01,15,0,15
2025-08-02,15,0,15
2025-08-03,14,0,14
2025-08-04,13,0,13
2025-08-05,15,0,15
2025-08-06,15,0,15
2025-08-07,4,0,4
2025-08-08,15,0,15
2025-08-09,16,0,16
2025-08-10,15,0,15
2025-08-11,11,0,11
2025-08-12,15,0,15
2025-08-13,15,0,15
2025-08-14,7,0,7
2025-08-15,15,0,15
2025-08-16,15,0,15
2025-08-17,15,0,15
2025-08-18,12,0,12
2025-08-19,16,0,16
2025-08-20,14,0,14
2025-08-21,9,0,9
2025-08-22,15,0,15
2025-08-23,14,0,14
2025-08-24,15,0,15
2025-08-25,13,0,13
2025-08-26,15,0,15
2025-08-27,15,0,15
2025-08-28,8,0,8
2025-08-29,15,0,15
2025-08-30,15,0,15
2025-08-31,15,0,15
2025-09-01,13,0,13
2025-09-02,14,0,14
2025-09-03,15,0,15
2025-09-04,6,0,6
2025-09-05,15,0,15
2025-09-06,15,0,15
2025-09-07,15,0,15
2025-09-08,11,0,11
2025-09-09,15,0,15
2025-09-10,15,0,15
2025-09-11,9,0,9
2025-09-12,15,0,15
2025-09-13,15,0,15
2025-09-14,15,0,15
2025-09-15,9,0,9
2025-09-16,16,0,16
2025-09-17,15,0,15
2025-09-18,10,0,10
2025-09-19,15,0,15
2025-09-20,16,0,16
2025-09-21,15,0,15
2025-09-22,3,0,3
2025-09-23,15,0,15
2025-09-24,15,0,15
2025-09-25,12,0,12
2025-09-26,15,0,15
2025-09-27,15,0,15
2025-09-28,15,0,15
2025-09-30,4,0,4
2025-10-01,4,0,4
2025-10-02,3,0,3
2025-10-04,4,0,4
2025-10-05,2,0,2
2025-10-06,2,0,2
2025-10-07,2,0,2
2025-10-08,4,0,4
2025-10-09,2,0,2
2025-10-10,1,0,1
2025-10-11,1,0,1
2025-10-12,1,0,1
2025-10-13,2,0,2
2025-10-14,1,0,1
2025-10-15,1,0,1
2025-10-16,2,0,2
2025-10-17,2,0,2
2025-10-19,1,0,1
2025-10-20,1,0,1
2025-10-24,1,0,1
2025-10-25,1,0,1
2025-10-27,1,0,1
2025-10-28,1,0,1
2025-10-29,1,0,1
2025-10-31,1,0,1
