blocked_reason,runs_needed_team_bucket,count,settled_count,wins,losses,hold_win_rate,avg_hold_pnl_cents,total_hold_pnl_cents,total_risk_cents,hold_roi_on_risk,avg_delta_1m,avg_delta_3m,avg_delta_5m,avg_delta_10m,favorable_1m_rate,favorable_5m_rate,avg_mfe_10m,avg_mae_10m,avg_baseball_support_score,avg_overall_watch_score,avg_runs_needed_team,avg_runs_needed_total,avg_spread_cents
team_lag_observe_only,need_4,37,37,6,31,0.1622,-18.27,-676.0,1276.0,-0.5298,15.216,16.5,16.458,16.403,0.8919,0.9167,20.953,15.609,50.838,53.843,4.0,0.189,5.514
missing,missing,33,33,16,17,0.4848,15.606,515.0,1085.0,0.4747,17.121,17.121,17.121,17.121,0.5152,0.5152,15.323,15.323,41.879,58.155,,4.121,1.545
rally_still_active,need_5,31,31,3,28,0.0968,-12.935,-401.0,701.0,-0.572,27.387,27.387,27.733,26.7,1.0,1.0,27.278,19.963,47.645,48.265,5.0,-0.032,7.0
team_lag_observe_only,need_5,30,30,5,25,0.1667,-8.133,-244.0,744.0,-0.328,24.948,25.276,24.207,25.276,0.9655,0.9655,27.154,17.25,50.367,51.047,5.0,1.333,6.533
team_lag_observe_only,need_7_plus,29,29,0,29,0.0,-15.862,-460.0,460.0,-1.0,33.259,34.138,31.929,32.148,1.0,1.0,34.269,22.481,52.552,53.531,7.379,3.586,5.828
rally_still_active,need_7_plus,26,26,0,26,0.0,-13.615,-354.0,354.0,-1.0,36.174,35.909,35.909,34.237,1.0,1.0,35.938,21.25,47.923,52.592,7.423,4.192,5.269
rally_still_active,need_4,26,26,4,22,0.1538,-17.346,-451.0,851.0,-0.53,17.212,17.827,17.269,17.391,0.9231,0.9231,19.658,15.395,46.577,50.7,4.0,-0.269,5.962
team_lag_observe_only,need_6,24,24,1,23,0.0417,-16.208,-389.0,489.0,-0.7955,29.625,27.979,29.625,29.625,1.0,1.0,30.263,20.947,50.542,51.638,6.0,3.125,6.333
rally_still_active,missing,24,24,10,14,0.4167,3.458,83.0,917.0,0.0905,11.792,11.792,11.792,11.792,0.4583,0.4583,10.348,10.348,41.375,57.871,,3.292,1.583
team_lag_observe_only,need_2,23,23,12,11,0.5217,-11.913,-274.0,1474.0,-0.1859,-12.818,-11.432,-12.818,-11.545,0.1364,0.1364,-3.3,-13.5,51.087,54.217,2.0,-2.217,5.304
rally_still_active,need_2,21,21,9,12,0.4286,-22.429,-471.0,1371.0,-0.3435,-15.286,-15.286,-15.286,-15.286,0.1429,0.1429,-3.147,-15.412,49.095,50.995,2.0,-3.286,6.095
rally_still_active,need_1,19,19,12,7,0.6316,-15.579,-296.0,1496.0,-0.1979,-24.816,-27.974,-28.737,-27.605,0.0526,0.0,-8.658,-28.737,49.368,53.621,1.0,-6.158,4.842
rally_still_active,need_6,18,18,1,17,0.0556,-15.333,-276.0,376.0,-0.734,28.147,27.088,28.147,29.125,1.0,1.0,29.583,22.0,48.556,47.994,6.0,2.389,7.278
team_lag_observe_only,need_3,18,18,6,12,0.3333,-14.722,-265.0,865.0,-0.3064,3.167,1.944,3.167,1.944,0.5556,0.5556,16.833,4.267,51.333,57.483,3.0,-0.556,4.167
rally_still_active,need_3,17,17,2,15,0.1176,-29.235,-497.0,697.0,-0.7131,9.0,10.312,10.312,10.267,0.7059,0.75,12.867,7.533,46.471,53.288,3.0,-2.588,4.941
team_lag_observe_only,need_1,11,11,6,5,0.5455,-24.455,-269.0,869.0,-0.3096,-29.0,-29.0,-25.864,-29.0,0.0,0.0909,-4.9,-28.3,52.0,53.018,1.0,-3.545,5.364
market_nearly_settled,missing,9,9,3,6,0.3333,-7.444,-67.0,367.0,-0.1826,9.222,9.222,9.222,9.222,0.4444,0.4444,9.222,9.222,40.222,57.233,,1.444,1.667
team_lag_blowout,need_1,8,8,6,2,0.75,0.0,0.0,600.0,0.0,-25.0,-25.0,-17.714,-25.0,0.0,0.2857,-12.25,-25.0,49.5,45.6,1.0,-9.25,8.125
team_lag_blowout,need_3,7,7,0,7,0.0,-32.0,-224.0,224.0,-1.0,18.333,18.333,18.333,18.333,1.0,1.0,22.5,17.25,48.143,47.743,3.0,-6.429,7.286
