context_lane,count,settled_count,wins,losses,hold_win_rate,avg_hold_pnl_cents,total_hold_pnl_cents,total_risk_cents,hold_roi_on_risk,avg_delta_1m,avg_delta_3m,avg_delta_5m,avg_delta_10m,favorable_1m_rate,favorable_5m_rate,avg_mfe_10m,avg_mae_10m,avg_baseball_support_score,avg_overall_watch_score,avg_runs_needed_team,avg_runs_needed_total,avg_spread_cents
trailing_team_total_lag_watch|team_runs_need_4|middle_4_6|selected_trailing,84,84,7,77,0.0833,-28.548,-2398.0,3098.0,-0.774,13.145,13.439,13.323,12.903,0.759,0.7561,14.726,10.486,47.56,44.5,4.0,-2.25,18.798
trailing_team_total_lag_watch|team_runs_need_5|middle_4_6|selected_trailing,78,78,6,72,0.0769,-20.564,-1604.0,2204.0,-0.7278,21.519,21.643,21.007,21.473,0.8571,0.8514,21.09,12.269,48.462,44.722,5.0,-0.833,15.603
trailing_team_total_lag_watch|team_runs_need_2|middle_4_6|selected_trailing,59,59,27,32,0.4576,-17.492,-1032.0,3732.0,-0.2765,-13.254,-12.623,-13.375,-12.636,0.1017,0.1071,-1.8,-13.64,49.136,45.697,2.0,-4.322,14.085
trailing_team_total_lag_watch|team_runs_need_3|middle_4_6|selected_trailing,57,57,9,48,0.1579,-27.982,-1595.0,2495.0,-0.6393,6.736,6.788,7.62,7.021,0.6909,0.72,11.922,4.824,47.684,46.719,3.0,-2.965,14.965
trailing_team_total_lag_watch|team_runs_need_7_plus|early_1_3|selected_trailing,51,51,0,51,0.0,-28.0,-1428.0,1428.0,-1.0,19.776,20.602,20.615,19.177,0.7959,0.8333,22.697,10.934,51.706,45.608,7.431,3.843,18.529
trailing_team_total_lag_watch|team_runs_need_1|middle_4_6|selected_trailing,44,44,28,16,0.6364,-14.5,-638.0,3438.0,-0.1856,-26.443,-27.872,-26.221,-27.709,0.0227,0.0698,-10.267,-27.953,49.909,49.882,1.0,-6.136,8.295
trailing_team_total_lag_watch|team_runs_need_7_plus|middle_4_6|selected_trailing,36,36,0,36,0.0,-22.611,-814.0,814.0,-1.0,25.114,26.529,26.682,27.107,0.8286,0.8788,26.133,14.967,43.278,45.75,7.333,2.861,15.917
trailing_team_total_lag_watch|team_runs_need_6|early_1_3|selected_trailing,35,35,1,34,0.0286,-29.857,-1045.0,1145.0,-0.9127,15.706,15.926,16.456,16.676,0.7647,0.7941,15.214,7.018,50.343,44.914,6.0,2.743,18.886
trailing_team_total_lag_watch|team_runs_need_4|early_1_3|selected_trailing,33,33,6,27,0.1818,-33.455,-1104.0,1704.0,-0.6479,-1.409,-1.359,-1.406,-1.312,0.5152,0.5312,1.519,-2.796,51.152,48.209,4.0,0.152,16.182
trailing_team_total_lag_watch|team_runs_need_5|early_1_3|selected_trailing,27,27,5,22,0.1852,-30.222,-816.0,1316.0,-0.6201,1.259,1.259,1.259,1.259,0.5185,0.5185,2.25,-2.125,50.074,42.396,5.0,1.296,25.741
trailing_team_total_lag_watch|team_runs_need_6|middle_4_6|selected_trailing,27,27,1,26,0.037,-24.148,-652.0,752.0,-0.867,22.148,19.444,20.685,22.231,0.8148,0.7778,20.522,8.565,46.444,45.637,6.0,1.185,17.407
trailing_team_total_lag_watch|team_runs_need_2|early_1_3|selected_trailing,21,21,19,2,0.9048,10.143,213.0,1687.0,0.1263,-29.75,-29.75,-29.75,-29.75,0.0,0.0,-23.333,-29.667,51.19,42.976,2.0,-1.381,23.762
trailing_team_total_lag_watch|team_runs_need_3|early_1_3|selected_trailing,21,21,13,8,0.619,-10.143,-213.0,1513.0,-0.1408,-22.048,-22.048,-22.048,-22.048,0.0952,0.0952,-9.125,-23.062,49.571,42.743,3.0,-0.381,26.429
full_game_total_extreme_reprice_watch|total_runs_need_7_plus|early_1_3|low_total_0_2,11,11,11,0,1.0,42.0,462.0,638.0,0.7241,-8.0,-8.0,-8.0,-8.0,0.0,0.0,-8.0,-8.0,50.0,62.5,,7.818,1.0
full_game_total_extreme_reprice_watch|total_runs_need_2|middle_4_6|low_total_0_2,9,9,0,9,0.0,-5.0,-45.0,45.0,-1.0,45.0,45.0,45.0,45.0,1.0,1.0,45.0,45.0,22.0,47.1,,2.0,3.0
f5_total_overreaction_fade_watch|total_runs_need_1|early_1_3|low_total_0_2,9,9,0,9,0.0,-14.0,-126.0,126.0,-1.0,36.0,36.0,36.0,36.0,1.0,1.0,36.0,36.0,48.0,61.9,,1.0,1.0
full_game_total_extreme_reprice_watch|total_runs_need_7_plus|middle_4_6|low_total_0_2,7,7,7,0,1.0,42.0,294.0,406.0,0.7241,-8.0,-8.0,-8.0,-8.0,0.0,0.0,-8.0,-8.0,50.0,62.5,,7.0,1.0
full_game_total_extreme_reprice_watch|total_runs_need_5|late_7_9|medium_total_3_5,7,7,7,0,1.0,42.0,294.0,406.0,0.7241,-8.0,-8.0,-8.0,-8.0,0.0,0.0,-8.0,-8.0,50.0,62.5,,5.0,1.0
full_game_total_extreme_reprice_watch|total_runs_already_cleared|late_7_9|medium_total_3_5,5,5,0,5,0.0,-5.0,-25.0,25.0,-1.0,45.0,45.0,45.0,45.0,1.0,1.0,45.0,45.0,22.0,47.1,,0.0,3.0
full_game_total_extreme_reprice_watch|total_runs_already_cleared|late_7_9|very_high_total_9_plus,5,5,0,5,0.0,-82.0,-410.0,410.0,-1.0,-32.0,-32.0,-32.0,-32.0,0.0,0.0,-32.0,-32.0,49.0,62.2,,-0.8,1.0
full_game_total_extreme_reprice_watch|total_runs_need_7_plus|late_7_9|low_total_0_2,4,4,4,0,1.0,42.0,168.0,232.0,0.7241,-8.0,-8.0,-8.0,-8.0,0.0,0.0,-8.0,-8.0,50.0,62.5,,7.0,1.0
full_game_total_extreme_reprice_watch|total_runs_need_1|late_7_9|low_total_0_2,3,3,0,3,0.0,-5.0,-15.0,15.0,-1.0,45.0,45.0,45.0,45.0,1.0,1.0,45.0,45.0,22.0,47.1,,1.0,3.0
full_game_total_extreme_reprice_watch|total_runs_need_2|late_7_9|low_total_0_2,2,2,0,2,0.0,-5.0,-10.0,10.0,-1.0,45.0,45.0,45.0,45.0,1.0,1.0,45.0,45.0,22.0,47.1,,2.0,3.0
f5_total_overreaction_fade_watch|total_runs_already_cleared|early_1_3|low_total_0_2,2,2,0,2,0.0,-14.0,-28.0,28.0,-1.0,36.0,36.0,36.0,36.0,1.0,1.0,36.0,36.0,48.0,61.9,,0.0,1.0
f5_total_overreaction_fade_watch|total_runs_already_cleared|middle_4_6|low_total_0_2,2,2,0,2,0.0,-14.0,-28.0,28.0,-1.0,36.0,36.0,36.0,36.0,1.0,1.0,36.0,36.0,48.0,61.9,,0.0,1.0
trailing_team_total_lag_watch|team_runs_need_1|early_1_3|selected_trailing,1,1,1,0,1.0,20.0,20.0,80.0,0.25,-30.0,-30.0,-30.0,-30.0,0.0,0.0,-30.0,-30.0,46.0,46.3,1.0,-4.0,8.0
