setup_id,setup_key,first_candidate_event_id,market_ticker,derivative_type,paper_status,entry_price_cents,outcome,good_entry_label,good_entry_score,net_pnl_cents,created_at
1,MIA@PIT|KXMLBTEAMTOTAL-26JUN141215MIAPIT-PIT4|team_total|team_total_lag,643,KXMLBTEAMTOTAL-26JUN141215MIAPIT-PIT4,team_total,no_entry_price,,unknown,,,,2026-06-15T00:03:27.729598
2,SD@BAL|KXMLBTEAMTOTAL-26JUN141335SDBAL-BAL3|team_total|team_total_lag,653,KXMLBTEAMTOTAL-26JUN141335SDBAL-BAL3,team_total,blocked_observation,,unknown,,,,2026-06-15T00:03:27.729739
3,ATL@NYM|KXMLBTEAMTOTAL-26JUN141340ATLNYM-ATL7|team_total|team_total_lag,656,KXMLBTEAMTOTAL-26JUN141340ATLNYM-ATL7,team_total,blocked_observation,,unknown,,,,2026-06-15T00:03:27.729791
4,NYY@TOR|KXMLBTEAMTOTAL-26JUN141337NYYTOR-TOR7|team_total|team_total_lag,658,KXMLBTEAMTOTAL-26JUN141337NYYTOR-TOR7,team_total,blocked_observation,,unknown,,,,2026-06-15T00:03:27.733902
5,HOU@KC|KXMLBTEAMTOTAL-26JUN141410HOUKC-HOU7|team_total|team_total_lag,685,KXMLBTEAMTOTAL-26JUN141410HOUKC-HOU7,team_total,blocked_observation,,unknown,,,,2026-06-15T00:03:27.734764
6,STL@MIN|KXMLBTOTAL-26JUN141410STLMIN-3|fg_total|market_overreaction,687,KXMLBTOTAL-26JUN141410STLMIN-3,fg_total,no_entry_price,,unknown,,,,2026-06-15T00:03:27.734829
7,PHI@MIL|KXMLBTEAMTOTAL-26JUN141410PHIMIL-PHI6|team_total|team_total_lag,695,KXMLBTEAMTOTAL-26JUN141410PHIMIL-PHI6,team_total,no_entry_price,,unknown,,,,2026-06-15T00:03:27.734903
8,COL@ATH|KXMLBTEAMTOTAL-26JUN141505COLATH-ATH2|team_total|team_total_lag,700,KXMLBTEAMTOTAL-26JUN141505COLATH-ATH2,team_total,no_entry_price,,unknown,,,,2026-06-15T00:03:27.734959
9,COL@ATH|KXMLBTEAMTOTAL-26JUN141505COLATH-COL8|team_total|team_total_lag,721,KXMLBTEAMTOTAL-26JUN141505COLATH-COL8,team_total,blocked_observation,,unknown,,,,2026-06-15T00:03:27.735070
10,LAD@CWS|KXMLBTEAMTOTAL-26JUN141410LADCWS-LAD3|team_total|team_total_lag,736,KXMLBTEAMTOTAL-26JUN141410LADCWS-LAD3,team_total,no_entry_price,,unknown,,,,2026-06-15T00:03:27.735157
11,CHC@SF|KXMLBTEAMTOTAL-26JUN141510CHCSF-CHC7|team_total|team_total_lag,749,KXMLBTEAMTOTAL-26JUN141510CHCSF-CHC7,team_total,no_entry_price,,unknown,,,,2026-06-15T00:03:27.735238
12,TB@LAA|KXMLBTEAMTOTAL-26JUN141607TBLAA-LAA6|team_total|team_total_lag,778,KXMLBTEAMTOTAL-26JUN141607TBLAA-LAA6,team_total,no_entry_price,,unknown,,,,2026-06-15T00:03:27.735370
13,TEX@BOS|KXMLBTEAMTOTAL-26JUN141920TEXBOS-BOS5|team_total|team_total_lag,786,KXMLBTEAMTOTAL-26JUN141920TEXBOS-BOS5,team_total,no_entry_price,,unknown,,,,2026-06-15T00:03:27.735436
