season,feature,feature_value,outcome,count,feature_rate,baseline_rate,lift
2023,BD_L10_bucket,avg_95_105,f5_total_4plus,716,0.6313,0.6342,-0.0029
2024,BD_L10_bucket,avg_95_105,f5_total_4plus,647,0.6136,0.6211,-0.0075
2025,BD_L10_bucket,avg_95_105,f5_total_4plus,662,0.6329,0.6226,0.0103
2023,BD_L10_bucket,avg_95_105,game_total_10plus,716,0.4106,0.4257,-0.0151
2024,BD_L10_bucket,avg_95_105,game_total_10plus,647,0.3972,0.3805,0.0167
2025,BD_L10_bucket,avg_95_105,game_total_10plus,662,0.3776,0.3911,-0.0135
2023,BD_L10_bucket,avg_95_105,game_total_9plus,716,0.5042,0.5237,-0.0195
2024,BD_L10_bucket,avg_95_105,game_total_9plus,647,0.4869,0.4863,0.0006
2025,BD_L10_bucket,avg_95_105,game_total_9plus,662,0.4819,0.4853,-0.0034
2023,BD_L10_bucket,avg_95_105,opponent_post5_runs_2plus,716,0.4958,0.4955,0.0003
2024,BD_L10_bucket,avg_95_105,opponent_post5_runs_2plus,647,0.4668,0.4773,-0.0105
2025,BD_L10_bucket,avg_95_105,opponent_post5_runs_2plus,662,0.4758,0.4701,0.0057
2023,BD_L10_bucket,avg_95_105,opponent_runs_4plus,716,0.5559,0.5745,-0.0186
2024,BD_L10_bucket,avg_95_105,opponent_runs_4plus,647,0.541,0.55,-0.009
2025,BD_L10_bucket,avg_95_105,opponent_runs_4plus,662,0.5393,0.5493,-0.01
2023,BD_L10_bucket,avg_95_105,opponent_runs_5plus,716,0.4441,0.4529,-0.0088
2024,BD_L10_bucket,avg_95_105,opponent_runs_5plus,647,0.4405,0.4252,0.0153
2025,BD_L10_bucket,avg_95_105,opponent_runs_5plus,662,0.3958,0.4166,-0.0208
2023,BD_L10_bucket,avg_95_105,team_f5_runs_2plus,716,0.6061,0.5945,0.0116
2024,BD_L10_bucket,avg_95_105,team_f5_runs_2plus,647,0.5966,0.5795,0.0171
2025,BD_L10_bucket,avg_95_105,team_f5_runs_2plus,662,0.5831,0.5754,0.0077
2023,BD_L10_bucket,avg_95_105,team_post5_runs_2plus,716,0.4888,0.4955,-0.0067
2024,BD_L10_bucket,avg_95_105,team_post5_runs_2plus,647,0.4884,0.4773,0.0111
2025,BD_L10_bucket,avg_95_105,team_post5_runs_2plus,662,0.4622,0.4701,-0.0079
