feature,feature_value,outcome,seasons_seen,season_count,total_count,min_season_count,avg_rate,avg_lift,min_lift,max_lift,stability_label
BO_plus_weak_BD_tag,yes,team_runs_5plus,"2023,2024,2025",3,2907,942,0.4744,0.0428,0.0389,0.0487,stable_positive_lift
avoid_low_BO_strong_BD_tag,yes,team_runs_5plus,"2023,2024,2025",3,3132,974,0.3869,-0.0447,-0.0566,-0.0307,stable_negative_lift
BO_event_bucket,very_high_115_plus,team_runs_5plus,"2023,2024,2025",3,2686,811,0.4715,0.04,0.0335,0.0481,mixed_or_noisy
avoid_low_BO_strong_BD_tag,yes,team_runs_4plus,"2023,2024,2025",3,3132,974,0.5197,-0.0383,-0.0653,-0.0142,mixed_or_noisy
BO_event_bucket,very_high_115_plus,team_won,"2023,2024,2025",3,2686,811,0.5357,0.0364,0.0302,0.047,mixed_or_noisy
big_inning_allowed_rate_L10_bucket,very_high_70_plus,opponent_runs_4plus,"2023,2024,2025",3,1036,329,0.5943,0.0364,0.0282,0.0502,mixed_or_noisy
reliever_appearances_last_2d_bucket,low_1_3,game_total_9plus,"2023,2024,2025",3,422,131,0.5346,0.0362,-0.0044,0.0976,mixed_or_noisy
BD_L10_bucket,very_low_lt_85,opponent_runs_4plus,"2023,2024,2025",3,3917,1266,0.5938,0.0359,0.0331,0.0408,mixed_or_noisy
BD_bucket,very_low_lt_85,opponent_runs_4plus,"2023,2024,2025",3,3917,1266,0.5938,0.0359,0.0331,0.0408,mixed_or_noisy
BO_vs_opponent_BD_gap_bucket,plus_7_to_15,opponent_runs_4plus,"2023,2024,2025",3,1120,353,0.5224,-0.0356,-0.0562,-0.0252,mixed_or_noisy
BO_gap_bucket,minus_15_or_worse,team_won,"2023,2024,2025",3,5095,1663,0.4641,-0.0353,-0.0418,-0.0226,mixed_or_noisy
BO_gap_bucket,plus_15_plus,team_won,"2023,2024,2025",3,5095,1663,0.5346,0.0352,0.0226,0.0418,mixed_or_noisy
BO_plus_weak_BD_tag,yes,team_won,"2023,2024,2025",3,2907,942,0.5342,0.0349,0.0336,0.0362,mixed_or_noisy
BO_vs_opponent_BD_gap_bucket,plus_15_plus,team_runs_5plus,"2023,2024,2025",3,4841,1576,0.4662,0.0347,0.0338,0.0358,mixed_or_noisy
big_inning_allowed_rate_L10_bucket,high_55_70,team_won,"2023,2024,2025",3,1808,537,0.4649,-0.0344,-0.0407,-0.0243,mixed_or_noisy
big_inning_allowed_rate_L10_bucket,high_55_70,opponent_runs_5plus,"2023,2024,2025",3,1808,537,0.4659,0.0343,0.0228,0.0545,mixed_or_noisy
BD_L10_bucket,very_low_lt_85,opponent_runs_5plus,"2023,2024,2025",3,3917,1266,0.4658,0.0342,0.0202,0.045,mixed_or_noisy
BD_bucket,very_low_lt_85,opponent_runs_5plus,"2023,2024,2025",3,3917,1266,0.4658,0.0342,0.0202,0.045,mixed_or_noisy
BO_plus_weak_BD_tag,yes,team_runs_4plus,"2023,2024,2025",3,2907,942,0.5916,0.0337,0.0248,0.0467,mixed_or_noisy
BO_vs_opponent_BD_gap_bucket,minus_15_or_worse,team_runs_4plus,"2023,2024,2025",3,5602,1794,0.5246,-0.0333,-0.0437,-0.0213,mixed_or_noisy
