cand_id,game_id,market_ticker,candidate_type,market_type,derivative_type,status_label,first_seen_at_et,first_seen_at_utc,snap_snapped_at_utc,age_secs,freshness_tier,book_status,snap_yes_bid,snap_yes_ask,snap_spread_cents,snap_bid_depth_levels,snap_ask_depth_levels,cand_entry_yes_bid,cand_entry_yes_ask,cand_spread_cents,ticker_date,unknown_provenance,inning,score_away,score_home
2182,PIT@ATH,KXMLBTEAMTOTAL-26JUN172140PITATH-ATH8,trailing_team_total_lag_watch,team_total,team_total,Blocked (team_lag_observe_only),2026-06-21T11:38:18.993339,2026-06-21T15:38:18.993339,,,no_prior_snapshot,no_snapshot,,,,,,13,22,9,2026-06-17,yes,1,3,0
2183,MIL@ATL,KXMLBTEAMTOTAL-26JUN211335MILATL-ATL6,trailing_team_total_lag_watch,team_total,team_total,Blocked (rally_still_active),2026-06-21T14:01:23.094645,2026-06-21T18:01:23.094645,2026-06-21T18:01:21.533406,1.6,real_time,non_empty,38,42,4,,,38,42,4,2026-06-21,no,2,3,1
2184,MIL@ATL,KXMLBTEAMTOTAL-26JUN211335MILATL-ATL7,trailing_team_total_lag_watch,team_total,team_total,Blocked (wide_spread_hard_block: spread=35c > 12c),2026-06-21T14:03:23.131474,2026-06-21T18:03:23.131474,2026-06-21T18:03:21.517937,1.6,real_time,non_empty,10,45,35,,,10,45,35,2026-06-21,no,2,3,1
2185,MIL@ATL,KXMLBTEAMTOTAL-26JUN211335MILATL-ATL7,trailing_team_total_lag_watch,team_total,team_total,Blocked (wide_spread_hard_block: spread=49c > 12c),2026-06-21T14:04:23.149171,2026-06-21T18:04:23.149171,2026-06-21T18:04:22.520743,0.6,real_time,non_empty,10,59,49,,,10,59,49,2026-06-21,no,2,4,1
2186,MIL@ATL,KXMLBTEAMTOTAL-26JUN211335MILATL-ATL8,trailing_team_total_lag_watch,team_total,team_total,Blocked (rally_still_active),2026-06-21T14:05:23.168295,2026-06-21T18:05:23.168295,2026-06-21T18:05:20.416602,2.8,real_time,non_empty,16,23,7,,,16,23,7,2026-06-21,no,2,5,1
2187,MIL@ATL,KXMLBTEAMTOTAL-26JUN211335MILATL-ATL7,trailing_team_total_lag_watch,team_total,team_total,Blocked (team_lag_blowout),2026-06-21T14:06:23.187012,2026-06-21T18:06:23.187012,2026-06-21T18:06:22.528211,0.7,real_time,non_empty,26,31,5,,,26,31,5,2026-06-21,no,2,8,1
2188,MIL@ATL,KXMLBTEAMTOTAL-26JUN211335MILATL-ATL3,trailing_team_total_lag_watch,team_total,team_total,Blocked (team_lag_blowout),2026-06-21T14:07:23.224760,2026-06-21T18:07:23.224760,2026-06-21T18:07:22.523124,0.7,real_time,non_empty,77,84,7,,,77,84,7,2026-06-21,no,2,8,1
2189,MIL@ATL,KXMLBTEAMTOTAL-26JUN211335MILATL-ATL8,trailing_team_total_lag_watch,team_total,team_total,Blocked (team_lag_blowout),2026-06-21T14:08:23.243880,2026-06-21T18:08:23.243880,2026-06-21T18:08:21.120682,2.1,real_time,empty_book,1,99,98,12,34,17,22,5,2026-06-21,no,2,8,1
2190,MIL@ATL,KXMLBTEAMTOTAL-26JUN211335MILATL-ATL5,trailing_team_total_lag_watch,team_total,team_total,Blocked (team_lag_blowout),2026-06-21T14:09:23.579609,2026-06-21T18:09:23.579609,2026-06-21T18:09:23.530048,0.0,real_time,non_empty,51,55,4,,,51,55,4,2026-06-21,no,2,8,1
2191,MIL@ATL,KXMLBTEAMTOTAL-26JUN211335MILATL-ATL5,trailing_team_total_lag_watch,team_total,team_total,Blocked (team_lag_blowout),2026-06-21T14:10:23.601634,2026-06-21T18:10:23.601634,2026-06-21T18:10:20.907785,2.7,real_time,empty_book,1,99,98,13,19,51,56,5,2026-06-21,no,2,8,1
