blocked_reason,count,with_1m,with_5m,avg_delta_1m,avg_delta_3m,avg_delta_5m,avg_delta_10m,favorable_rate_1m,favorable_rate_5m,avg_mfe_10m,avg_mae_10m
rally_still_active,182,178,175,12.643,12.264,12.174,11.431,0.6854,0.68,15.223,6.611
team_lag_observe_only,172,170,168,14.224,14.515,14.226,14.159,0.7471,0.756,20.135,9.74
(blank),38,38,37,15.579,15.579,15.054,14.694,0.5263,0.5135,13.944,13.944
team_lag_blowout,23,22,21,4.455,5.857,8.286,5.857,0.5455,0.6667,9.975,1.55
team_lag_insufficient_baseball_support,12,12,9,28.083,29.8,29.889,34.0,1.0,1.0,27.5,27.5
wide_spread_hard_block: spread=53c > 12c,10,10,10,-13.0,-13.0,-13.0,-13.0,0.0,0.0,-12.111,-18.222
wide_spread_hard_block: spread=50c > 12c,9,8,8,-23.125,-23.125,-23.125,-23.125,0.0,0.0,-11.938,-27.125
wide_spread_hard_block: spread=57c > 12c,9,9,9,-18.333,-18.5,-18.667,-18.333,0.0,0.0,-16.0,-17.0
market_nearly_settled,9,9,9,9.222,9.222,9.222,9.222,0.4444,0.4444,9.222,9.222
wide_spread_hard_block: spread=48c > 12c,8,8,8,-15.375,-16.188,-15.375,-15.375,0.0,0.0,-11.812,-24.562
wide_spread_hard_block: spread=23c > 12c,8,8,8,-5.0,-5.0,-5.812,-5.0,0.375,0.375,1.688,-9.812
wide_spread_hard_block: spread=40c > 12c,8,8,8,-15.375,-15.375,-15.375,-13.857,0.375,0.375,-18.0,-18.0
wide_spread_hard_block: spread=55c > 12c,8,8,7,-13.5,-13.429,-13.429,-13.429,0.0,0.0,-13.429,-16.571
wide_spread_hard_block: spread=14c > 12c,7,7,7,11.357,15.0,15.0,15.0,0.5714,0.7143,17.833,0.25
wide_spread_hard_block: spread=47c > 12c,7,7,7,-17.143,-17.143,-17.143,-17.143,0.0,0.0,-18.0,-21.667
wide_spread_hard_block: spread=18c > 12c,7,7,6,7.429,12.333,12.333,12.333,0.7143,0.8333,12.75,10.583
wide_spread_hard_block: spread=19c > 12c,6,6,6,2.75,2.75,9.5,6.4,0.6667,0.8333,8.583,2.75
wide_spread_hard_block: spread=29c > 12c,6,6,6,3.0,-2.583,3.0,3.0,0.5,0.5,3.0,-8.167
wide_spread_hard_block: spread=41c > 12c,6,6,6,-12.167,-4.333,-4.333,-5.417,0.3333,0.5,-0.5,-12.25
wide_spread_hard_block: spread=37c > 12c,6,6,5,-13.083,-14.333,-17.8,-17.8,0.3333,0.2,-12.0,-18.583
