deficit_bucket,inning_bucket,count,eventually_won_rate,tied_or_led_later_rate,took_lead_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,avg_final_margin,avg_min_deficit_next_2
down_1,early_1_3,5522,0.3892,0.648,0.5134,0.404,0.5594,0.4591,0.958,-1.106,0.046
down_1,middle_4_6,5233,0.3535,0.5488,0.4286,0.3923,0.5419,0.4376,0.974,-1.03,0.038
down_5_plus,late_7_plus,5064,0.0057,0.0079,0.0063,0.3474,0.4017,0.3323,0.0166,-7.083,6.498
down_1,late_7_plus,4136,0.2038,0.3039,0.2261,0.3138,0.3656,0.3039,0.9768,-0.977,0.39
down_2,middle_4_6,3862,0.2154,0.3674,0.269,0.4034,0.5443,0.4347,0.4347,-2.104,1.021
down_2,late_7_plus,3185,0.1058,0.1799,0.1196,0.3341,0.3962,0.3353,0.3353,-1.992,1.338
down_5_plus,middle_4_6,3077,0.0296,0.0461,0.0364,0.4023,0.5587,0.4296,0.0429,-6.754,5.603
down_2,early_1_3,2763,0.2649,0.4629,0.3605,0.3959,0.553,0.447,0.447,-2.281,1.052
down_3,middle_4_6,2665,0.122,0.1981,0.1415,0.3786,0.5159,0.4173,0.2428,-3.397,2.09
down_3,late_7_plus,2484,0.0431,0.0761,0.0499,0.318,0.3732,0.3019,0.1514,-3.138,2.443
down_4,late_7_plus,1928,0.0239,0.0311,0.0259,0.2822,0.333,0.2573,0.0705,-4.148,3.522
down_4,middle_4_6,1800,0.0794,0.1083,0.0878,0.3806,0.5378,0.4272,0.1311,-4.252,3.104
down_3,early_1_3,1574,0.1887,0.3253,0.2433,0.3952,0.5559,0.425,0.2541,-3.299,2.086
down_5_plus,early_1_3,893,0.0649,0.1053,0.0773,0.3751,0.5532,0.4255,0.0571,-6.368,5.063
down_4,early_1_3,719,0.1099,0.2086,0.1335,0.4089,0.5535,0.4339,0.1446,-4.541,3.104
