deficit_bucket,inning_bucket,l10_rpg_bucket,count,eventually_won_rate,tied_or_led_later_rate,took_lead_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,avg_final_margin,avg_min_deficit_next_2
down_1,early_1_3,mid_3_5_4_5,1711,0.3542,0.6032,0.4705,0.4039,0.5564,0.4465,0.9532,-1.408,0.045
down_1,early_1_3,high_4_5_5_5,1680,0.4262,0.6911,0.553,0.4065,0.5565,0.4708,0.9595,-0.924,0.01
down_5_plus,late_7_plus,mid_3_5_4_5,1641,0.003,0.0061,0.003,0.3309,0.3998,0.3181,0.0152,-7.394,6.76
down_1,middle_4_6,high_4_5_5_5,1634,0.3917,0.5814,0.4614,0.4033,0.5612,0.4663,0.9718,-0.824,-0.039
down_1,middle_4_6,mid_3_5_4_5,1592,0.3285,0.5308,0.3957,0.3989,0.5503,0.4347,0.9742,-1.172,0.05
down_5_plus,late_7_plus,high_4_5_5_5,1509,0.0053,0.008,0.0073,0.3512,0.395,0.3181,0.0126,-7.117,6.507
down_2,middle_4_6,mid_3_5_4_5,1278,0.2081,0.3435,0.259,0.3772,0.5133,0.4053,0.4053,-2.121,1.083
down_1,late_7_plus,mid_3_5_4_5,1241,0.1773,0.2707,0.2015,0.2764,0.328,0.2707,0.9726,-1.001,0.454
down_1,late_7_plus,high_4_5_5_5,1218,0.2053,0.3054,0.2307,0.3235,0.3621,0.3054,0.9795,-0.991,0.375
down_2,middle_4_6,high_4_5_5_5,1148,0.2021,0.3841,0.2692,0.4172,0.5618,0.4408,0.4408,-2.214,0.985
down_5_plus,middle_4_6,mid_3_5_4_5,1072,0.0252,0.0438,0.0364,0.4188,0.5504,0.4356,0.028,-6.868,5.715
down_1,early_1_3,low_lt_3_5,1056,0.3494,0.6165,0.4801,0.4025,0.5597,0.4489,0.9536,-1.264,0.147
down_2,late_7_plus,mid_3_5_4_5,1040,0.099,0.1817,0.1192,0.3221,0.3817,0.3365,0.3365,-1.924,1.321
down_1,early_1_3,very_high_5_5_plus,1033,0.4288,0.6883,0.5528,0.3988,0.5644,0.4743,0.9661,-0.731,-0.007
down_1,middle_4_6,low_lt_3_5,990,0.296,0.4919,0.3758,0.3758,0.5131,0.4071,0.9747,-1.193,0.159
down_2,late_7_plus,high_4_5_5_5,974,0.0903,0.1817,0.1119,0.3244,0.3953,0.3275,0.3275,-2.089,1.345
down_1,middle_4_6,very_high_5_5_plus,970,0.3753,0.5711,0.467,0.3763,0.5227,0.4227,0.9753,-1.06,0.043
down_5_plus,late_7_plus,low_lt_3_5,963,0.0093,0.0114,0.0093,0.3801,0.4278,0.3832,0.0332,-6.557,6.102
down_5_plus,late_7_plus,very_high_5_5_plus,937,0.0075,0.0075,0.0075,0.3362,0.3895,0.3287,0.0085,-7.006,6.415
down_2,early_1_3,mid_3_5_4_5,906,0.2472,0.4238,0.3168,0.3775,0.5298,0.4238,0.4238,-2.466,1.175
down_5_plus,middle_4_6,high_4_5_5_5,892,0.0179,0.0404,0.0269,0.3857,0.5594,0.4283,0.046,-6.721,5.592
down_3,middle_4_6,mid_3_5_4_5,859,0.0815,0.1444,0.0931,0.3749,0.4866,0.383,0.2154,-3.666,2.217
down_1,late_7_plus,low_lt_3_5,854,0.1956,0.2787,0.2061,0.2951,0.3525,0.2787,0.9754,-1.05,0.452
down_3,late_7_plus,mid_3_5_4_5,810,0.0296,0.058,0.0407,0.3012,0.358,0.2988,0.1309,-3.094,2.496
down_2,early_1_3,high_4_5_5_5,790,0.2342,0.4544,0.343,0.362,0.5291,0.4354,0.4354,-2.434,1.077
down_3,middle_4_6,high_4_5_5_5,788,0.1523,0.2678,0.1942,0.4277,0.5863,0.4607,0.2779,-3.197,1.869
down_1,late_7_plus,very_high_5_5_plus,785,0.2459,0.3656,0.2739,0.3669,0.428,0.3656,0.9822,-0.846,0.283
down_2,middle_4_6,low_lt_3_5,717,0.2232,0.378,0.2734,0.4338,0.5746,0.4714,0.4714,-1.806,0.922
down_2,middle_4_6,very_high_5_5_plus,701,0.234,0.368,0.2753,0.3909,0.5321,0.4294,0.4294,-2.248,1.083
down_3,late_7_plus,high_4_5_5_5,685,0.0438,0.0788,0.0555,0.3635,0.4248,0.3328,0.1547,-3.25,2.422
down_4,middle_4_6,mid_3_5_4_5,643,0.0638,0.0886,0.0731,0.3639,0.5288,0.4184,0.0949,-4.512,3.243
down_4,late_7_plus,mid_3_5_4_5,640,0.0141,0.025,0.0156,0.2703,0.3375,0.2672,0.0594,-4.303,3.561
down_2,late_7_plus,low_lt_3_5,611,0.0786,0.1277,0.0786,0.3355,0.3912,0.3126,0.3126,-2.097,1.501
down_5_plus,middle_4_6,low_lt_3_5,607,0.0577,0.0675,0.0577,0.4201,0.5799,0.4382,0.0708,-6.519,5.511
down_3,middle_4_6,low_lt_3_5,558,0.1057,0.1595,0.1129,0.3315,0.4642,0.3961,0.2258,-3.305,2.201
down_4,late_7_plus,high_4_5_5_5,554,0.0289,0.0397,0.0343,0.3032,0.3394,0.2708,0.0903,-4.025,3.466
down_2,late_7_plus,very_high_5_5_plus,539,0.1707,0.2245,0.1744,0.3655,0.4249,0.3655,0.3655,-1.857,1.191
down_3,late_7_plus,low_lt_3_5,533,0.0638,0.0994,0.0638,0.3039,0.3415,0.2833,0.1839,-2.972,2.355
down_2,early_1_3,low_lt_3_5,531,0.29,0.5141,0.4162,0.4256,0.5725,0.4746,0.4746,-1.955,0.934
down_2,early_1_3,very_high_5_5_plus,530,0.3189,0.4962,0.4094,0.4472,0.6057,0.4774,0.4774,-2.019,0.915
down_3,early_1_3,mid_3_5_4_5,507,0.1893,0.3531,0.2367,0.3708,0.5602,0.4024,0.2446,-3.339,2.097
down_5_plus,middle_4_6,very_high_5_5_plus,502,0.0259,0.0359,0.0279,0.3705,0.5458,0.4044,0.0359,-6.855,5.512
down_4,middle_4_6,high_4_5_5_5,489,0.0634,0.0838,0.0675,0.4008,0.5603,0.4335,0.1186,-4.207,3.115
down_3,early_1_3,high_4_5_5_5,449,0.1893,0.314,0.2472,0.441,0.5902,0.4878,0.2472,-3.225,2.02
down_3,middle_4_6,very_high_5_5_plus,443,0.1625,0.2257,0.1738,0.3634,0.5237,0.4402,0.2551,-3.363,2.088
down_3,late_7_plus,very_high_5_5_plus,428,0.0444,0.0818,0.0444,0.285,0.3364,0.2757,0.1542,-3.238,2.477
down_4,late_7_plus,low_lt_3_5,401,0.02,0.0224,0.02,0.2594,0.3067,0.2095,0.0549,-4.082,3.621
down_5_plus,early_1_3,mid_3_5_4_5,343,0.0466,0.0787,0.0554,0.3907,0.5714,0.4723,0.0466,-6.536,5.085
down_4,middle_4_6,low_lt_3_5,338,0.1331,0.1568,0.1509,0.355,0.5178,0.4172,0.1716,-3.896,2.985
down_3,early_1_3,low_lt_3_5,331,0.1329,0.2387,0.1994,0.3565,0.5015,0.3686,0.2417,-3.813,2.224
down_4,late_7_plus,very_high_5_5_plus,329,0.0395,0.0395,0.0395,0.3009,0.3495,0.2766,0.079,-4.116,3.416
down_4,middle_4_6,very_high_5_5_plus,318,0.0818,0.1384,0.0849,0.4025,0.5409,0.4403,0.1761,-4.107,2.94
down_3,early_1_3,very_high_5_5_plus,278,0.2518,0.3993,0.3022,0.4173,0.5612,0.4317,0.2986,-2.752,2.0
down_5_plus,early_1_3,high_4_5_5_5,243,0.0329,0.1193,0.0658,0.284,0.4733,0.3457,0.0494,-6.14,5.165
down_4,early_1_3,mid_3_5_4_5,235,0.0638,0.1745,0.0809,0.4553,0.6128,0.5106,0.1404,-4.885,3.06
