deficit_bucket,inning_bucket,offense_form_bucket,count,eventually_won_rate,tied_or_led_later_rate,took_lead_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,avg_final_margin,avg_min_deficit_next_2
down_5_plus,late_7_plus,45_50,1490,0.0114,0.0114,0.0114,0.3483,0.4101,0.3302,0.0154,-7.252,6.615
down_1,early_1_3,50_55,1436,0.3733,0.6511,0.5272,0.4283,0.5745,0.4617,0.9596,-1.293,-0.028
down_1,early_1_3,45_50,1429,0.3926,0.613,0.5066,0.4052,0.5703,0.4276,0.9524,-1.232,0.01
down_1,middle_4_6,45_50,1417,0.343,0.5427,0.4171,0.3994,0.5476,0.4446,0.9725,-0.98,0.092
down_1,middle_4_6,50_55,1384,0.3432,0.5318,0.4263,0.3822,0.534,0.4176,0.9762,-1.035,-0.005
down_5_plus,late_7_plus,50_55,1208,0.0,0.0075,0.0025,0.3568,0.4081,0.3402,0.024,-6.916,6.354
down_1,late_7_plus,45_50,1182,0.214,0.3122,0.2504,0.3291,0.3782,0.3122,0.9721,-0.915,0.351
down_2,middle_4_6,45_50,1149,0.2019,0.3568,0.2559,0.4212,0.5709,0.456,0.456,-2.249,1.031
down_1,late_7_plus,50_55,1118,0.2415,0.3229,0.2665,0.3309,0.3801,0.3229,0.9678,-0.997,0.326
down_5_plus,middle_4_6,45_50,1058,0.0312,0.0425,0.0425,0.3951,0.5643,0.4244,0.0416,-7.157,5.821
down_2,middle_4_6,50_55,1046,0.2438,0.4187,0.3155,0.4369,0.586,0.4608,0.4608,-1.799,0.782
down_1,middle_4_6,40_45,953,0.3368,0.596,0.4512,0.4145,0.575,0.4774,0.9706,-1.365,0.02
down_2,late_7_plus,50_55,938,0.0938,0.1525,0.1023,0.307,0.3678,0.3102,0.3102,-1.991,1.436
down_2,late_7_plus,45_50,934,0.106,0.1627,0.1199,0.3287,0.3833,0.3116,0.3116,-1.934,1.391
down_5_plus,late_7_plus,40_45,930,0.0054,0.0054,0.0054,0.3849,0.4366,0.3624,0.0301,-6.751,6.158
down_1,early_1_3,40_45,923,0.3391,0.6371,0.4832,0.4063,0.5612,0.4388,0.9621,-1.583,0.092
down_2,early_1_3,45_50,914,0.3184,0.4945,0.3993,0.4376,0.5974,0.4759,0.4759,-2.137,0.923
down_3,middle_4_6,45_50,831,0.1468,0.2274,0.1613,0.3899,0.5331,0.42,0.2599,-3.232,2.055
down_5_plus,middle_4_6,50_55,776,0.0438,0.0747,0.0528,0.4175,0.6005,0.4652,0.067,-6.575,5.366
down_1,early_1_3,55_60,773,0.3997,0.6417,0.489,0.4204,0.5602,0.4386,0.9521,-1.265,0.082
down_3,late_7_plus,45_50,756,0.0648,0.0899,0.0661,0.3214,0.3743,0.291,0.1508,-3.019,2.409
down_1,middle_4_6,55_60,747,0.3561,0.5716,0.4311,0.419,0.5582,0.4739,0.9705,-0.871,-0.135
down_3,middle_4_6,50_55,740,0.1608,0.2703,0.2122,0.4446,0.5973,0.5041,0.2838,-2.719,1.874
down_1,late_7_plus,40_45,736,0.2554,0.3709,0.2812,0.3967,0.4416,0.3709,0.9715,-0.882,0.258
down_2,early_1_3,50_55,720,0.3292,0.5694,0.4458,0.4667,0.6236,0.5028,0.5028,-1.543,0.915
down_2,middle_4_6,40_45,701,0.2083,0.3267,0.2639,0.378,0.535,0.4123,0.4123,-2.658,1.148
down_3,late_7_plus,50_55,642,0.0389,0.067,0.053,0.324,0.3832,0.2897,0.1651,-3.101,2.46
down_5_plus,late_7_plus,55_60,627,0.0,0.0,0.0,0.362,0.4306,0.378,0.0096,-7.18,6.545
down_4,late_7_plus,45_50,611,0.0327,0.0393,0.0327,0.3208,0.3633,0.3093,0.0769,-3.926,3.422
down_2,late_7_plus,40_45,593,0.1619,0.1973,0.1703,0.3592,0.398,0.317,0.317,-1.867,1.28
down_1,late_7_plus,55_60,582,0.2182,0.3162,0.2577,0.3127,0.3591,0.3162,0.9777,-0.885,0.357
