deficit_bucket,inning_bucket,team_strength_bucket,count,eventually_won_rate,tied_or_led_later_rate,took_lead_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,avg_final_margin,avg_min_deficit_next_2
down_1,middle_4_6,50_55,2058,0.3892,0.5807,0.45,0.4033,0.5622,0.4572,0.9742,-0.828,-0.041
down_1,early_1_3,50_55,2045,0.4049,0.6787,0.534,0.4108,0.5667,0.4621,0.9648,-0.798,0.073
down_1,late_7_plus,50_55,1537,0.201,0.3234,0.2219,0.3253,0.3728,0.3234,0.9766,-0.98,0.39
down_5_plus,late_7_plus,50_55,1456,0.0,0.0034,0.0,0.3338,0.3874,0.3104,0.011,-6.969,6.378
down_5_plus,late_7_plus,45_50,1369,0.0124,0.0131,0.0124,0.3601,0.4069,0.3294,0.0168,-7.339,6.749
down_2,middle_4_6,50_55,1358,0.2415,0.4138,0.2916,0.4138,0.5596,0.4521,0.4521,-1.853,0.968
down_1,early_1_3,45_50,1310,0.384,0.6382,0.5061,0.413,0.558,0.471,0.9496,-1.327,-0.015
down_1,middle_4_6,45_50,1215,0.344,0.5481,0.428,0.3663,0.5103,0.4313,0.9794,-1.04,0.101
down_2,late_7_plus,50_55,1210,0.1149,0.2339,0.1372,0.3744,0.438,0.3826,0.3826,-1.798,1.228
down_1,late_7_plus,45_50,1056,0.2112,0.3049,0.232,0.3021,0.3532,0.3049,0.9811,-0.959,0.403
down_2,middle_4_6,45_50,963,0.1994,0.3551,0.2565,0.406,0.5306,0.4258,0.4258,-2.224,1.017
down_3,late_7_plus,50_55,898,0.0423,0.0746,0.0479,0.3129,0.3786,0.284,0.1214,-3.049,2.494
down_2,early_1_3,50_55,885,0.3096,0.5299,0.4102,0.426,0.5853,0.5006,0.5006,-1.684,0.893
down_5_plus,middle_4_6,45_50,878,0.0285,0.0319,0.0296,0.3861,0.5239,0.3998,0.0467,-7.255,5.909
down_1,early_1_3,55_60,870,0.446,0.6954,0.5713,0.423,0.6011,0.4989,0.9678,-0.786,-0.11
down_3,middle_4_6,50_55,870,0.1253,0.2115,0.1391,0.3793,0.508,0.4115,0.2345,-3.267,2.131
down_5_plus,middle_4_6,50_55,807,0.0186,0.0409,0.026,0.3656,0.5378,0.4238,0.0496,-6.616,5.33
down_1,middle_4_6,55_60,798,0.3772,0.5602,0.4574,0.396,0.5288,0.4373,0.9712,-1.223,0.085
down_2,early_1_3,45_50,768,0.2448,0.4388,0.3229,0.3451,0.4987,0.4102,0.4102,-2.672,1.121
down_5_plus,late_7_plus,40_45,753,0.0,0.0,0.0,0.3307,0.4064,0.3413,0.0159,-6.847,6.417
down_5_plus,late_7_plus,55_60,710,0.0056,0.0099,0.0099,0.3479,0.4042,0.3408,0.0099,-6.896,6.317
down_2,late_7_plus,45_50,708,0.1116,0.1653,0.1229,0.3333,0.3927,0.3305,0.3305,-2.038,1.342
down_3,middle_4_6,45_50,704,0.1506,0.2202,0.169,0.4062,0.5426,0.429,0.2713,-3.445,2.009
down_1,early_1_3,40_45,641,0.2995,0.5601,0.4212,0.3697,0.5382,0.4228,0.9532,-1.78,0.209
down_1,middle_4_6,40_45,625,0.32,0.5184,0.4144,0.4128,0.5632,0.44,0.976,-0.963,-0.027
down_4,late_7_plus,50_55,619,0.021,0.0339,0.0242,0.2649,0.3296,0.2456,0.063,-4.145,3.549
down_1,late_7_plus,55_60,588,0.2296,0.3299,0.2653,0.3367,0.3895,0.3299,0.9796,-0.964,0.281
down_2,middle_4_6,55_60,567,0.2187,0.3845,0.2787,0.3968,0.5467,0.4568,0.4568,-2.257,1.035
down_5_plus,late_7_plus,lt_40,551,0.0145,0.0181,0.0145,0.3485,0.3975,0.3466,0.0436,-7.339,6.575
down_3,late_7_plus,45_50,547,0.064,0.0914,0.0731,0.309,0.3601,0.298,0.1846,-3.112,2.388
down_4,middle_4_6,50_55,546,0.0568,0.0934,0.0659,0.3901,0.522,0.4194,0.13,-4.454,3.112
down_5_plus,middle_4_6,40_45,518,0.0135,0.0347,0.0347,0.4923,0.6236,0.4633,0.0212,-6.541,5.653
down_2,late_7_plus,55_60,473,0.1184,0.1755,0.1226,0.3192,0.3784,0.3277,0.3277,-2.082,1.362
down_1,late_7_plus,40_45,472,0.1992,0.2542,0.2161,0.2669,0.322,0.2542,0.9661,-0.953,0.396
down_4,late_7_plus,45_50,460,0.0196,0.0261,0.0196,0.2609,0.2957,0.2196,0.0543,-4.296,3.617
down_4,middle_4_6,45_50,459,0.0871,0.1133,0.098,0.3878,0.5686,0.4444,0.1656,-4.434,3.054
down_3,early_1_3,50_55,455,0.2022,0.3604,0.2264,0.4571,0.6308,0.4967,0.3253,-3.068,1.895
down_2,middle_4_6,40_45,443,0.1603,0.2709,0.2077,0.4041,0.5463,0.3995,0.3995,-2.226,1.149
down_1,early_1_3,lt_40,438,0.3242,0.5799,0.4452,0.3607,0.4909,0.3858,0.9384,-1.852,0.251
down_3,early_1_3,45_50,417,0.1966,0.3477,0.2614,0.3597,0.5396,0.4245,0.283,-3.302,2.065
down_5_plus,middle_4_6,55_60,407,0.027,0.0565,0.0319,0.3882,0.5848,0.4496,0.0442,-6.4,5.531
down_2,late_7_plus,40_45,391,0.0844,0.11,0.0844,0.2788,0.3478,0.2634,0.2634,-2.217,1.504
down_2,early_1_3,55_60,389,0.2776,0.4936,0.4319,0.4524,0.6298,0.509,0.509,-1.982,0.979
down_3,middle_4_6,55_60,384,0.1094,0.1875,0.1328,0.3698,0.5,0.4193,0.2578,-3.409,1.982
down_5_plus,middle_4_6,lt_40,353,0.0765,0.0963,0.0793,0.4334,0.5609,0.4674,0.0368,-6.805,5.592
down_3,late_7_plus,55_60,352,0.0256,0.071,0.0256,0.2358,0.2841,0.2188,0.1165,-3.423,2.574
down_3,middle_4_6,40_45,352,0.108,0.1648,0.1364,0.3608,0.5142,0.4233,0.2017,-3.528,2.185
down_3,late_7_plus,40_45,350,0.0171,0.0486,0.0314,0.3686,0.4143,0.3429,0.16,-3.183,2.46
down_1,middle_4_6,lt_40,338,0.2456,0.4941,0.3373,0.4142,0.5444,0.4172,0.9734,-1.509,0.172
