deficit_bucket,inning_bucket,count,eventually_won_rate,tied_or_led_later_rate,took_lead_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,avg_final_margin,avg_min_deficit_next_2
down_1,early_1_3,3494,0.3784,0.6368,0.5054,0.3915,0.5535,0.4491,0.9608,-1.228,0.072
down_1,middle_4_6,3388,0.3329,0.5325,0.415,0.3837,0.5301,0.4271,0.974,-1.164,0.05
down_5_plus,late_7_plus,3147,0.0054,0.0089,0.0064,0.3397,0.3924,0.3244,0.0175,-7.107,6.493
down_1,late_7_plus,2648,0.1968,0.2987,0.2232,0.3168,0.3648,0.2987,0.9762,-0.993,0.392
down_2,middle_4_6,2507,0.2026,0.3534,0.2629,0.3965,0.5337,0.4248,0.4248,-2.087,1.052
down_2,late_7_plus,2128,0.1123,0.1823,0.1302,0.3313,0.399,0.3426,0.3426,-1.966,1.302
down_5_plus,middle_4_6,1852,0.0313,0.0497,0.0346,0.4017,0.5427,0.4098,0.0427,-6.902,5.707
down_2,early_1_3,1767,0.2643,0.4595,0.3679,0.4029,0.5614,0.4499,0.4499,-2.216,1.038
down_3,middle_4_6,1707,0.1131,0.1939,0.1347,0.3784,0.5155,0.4247,0.239,-3.458,2.076
down_3,late_7_plus,1551,0.0432,0.0819,0.0516,0.323,0.3772,0.3069,0.1554,-3.13,2.427
down_4,late_7_plus,1241,0.0242,0.0322,0.0266,0.3006,0.357,0.2828,0.0798,-4.087,3.474
down_4,middle_4_6,1114,0.0781,0.1131,0.0844,0.3851,0.5377,0.4228,0.1221,-4.062,3.134
down_3,early_1_3,980,0.199,0.3337,0.25,0.4041,0.5724,0.4388,0.2653,-3.162,2.038
down_5_plus,early_1_3,501,0.0619,0.0878,0.0679,0.3373,0.515,0.3892,0.0559,-6.89,5.242
down_4,early_1_3,437,0.0961,0.1876,0.1167,0.3799,0.5515,0.4256,0.1236,-4.593,3.162
