deficit_bucket,inning_bucket,opponent_bullpen_risk_bucket,count,eventually_won_rate,tied_or_led_later_rate,took_lead_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,avg_final_margin,avg_min_deficit_next_2
down_1,early_1_3,slightly_low_40_50,2611,0.3573,0.622,0.4876,0.3857,0.5484,0.4408,0.9594,-1.417,0.092
down_1,middle_4_6,slightly_low_40_50,2550,0.3188,0.5212,0.4004,0.3843,0.5337,0.4275,0.9737,-1.277,0.068
down_5_plus,late_7_plus,slightly_low_40_50,2431,0.0037,0.0058,0.0049,0.3344,0.3904,0.3184,0.0136,-7.24,6.591
down_1,late_7_plus,slightly_low_40_50,1982,0.1852,0.283,0.2149,0.3052,0.3542,0.283,0.9763,-1.036,0.42
down_2,middle_4_6,slightly_low_40_50,1856,0.1902,0.333,0.2462,0.3922,0.5199,0.4116,0.4116,-2.202,1.146
down_2,late_7_plus,slightly_low_40_50,1609,0.1088,0.1771,0.1274,0.3232,0.3897,0.3375,0.3375,-1.994,1.333
down_5_plus,middle_4_6,slightly_low_40_50,1430,0.0287,0.051,0.0329,0.3776,0.5203,0.3874,0.0476,-7.068,5.818
down_2,early_1_3,slightly_low_40_50,1302,0.2611,0.4508,0.3571,0.4063,0.5591,0.4593,0.4593,-2.192,1.014
down_3,middle_4_6,slightly_low_40_50,1295,0.0973,0.183,0.1236,0.3776,0.505,0.4154,0.2347,-3.602,2.14
down_3,late_7_plus,slightly_low_40_50,1194,0.0427,0.0687,0.0486,0.2998,0.3568,0.2898,0.1407,-3.149,2.481
down_4,late_7_plus,slightly_low_40_50,937,0.0277,0.0352,0.0299,0.2956,0.3479,0.2871,0.0907,-4.007,3.432
down_4,middle_4_6,slightly_low_40_50,848,0.0672,0.1026,0.0743,0.3927,0.5413,0.4316,0.1356,-4.058,3.085
down_3,early_1_3,slightly_low_40_50,729,0.1879,0.3182,0.2387,0.3813,0.5514,0.4335,0.2647,-3.326,2.06
down_1,early_1_3,elevated_50_60,661,0.4614,0.6989,0.5734,0.4054,0.5658,0.4826,0.9652,-0.44,-0.036
down_1,middle_4_6,elevated_50_60,653,0.3859,0.5727,0.4732,0.3936,0.536,0.441,0.977,-0.758,-0.057
down_1,late_7_plus,elevated_50_60,504,0.2143,0.3175,0.2321,0.3294,0.375,0.3175,0.9722,-0.994,0.371
down_5_plus,late_7_plus,elevated_50_60,465,0.0,0.0,0.0,0.3355,0.3634,0.3183,0.0172,-6.6,6.146
down_2,middle_4_6,elevated_50_60,464,0.2435,0.4612,0.3448,0.4547,0.6207,0.5259,0.5259,-1.558,0.569
down_2,late_7_plus,elevated_50_60,369,0.1328,0.2087,0.1545,0.3821,0.4417,0.393,0.393,-1.854,1.122
down_5_plus,early_1_3,slightly_low_40_50,364,0.0632,0.0989,0.0714,0.294,0.4698,0.3462,0.0577,-7.192,5.245
down_2,early_1_3,elevated_50_60,328,0.2957,0.5244,0.4268,0.4055,0.5823,0.4695,0.4695,-2.189,1.073
down_4,early_1_3,slightly_low_40_50,324,0.0833,0.1759,0.0988,0.3642,0.5185,0.3951,0.0988,-4.741,3.29
down_3,middle_4_6,elevated_50_60,305,0.1738,0.2525,0.1836,0.3934,0.5574,0.4689,0.2623,-2.721,1.731
down_5_plus,middle_4_6,elevated_50_60,288,0.0243,0.0243,0.0243,0.4271,0.5694,0.4653,0.0139,-6.26,5.247
down_3,late_7_plus,elevated_50_60,271,0.0369,0.1292,0.059,0.3838,0.4354,0.3653,0.2103,-2.937,2.225
down_5_plus,late_7_plus,low_risk_lt_40,250,0.032,0.052,0.032,0.396,0.464,0.392,0.052,-6.78,6.208
down_1,early_1_3,low_risk_lt_40,222,0.3784,0.6261,0.5135,0.4189,0.5766,0.4459,0.964,-1.356,0.162
down_4,late_7_plus,elevated_50_60,210,0.0095,0.0143,0.0143,0.3048,0.3524,0.2857,0.0333,-4.11,3.595
down_1,middle_4_6,low_risk_lt_40,185,0.3405,0.5459,0.4108,0.3405,0.4595,0.373,0.9676,-1.038,0.189
