deficit_bucket,inning_bucket,team_strength_bucket,count,eventually_won_rate,tied_or_led_later_rate,took_lead_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,avg_final_margin,avg_min_deficit_next_2
down_1,early_1_3,45_50,1864,0.375,0.6395,0.5236,0.3997,0.5735,0.456,0.9587,-1.43,0.105
down_1,middle_4_6,45_50,1833,0.3584,0.5608,0.4463,0.3977,0.5488,0.4484,0.9738,-1.071,0.017
down_5_plus,late_7_plus,45_50,1724,0.0046,0.0093,0.0064,0.3393,0.3898,0.3138,0.0186,-7.355,6.699
down_2,middle_4_6,45_50,1385,0.2166,0.3581,0.2722,0.4087,0.5415,0.4412,0.4412,-2.048,1.017
down_1,late_7_plus,45_50,1374,0.1914,0.2868,0.222,0.3195,0.3624,0.2868,0.9731,-1.035,0.421
down_1,early_1_3,50_55,1152,0.3568,0.6076,0.4592,0.3689,0.5165,0.4245,0.9566,-1.121,0.109
down_2,late_7_plus,45_50,1127,0.1047,0.181,0.1287,0.3487,0.4028,0.3514,0.3514,-1.901,1.295
down_5_plus,late_7_plus,50_55,1127,0.0044,0.0062,0.0044,0.3283,0.3886,0.3256,0.016,-6.718,6.17
down_1,middle_4_6,50_55,1078,0.2829,0.475,0.3525,0.3646,0.5037,0.3905,0.9685,-1.435,0.146
down_5_plus,middle_4_6,45_50,1025,0.0254,0.041,0.0293,0.4176,0.5434,0.4029,0.0351,-7.361,5.94
down_2,early_1_3,45_50,994,0.2887,0.4849,0.3883,0.4336,0.5976,0.4879,0.4879,-2.149,0.97
down_3,middle_4_6,45_50,915,0.1191,0.1672,0.1377,0.3563,0.4798,0.3891,0.2109,-3.562,2.174
down_1,late_7_plus,50_55,857,0.1949,0.2987,0.2217,0.3081,0.3582,0.2987,0.9778,-1.014,0.397
down_3,late_7_plus,45_50,848,0.0519,0.0884,0.0625,0.3184,0.3691,0.2889,0.1616,-3.165,2.415
down_2,middle_4_6,50_55,819,0.1563,0.3065,0.2259,0.359,0.4982,0.3712,0.3712,-2.364,1.192
down_2,late_7_plus,50_55,744,0.1129,0.168,0.125,0.2903,0.3763,0.3051,0.3051,-2.153,1.347
down_4,late_7_plus,45_50,705,0.017,0.0241,0.0213,0.2851,0.3291,0.2539,0.0638,-4.247,3.576
