game_id,market_ticker,derivative_type,selected_team,line_parsed,entry_price_cents,first_inning,last_inning,observation_count,market_mismatch_score,first_discovery_inflated,baseball_support_score,execution_quality_score,overall_watch_score,original_label_rollup,replayed_label_rollup,settlement_result,paper_net_pnl_cents,watch_primary_driver,trigger_explanation
MIN@TEX,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX4,team_total,TEX,4.0,58,1,1,3,10.0,True,55.0,100.0,59.5,watch,blocked,loss,-58,execution_quality_only,"mismatch=10 (first_discovery baseline, inflation flag set); baseball_support=55; execution=100; overall=60; entry=58c; line=4.0; first_triggered_inning=1; settled=loss"
MIN@TEX,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX6,team_total,TEX,6.0,34,1,3,6,100.0,True,55.0,70.0,79.0,watch,blocked,loss,-34,first_discovery_inflation,"mismatch=100 (first_discovery inflation, uncapped in original logic; would cap at 25 after Tuning Pass 1); baseball_support=55; execution=70; overall=79; entry=34c; line=6.0; first_triggered_inning=1; settled=loss"
DET@HOU,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU7,team_total,HOU,7.0,24,2,3,8,12.0,True,48.0,60.0,48.0,watch,blocked,unknown,,combined_low_scores,"mismatch=12 (first_discovery baseline, inflation flag set); baseball_support=48; execution=60; overall=48; entry=24c; line=7.0; first_triggered_inning=2; settled=unknown"
MIN@TEX,KXMLBF5TOTAL-26JUN152005MINTEX-1,f5_total,,,9,3,4,4,100.0,True,21.0,100.0,71.8,watch,blocked,loss,-9,first_discovery_inflation,"mismatch=100 (first_discovery inflation, uncapped in original logic; would cap at 25 after Tuning Pass 1); baseball_support=21; execution=100; overall=72; entry=9c; first_triggered_inning=3; settled=loss"
MIN@TEX,KXMLBTOTAL-26JUN152005MINTEX-8,fg_total,,,45,5,9,13,70.0,True,22.0,100.0,63.1,watch,watch,win,52,first_discovery_inflation,"mismatch=70 (first_discovery baseline, inflation flag set); baseball_support=22; execution=100; overall=63; entry=45c; first_triggered_inning=5; settled=win"
DET@HOU,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,team_total,HOU,2.0,87,3,6,16,100.0,True,48.0,60.0,74.4,watch,blocked,unknown,,first_discovery_inflation,"mismatch=100 (first_discovery inflation, uncapped in original logic; would cap at 25 after Tuning Pass 1); baseball_support=48; execution=60; overall=74; entry=87c; line=2.0; first_triggered_inning=3; settled=unknown"
DET@HOU,KXMLBTOTAL-26JUN152010DETHOU-7,fg_total,,,28,3,9,25,88.0,True,25.0,100.0,69.4,watch,watch,unknown,,first_discovery_inflation,"mismatch=88 (first_discovery inflation, uncapped in original logic; would cap at 25 after Tuning Pass 1); baseball_support=25; execution=100; overall=69; entry=28c; first_triggered_inning=3; settled=unknown"
DET@HOU,KXMLBF5TOTAL-26JUN152010DETHOU-1,f5_total,,,6,3,4,4,18.0,True,21.0,100.0,47.2,watch,blocked,unknown,,execution_quality_only,"mismatch=18 (first_discovery baseline, inflation flag set); baseball_support=21; execution=100; overall=47; entry=6c; first_triggered_inning=3; settled=unknown"
MIN@TEX,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX2,team_total,TEX,2.0,88,6,6,2,100.0,True,30.0,100.0,74.5,watch,blocked,push,0,first_discovery_inflation,"mismatch=100 (first_discovery inflation, uncapped in original logic; would cap at 25 after Tuning Pass 1); baseball_support=30; execution=100; overall=74; entry=88c; line=2.0; first_triggered_inning=6; settled=push"
TB@LAD,KXMLBTEAMTOTAL-26JUN152210TBLAD-LAD6,team_total,LAD,6.0,42,1,2,8,8.0,True,55.0,100.0,58.9,watch,blocked,unknown,,execution_quality_only,"mismatch=8 (first_discovery baseline, inflation flag set); baseball_support=55; execution=100; overall=59; entry=42c; line=6.0; first_triggered_inning=1; settled=unknown"
PIT@ATH,KXMLBTEAMTOTAL-26JUN152140PITATH-PIT3,team_total,PIT,3.0,79,2,6,20,100.0,True,55.0,100.0,86.5,watch,blocked,unknown,,first_discovery_inflation,"mismatch=100 (first_discovery inflation, uncapped in original logic; would cap at 25 after Tuning Pass 1); baseball_support=55; execution=100; overall=86; entry=79c; line=3.0; first_triggered_inning=2; settled=unknown"
