paper_setup_id,game_id,market_ticker,derivative_type,paper_status,outcome,net_pnl_cents,entry_price_cents,consistency_classification,proposed_fix
1,MIA@PIT,KXMLBTEAMTOTAL-26JUN141215MIAPIT-PIT4,team_total,no_entry_price,unknown,NULL,NULL,expected_no_entry,
2,SD@BAL,KXMLBTEAMTOTAL-26JUN141335SDBAL-BAL3,team_total,blocked_observation,unknown,NULL,NULL,expected_no_entry,
3,ATL@NYM,KXMLBTEAMTOTAL-26JUN141340ATLNYM-ATL7,team_total,blocked_observation,unknown,NULL,NULL,expected_no_entry,
4,NYY@TOR,KXMLBTEAMTOTAL-26JUN141337NYYTOR-TOR7,team_total,blocked_observation,unknown,NULL,NULL,expected_no_entry,
5,HOU@KC,KXMLBTEAMTOTAL-26JUN141410HOUKC-HOU7,team_total,blocked_observation,unknown,NULL,NULL,expected_no_entry,
6,STL@MIN,KXMLBTOTAL-26JUN141410STLMIN-3,fg_total,no_entry_price,unknown,NULL,NULL,expected_no_entry,
7,PHI@MIL,KXMLBTEAMTOTAL-26JUN141410PHIMIL-PHI6,team_total,no_entry_price,unknown,NULL,NULL,expected_no_entry,
8,COL@ATH,KXMLBTEAMTOTAL-26JUN141505COLATH-ATH2,team_total,no_entry_price,unknown,NULL,NULL,expected_no_entry,
9,COL@ATH,KXMLBTEAMTOTAL-26JUN141505COLATH-COL8,team_total,blocked_observation,unknown,NULL,NULL,expected_no_entry,
10,LAD@CWS,KXMLBTEAMTOTAL-26JUN141410LADCWS-LAD3,team_total,no_entry_price,unknown,NULL,NULL,expected_no_entry,
11,CHC@SF,KXMLBTEAMTOTAL-26JUN141510CHCSF-CHC7,team_total,no_entry_price,unknown,NULL,NULL,expected_no_entry,
12,TB@LAA,KXMLBTEAMTOTAL-26JUN141607TBLAA-LAA6,team_total,no_entry_price,unknown,NULL,NULL,expected_no_entry,
13,TEX@BOS,KXMLBTEAMTOTAL-26JUN141920TEXBOS-BOS5,team_total,no_entry_price,unknown,NULL,NULL,expected_no_entry,
15,NYM@CIN,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,team_total,paper_closed,lost,-29,29,consistent,
16,MIA@PHI,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,team_total,blocked_observation,unknown,NULL,NULL,expected_no_entry,
17,MIN@TEX,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX4,team_total,paper_closed,lost,-58,58,consistent,
18,MIN@TEX,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX6,team_total,paper_closed,lost,-34,34,consistent,
19,MIA@PHI,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA3,team_total,paper_closed,lost,-57,57,consistent,
20,NYM@CIN,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM8,team_total,blocked_observation,unknown,NULL,NULL,expected_no_entry,
21,SD@STL,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,team_total,blocked_observation,unknown,NULL,NULL,expected_no_entry,
22,DET@HOU,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU7,team_total,paper_closed,lost,-24,24,consistent,
23,MIN@TEX,KXMLBF5TOTAL-26JUN152005MINTEX-1,f5_total,paper_closed,lost,-9,9,consistent,
24,MIN@TEX,KXMLBTOTAL-26JUN152005MINTEX-8,fg_total,paper_closed,won,52,45,consistent,
25,MIA@PHI,KXMLBTOTAL-26JUN151840MIAPHI-6,fg_total,blocked_observation,unknown,NULL,NULL,expected_no_entry,
26,DET@HOU,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,team_total,paper_closed,won,10,87,consistent,
27,NYM@CIN,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM5,team_total,blocked_observation,unknown,NULL,NULL,expected_no_entry,
28,DET@HOU,KXMLBTOTAL-26JUN152010DETHOU-7,fg_total,paper_closed,lost,-28,28,consistent,
29,DET@HOU,KXMLBF5TOTAL-26JUN152010DETHOU-1,f5_total,paper_closed,lost,-6,6,consistent,
30,MIN@TEX,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX2,team_total,paper_closed,pushed,0,88,consistent,
31,TB@LAD,KXMLBTEAMTOTAL-26JUN152210TBLAD-LAD6,team_total,paper_open,unknown,NULL,42,open_never_settled,"At next watcher startup, check Kalshi settlement for this market and close the paper position with correct outcome + net_pnl_cents."
32,PIT@ATH,KXMLBTEAMTOTAL-26JUN152140PITATH-PIT3,team_total,paper_closed,lost,-79,79,consistent,
