game_id,market_ticker,derivative_type,selected_team,line_value,line_parsed,proposed_side,entry_price_cents,first_inning,last_inning,observation_count,original_label_rollup,replayed_label_rollup,original_watch_count,original_blocked_count,replayed_watch_count,replayed_blocked_count,settlement_result,paper_net_pnl_cents,market_mismatch_score,baseball_support_score,execution_quality_score,overall_watch_score,first_discovery_inflated
NYM@CIN,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,team_total,NYM,,6.0,YES,29,1,4,11,watch,blocked,6,5,0,11,loss,-29,100.0,50.0,100.0,85.0,True
MIA@PHI,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,team_total,MIA,,2.0,YES,,3,6,13,watch,blocked,8,5,0,13,unknown,,4.0,50.0,100.0,56.2,True
MIN@TEX,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX4,team_total,TEX,,4.0,YES,58,1,1,3,watch,blocked,2,1,0,3,loss,-58,10.0,55.0,100.0,59.5,True
MIN@TEX,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX6,team_total,TEX,,6.0,YES,34,1,3,6,watch,blocked,5,1,0,6,loss,-34,100.0,55.0,70.0,79.0,True
MIA@PHI,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA3,team_total,MIA,,3.0,YES,57,6,6,2,watch,blocked,1,1,0,2,loss,-57,100.0,25.0,40.0,58.0,True
NYM@CIN,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM8,team_total,NYM,,8.0,YES,,4,6,6,blocked,blocked,0,6,0,6,unknown,,92.0,50.0,0.0,55.3,True
SD@STL,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,team_total,SD,,2.0,YES,,4,6,11,watch,blocked,7,4,0,11,unknown,,100.0,50.0,80.0,80.0,True
DET@HOU,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU7,team_total,HOU,,7.0,YES,24,2,3,8,watch,blocked,6,2,0,8,unknown,,12.0,48.0,60.0,48.0,True
MIN@TEX,KXMLBF5TOTAL-26JUN152005MINTEX-1,f5_total,,1.0,,NO,9,3,4,4,watch,blocked,2,2,0,4,loss,-9,100.0,21.0,100.0,71.8,True
MIN@TEX,KXMLBTOTAL-26JUN152005MINTEX-8,fg_total,,8.0,,NO,45,5,9,13,watch,watch,6,7,6,7,win,52,70.0,22.0,100.0,63.1,True
MIA@PHI,KXMLBTOTAL-26JUN151840MIAPHI-6,fg_total,,6.0,,NO,,8,9,6,blocked,blocked,0,6,0,6,unknown,,58.0,27.0,100.0,61.0,True
DET@HOU,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,team_total,HOU,,2.0,YES,87,3,6,16,watch,blocked,10,6,0,16,unknown,,100.0,48.0,60.0,74.4,True
NYM@CIN,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM5,team_total,NYM,,5.0,YES,,6,6,1,blocked,blocked,0,1,0,1,unknown,,20.0,50.0,0.0,33.8,True
DET@HOU,KXMLBTOTAL-26JUN152010DETHOU-7,fg_total,,7.0,,NO,28,3,9,25,watch,watch,11,14,11,14,unknown,,88.0,25.0,100.0,69.4,True
DET@HOU,KXMLBF5TOTAL-26JUN152010DETHOU-1,f5_total,,1.0,,NO,6,3,4,4,watch,blocked,2,2,0,4,unknown,,18.0,21.0,100.0,47.2,True
MIN@TEX,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX2,team_total,TEX,,2.0,YES,88,6,6,2,watch,blocked,2,0,0,2,push,0,100.0,30.0,100.0,74.5,True
TB@LAD,KXMLBTEAMTOTAL-26JUN152210TBLAD-LAD6,team_total,LAD,,6.0,YES,42,1,2,8,watch,blocked,5,3,0,8,unknown,,8.0,55.0,100.0,58.9,True
PIT@ATH,KXMLBTEAMTOTAL-26JUN152140PITATH-PIT3,team_total,PIT,3.0,3.0,YES,79,2,6,20,watch,blocked,11,9,0,20,unknown,,100.0,55.0,100.0,86.5,True
