market_ticker,db_line_value,parsed_line_value,resolved_line_value,resolve_source
KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,NULL,6.0,6.0,ticker_parsed
KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,NULL,2.0,2.0,ticker_parsed
KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX4,NULL,4.0,4.0,ticker_parsed
KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX6,NULL,6.0,6.0,ticker_parsed
KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA3,NULL,3.0,3.0,ticker_parsed
KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM8,NULL,8.0,8.0,ticker_parsed
KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,NULL,2.0,2.0,ticker_parsed
KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU7,NULL,7.0,7.0,ticker_parsed
KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,NULL,2.0,2.0,ticker_parsed
KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM5,NULL,5.0,5.0,ticker_parsed
KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX2,NULL,2.0,2.0,ticker_parsed
KXMLBTEAMTOTAL-26JUN152210TBLAD-LAD6,NULL,6.0,6.0,ticker_parsed
KXMLBTEAMTOTAL-26JUN152140PITATH-PIT3,3.0,3.0,3.0,db
