paper_setup_id,game_id,derivative_type,market_ticker,side,tape_label,entry_price,entry_spread_cents,stop_loss_price,profit_watch_price,strong_exit_price,raw_edge_cents,entry_price_cents,entry_friction_cents,exit_friction_cents,spread_penalty_cents,thin_tape_penalty_cents,conservative_fee_buffer_cents,conservative_net_edge_cents,paper_take_eligible,friction_fail_reason,hedge_alternative_cost_cents,settlement_result,paper_net_pnl_cents
15,NYM@CIN,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,YES,usable_tape,29,2,27,57,82,71,29,1,1,0,0,5,64,True,,73,loss,-29
16,MIA@PHI,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,YES,usable_tape,,,,,,,,,,,,,,False,missing_bid_ask,,unknown,
17,MIN@TEX,team_total,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX4,YES,usable_tape,58,1,57,75,90,41,59,1,1,0,0,6,33,True,,42,loss,-58
18,MIN@TEX,team_total,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX6,YES,usable_tape,34,3,31,60,84,65,35,2,2,0,0,5,56,True,,68,loss,-34
19,MIA@PHI,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA3,YES,usable_tape,57,1,56,74,89,42,58,1,1,0,0,6,34,True,,43,loss,-57
20,NYM@CIN,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM8,YES,usable_tape,,,,,,,,,,,,,,False,missing_bid_ask,,unknown,
21,SD@STL,team_total,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,YES,usable_tape,,,,,,,,,,,,,,False,missing_bid_ask,,unknown,
22,DET@HOU,team_total,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU7,YES,usable_tape,24,1,23,54,81,75,25,1,1,0,0,5,68,True,,76,loss,-24
23,MIN@TEX,f5_total,KXMLBF5TOTAL-26JUN152005MINTEX-1,NO,usable_tape,9,4,5,45,77,91,9,2,2,0,0,4,83,True,,95,loss,-9
24,MIN@TEX,fg_total,KXMLBTOTAL-26JUN152005MINTEX-8,NO,usable_tape,45,1,44,67,86,55,45,1,1,0,0,6,47,True,,56,win,52
25,MIA@PHI,fg_total,KXMLBTOTAL-26JUN151840MIAPHI-6,NO,usable_tape,,,,,,,,,,,,,,False,missing_bid_ask,,unknown,
26,DET@HOU,team_total,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,YES,usable_tape,87,1,86,92,95,12,88,1,1,0,0,4,6,False,insufficient_net_edge,13,win,10
27,NYM@CIN,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM5,YES,usable_tape,,,,,,,,,,,,,,False,missing_bid_ask,,unknown,
28,DET@HOU,fg_total,KXMLBTOTAL-26JUN152010DETHOU-7,NO,usable_tape,28,1,27,57,82,72,28,1,1,0,0,5,65,True,,73,loss,-28
29,DET@HOU,f5_total,KXMLBF5TOTAL-26JUN152010DETHOU-1,NO,usable_tape,6,4,2,44,76,94,6,2,2,0,0,4,86,True,,98,loss,-6
30,MIN@TEX,team_total,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX2,YES,usable_tape,88,3,85,93,95,11,89,2,2,0,0,4,3,False,insufficient_net_edge,14,push,0
31,TB@LAD,team_total,KXMLBTEAMTOTAL-26JUN152210TBLAD-LAD6,YES,usable_tape,42,1,41,65,86,57,43,1,1,0,0,6,49,True,,58,unknown,
32,PIT@ATH,team_total,KXMLBTEAMTOTAL-26JUN152140PITATH-PIT3,YES,usable_tape,79,2,77,87,95,21,79,1,1,0,0,5,14,True,,23,loss,-79
