game_date,game_pk,game_id,team_abbr,opponent_abbr,side,games_played_before_game,wins_before_game,losses_before_game,win_pct_before_game,season_rpg_before_game,season_runs_allowed_before_game,season_run_diff_pg_before_game,l1_rpg,l5_rpg,l10_rpg,l1_runs_allowed,l5_runs_allowed,l10_runs_allowed,l5_win_pct,l10_win_pct,league_avg_rpg_before_game,team_strength_proxy,offense_form_proxy,run_prevention_proxy,confidence_label,notes
2025-03-18,778563,LAD@CHC,LAD,CHC,away,0,0,0,,,,,,,,,,,,,4.5,50.0,50.0,50.0,none,no_prior_games
2025-03-18,778563,LAD@CHC,CHC,LAD,home,0,0,0,,,,,,,,,,,,,4.5,50.0,50.0,50.0,none,no_prior_games
2025-03-18,778716,WSN@HOU,WSN,HOU,away,0,0,0,,,,,,,,,,,,,4.5,50.0,50.0,50.0,none,no_prior_games
2025-03-18,778716,WSN@HOU,HOU,WSN,home,0,0,0,,,,,,,,,,,,,4.5,50.0,50.0,50.0,none,no_prior_games
2025-03-18,778783,SF@COL,SF,COL,away,0,0,0,,,,,,,,,,,,,4.5,50.0,50.0,50.0,none,no_prior_games
2025-03-18,778783,SF@COL,COL,SF,home,0,0,0,,,,,,,,,,,,,4.5,50.0,50.0,50.0,none,no_prior_games
2025-03-18,778812,LAA@CIN,LAA,CIN,away,0,0,0,,,,,,,,,,,,,4.5,50.0,50.0,50.0,none,no_prior_games
2025-03-18,778812,LAA@CIN,CIN,LAA,home,0,0,0,,,,,,,,,,,,,4.5,50.0,50.0,50.0,none,no_prior_games
2025-03-18,778870,DET@MIN,DET,MIN,away,0,0,0,,,,,,,,,,,,,4.5,50.0,50.0,50.0,none,no_prior_games
2025-03-18,778870,DET@MIN,MIN,DET,home,0,0,0,,,,,,,,,,,,,4.5,50.0,50.0,50.0,none,no_prior_games
2025-03-18,778921,CLE@TEX,CLE,TEX,away,0,0,0,,,,,,,,,,,,,4.5,50.0,50.0,50.0,none,no_prior_games
2025-03-18,778921,CLE@TEX,TEX,CLE,home,0,0,0,,,,,,,,,,,,,4.5,50.0,50.0,50.0,none,no_prior_games
2025-03-18,778979,SD@SF,SD,SF,away,0,0,0,,,,,,,,,,,,,4.5,50.0,50.0,50.0,none,no_prior_games
2025-03-18,778979,SD@SF,SF,SD,home,0,0,0,,,,,,,,,,,,,4.5,50.0,50.0,50.0,none,no_prior_games
2025-03-18,779001,MIL@SEA,MIL,SEA,away,0,0,0,,,,,,,,,,,,,4.5,50.0,50.0,50.0,none,no_prior_games
2025-03-18,779001,MIL@SEA,SEA,MIL,home,0,0,0,,,,,,,,,,,,,4.5,50.0,50.0,50.0,none,no_prior_games
2025-03-18,779025,PHI@PIT,PHI,PIT,away,0,0,0,,,,,,,,,,,,,4.5,50.0,50.0,50.0,none,no_prior_games
2025-03-18,779025,PHI@PIT,PIT,PHI,home,0,0,0,,,,,,,,,,,,,4.5,50.0,50.0,50.0,none,no_prior_games
2025-03-18,779043,BOS@NYY,BOS,NYY,away,0,0,0,,,,,,,,,,,,,4.5,50.0,50.0,50.0,none,no_prior_games
2025-03-18,779043,BOS@NYY,NYY,BOS,home,0,0,0,,,,,,,,,,,,,4.5,50.0,50.0,50.0,none,no_prior_games
2025-03-18,779062,MIA@STL,MIA,STL,away,0,0,0,,,,,,,,,,,,,4.5,50.0,50.0,50.0,none,no_prior_games
2025-03-18,779062,MIA@STL,STL,MIA,home,0,0,0,,,,,,,,,,,,,4.5,50.0,50.0,50.0,none,no_prior_games
2025-03-18,779119,TOR@BAL,TOR,BAL,away,0,0,0,,,,,,,,,,,,,4.5,50.0,50.0,50.0,none,no_prior_games
2025-03-18,779119,TOR@BAL,BAL,TOR,home,0,0,0,,,,,,,,,,,,,4.5,50.0,50.0,50.0,none,no_prior_games
2025-03-19,778564,LAD@CHC,LAD,CHC,away,1,1,0,1.0,4.0,1.0,3.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,3.667,79.0,52.0,66.0,low,
2025-03-19,778564,LAD@CHC,CHC,LAD,home,1,0,1,0.0,1.0,4.0,-3.0,1.0,1.0,1.0,4.0,4.0,4.0,0.0,0.0,3.667,41.0,34.0,48.0,low,
2025-03-19,778715,NYM@HOU,NYM,HOU,away,0,0,0,,,,,,,,,,,,,3.667,50.0,50.0,50.0,none,no_prior_games
2025-03-19,778715,NYM@HOU,HOU,NYM,home,1,0,1,0.0,3.0,4.0,-1.0,3.0,3.0,3.0,4.0,4.0,4.0,0.0,0.0,3.667,47.0,46.0,48.0,low,
2025-03-19,778768,DET@BOS,DET,BOS,away,1,1,0,1.0,6.0,5.0,1.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1.0,3.667,73.0,64.0,42.0,low,
2025-03-19,778768,DET@BOS,BOS,DET,home,1,0,1,0.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,3.667,50.0,52.0,48.0,low,
2025-03-19,778782,COL@AZ,COL,AZ,away,1,1,0,1.0,3.0,1.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.667,76.0,46.0,66.0,low,
2025-03-19,778782,COL@AZ,AZ,COL,home,0,0,0,,,,,,,,,,,,,3.667,50.0,50.0,50.0,none,no_prior_games
2025-03-19,778813,ATH@CLE,ATH,CLE,away,0,0,0,,,,,,,,,,,,,3.667,50.0,50.0,50.0,none,no_prior_games
