team_abbr,games_played,wins,losses,win_pct,runs_per_game,runs_allowed_per_game,run_diff_per_game,l5_rpg,l10_rpg,l5_runs_allowed,l10_runs_allowed
AL,1,0,1,0.0,6.0,7.0,-1.0,6.0,6.0,7.0,7.0
ATH,168,80,88,0.476,4.589,5.024,-0.435,3.8,3.3,5.4,4.7
ATL,169,80,89,0.473,4.509,4.438,0.071,2.8,5.6,3.8,3.6
AZ,170,84,86,0.494,4.965,4.824,0.141,2.6,3.4,7.4,5.9
BAL,167,77,90,0.461,4.204,4.868,-0.665,3.0,2.7,5.6,5.0
BOS,173,94,79,0.543,4.809,4.208,0.601,2.2,3.0,2.8,3.2
CHC,175,97,78,0.554,4.737,4.063,0.674,3.4,3.2,4.4,3.0
CIN,171,86,85,0.503,4.456,4.275,0.181,4.2,3.5,5.4,3.9
CLE,173,92,81,0.532,3.971,4.104,-0.133,4.4,3.9,3.8,3.9
COL,171,48,123,0.281,3.702,6.152,-2.45,2.0,3.0,5.8,5.2
CWS,169,63,106,0.373,4.012,4.675,-0.663,5.4,3.9,5.6,4.7
DAY,1,1,0,1.0,7.0,5.0,2.0,7.0,7.0,5.0,5.0
DET,178,93,85,0.522,4.579,4.213,0.365,4.0,3.4,3.8,3.4
HOU,170,91,79,0.535,4.318,4.135,0.182,5.2,3.9,3.6,4.2
KC,169,86,83,0.509,4.065,4.006,0.059,5.4,6.2,3.0,3.1
LAA,170,74,96,0.435,4.076,5.088,-1.012,2.8,3.0,5.2,4.9
LAD,181,107,74,0.591,5.011,4.133,0.878,3.4,3.6,3.8,3.4
MEM,1,0,1,0.0,2.0,3.0,-1.0,2.0,2.0,3.0,3.0
MIA,169,82,87,0.485,4.337,4.959,-0.621,2.2,4.0,3.8,4.0
MIL,178,103,75,0.579,4.876,3.994,0.882,1.4,3.0,3.2,3.4
MIN,169,74,95,0.438,4.189,4.704,-0.515,2.6,2.5,1.8,3.2
MTY,2,0,2,0.0,4.5,11.0,-6.5,4.5,4.5,11.0,11.0
NL,1,1,0,1.0,7.0,6.0,1.0,7.0,7.0,6.0,6.0
NYM,168,87,81,0.518,4.81,4.375,0.435,3.6,5.0,5.0,4.7
NYY,178,100,78,0.562,5.174,4.315,0.86,4.6,4.5,6.8,4.7
PHI,174,101,73,0.58,4.799,4.075,0.724,3.4,3.7,2.8,2.7
PIT,168,72,96,0.429,3.518,3.958,-0.44,3.6,4.2,2.6,2.7
SAC,1,1,0,1.0,4.0,3.0,1.0,4.0,4.0,3.0,3.0
SD,172,94,78,0.547,4.308,3.831,0.477,4.4,4.5,2.2,2.4
SEA,181,100,81,0.552,4.796,4.326,0.47,3.4,4.4,6.6,5.2
SF,170,86,84,0.506,4.341,4.194,0.147,5.2,4.3,3.6,4.0
STL,169,81,88,0.479,4.243,4.574,-0.331,3.2,3.8,6.6,4.9
SUG,2,1,1,0.5,5.5,7.0,-1.5,5.5,5.5,7.0,7.0
TB,168,79,89,0.47,4.44,4.22,0.22,3.6,3.9,6.0,5.6
TEX,170,83,87,0.488,4.206,3.771,0.435,4.2,3.3,4.2,4.4
TOR,184,108,76,0.587,5.0,4.397,0.603,3.8,5.0,3.4,3.4
WSN,169,68,101,0.402,4.189,5.556,-1.367,4.2,4.4,5.8,6.6
