game_pk,game_date,away_abbr,home_abbr,reason
823649,2026-03-26,PIT,NYM,before_regular_start
823812,2026-03-26,CWS,MIL,before_regular_start
824704,2026-03-26,WSN,CHC,before_regular_start
824865,2026-03-26,MIN,BAL,before_regular_start
823325,2026-03-26,DET,SD,before_regular_start
824218,2026-03-26,LAA,HOU,before_regular_start
824541,2026-03-26,BOS,CIN,before_regular_start
823081,2026-03-26,TB,STL,before_regular_start
823486,2026-03-26,TEX,PHI,before_regular_start
823974,2026-03-26,AZ,LAD,before_regular_start
823163,2026-03-26,CLE,SEA,before_regular_start
