team_abbr,games_played,wins,losses,win_pct,runs_per_game,runs_allowed_per_game,run_diff_per_game,l5_rpg,l10_rpg,l5_runs_allowed,l10_runs_allowed
ATH,162,50,112,0.309,3.611,5.704,-2.093,3.4,3.5,4.4,4.5
ATL,166,105,61,0.633,5.753,4.434,1.319,3.4,4.6,6.0,5.7
AZ,179,94,85,0.525,4.575,4.626,-0.05,4.4,4.0,5.2,4.1
BAL,165,101,64,0.612,4.958,4.236,0.721,3.4,3.0,5.8,3.4
BOS,162,78,84,0.481,4.765,4.79,-0.025,2.2,2.8,2.6,4.3
CHC,162,83,79,0.512,5.056,4.463,0.593,4.2,4.9,5.0,4.6
CIN,162,82,80,0.506,4.833,5.068,-0.235,8.4,6.6,6.4,6.6
CLE,162,76,86,0.469,4.086,4.302,-0.216,4.0,3.8,6.4,5.5
COL,162,59,103,0.364,4.451,5.907,-1.457,6.2,4.3,7.2,6.4
CWS,162,61,101,0.377,3.957,5.191,-1.235,1.4,2.0,3.0,4.8
DET,162,78,84,0.481,4.08,4.568,-0.488,6.6,5.1,2.4,3.0
HOU,173,96,77,0.555,5.087,4.335,0.751,5.8,4.7,6.4,4.8
KC,162,56,106,0.346,4.173,5.302,-1.13,4.4,4.7,5.4,4.7
LAA,162,73,89,0.451,4.562,5.117,-0.556,4.8,3.9,3.8,4.6
LAD,165,100,65,0.606,5.527,4.352,1.176,2.4,4.3,4.6,4.7
MIA,164,84,80,0.512,4.073,4.476,-0.402,2.6,3.0,4.0,3.9
MIL,164,92,72,0.561,4.47,4.012,0.457,3.8,3.1,4.8,4.1
MIN,168,90,78,0.536,4.738,4.048,0.69,3.0,4.2,4.0,3.8
NYM,162,75,87,0.463,4.426,4.5,-0.074,3.8,4.5,4.0,4.4
NYY,162,82,80,0.506,4.154,4.309,-0.154,3.6,3.9,5.0,4.0
PHI,175,98,77,0.56,4.897,4.263,0.634,3.0,4.7,3.6,2.9
PIT,162,76,86,0.469,4.272,4.877,-0.605,3.6,5.0,4.0,5.0
SD,162,82,80,0.506,4.642,4.0,0.642,4.0,4.2,1.2,1.9
SEA,162,88,74,0.543,4.679,4.068,0.611,3.2,3.6,3.2,4.2
SF,162,79,83,0.488,4.16,4.438,-0.278,1.6,1.9,4.2,4.0
STL,162,71,91,0.438,4.438,5.117,-0.679,4.6,3.6,6.8,5.9
TB,164,99,65,0.604,5.25,4.122,1.128,4.8,5.2,7.0,6.3
TEX,179,103,76,0.575,5.464,4.374,1.089,5.2,5.8,4.4,5.1
TOR,164,89,75,0.543,4.555,4.122,0.433,5.0,4.6,5.6,4.8
WSN,162,71,91,0.438,4.321,5.216,-0.895,4.8,5.4,5.2,5.8
