season,state_bucket,l10_rpg_bucket,count,eventually_won_rate,tied_or_led_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,baseline_count,eventually_won_baseline_rate,eventually_won_lift,tied_or_led_later_baseline_rate,tied_or_led_later_lift,scored_next_1_inning_baseline_rate,scored_next_1_inning_lift,scored_next_2_innings_baseline_rate,scored_next_2_innings_lift,reduced_deficit_next_2_baseline_rate,reduced_deficit_next_2_lift,within_1_next_2_baseline_rate,within_1_next_2_lift
2024,down_5_plus_late_7_plus,mid_3_5_4_5,1774,0.0051,0.0085,0.3303,0.3867,0.3112,0.0186,5053,0.0073,-0.0022,0.0113,-0.0028,0.3275,0.0028,0.3794,0.0073,0.3137,-0.0025,0.0263,-0.0077
2024,down_1_early_1_3,mid_3_5_4_5,1766,0.3126,0.5985,0.3732,0.5238,0.3964,0.9547,5340,0.3575,-0.0449,0.6305,-0.032,0.3964,-0.0232,0.5468,-0.023,0.4255,-0.0291,0.9541,0.0006
2023,down_5_plus_late_7_plus,mid_3_5_4_5,1728,0.0127,0.0127,0.3617,0.4184,0.3524,0.026,4855,0.0054,0.0073,0.0072,0.0055,0.3574,0.0043,0.4122,0.0062,0.3429,0.0095,0.0185,0.0075
2025,down_1_early_1_3,mid_3_5_4_5,1711,0.3542,0.6032,0.4039,0.5564,0.4465,0.9532,5522,0.3892,-0.035,0.648,-0.0448,0.404,-0.0001,0.5594,-0.003,0.4591,-0.0126,0.958,-0.0048
2025,down_1_early_1_3,high_4_5_5_5,1680,0.4262,0.6911,0.4065,0.5565,0.4708,0.9595,5522,0.3892,0.037,0.648,0.0431,0.404,0.0025,0.5594,-0.0029,0.4591,0.0117,0.958,0.0015
2025,down_5_plus_late_7_plus,mid_3_5_4_5,1641,0.003,0.0061,0.3309,0.3998,0.3181,0.0152,5064,0.0057,-0.0027,0.0079,-0.0018,0.3474,-0.0165,0.4017,-0.0019,0.3323,-0.0142,0.0166,-0.0014
2023,down_1_early_1_3,mid_3_5_4_5,1638,0.3681,0.6136,0.3919,0.5568,0.4243,0.9554,5257,0.3827,-0.0146,0.6371,-0.0235,0.4141,-0.0222,0.5632,-0.0064,0.4392,-0.0149,0.9583,-0.0029
2023,down_1_early_1_3,high_4_5_5_5,1615,0.3895,0.6502,0.4217,0.5703,0.4514,0.9585,5257,0.3827,0.0068,0.6371,0.0131,0.4141,0.0076,0.5632,0.0071,0.4392,0.0122,0.9583,0.0002
2024,down_1_early_1_3,high_4_5_5_5,1589,0.3537,0.6023,0.3751,0.5186,0.3933,0.9427,5340,0.3575,-0.0038,0.6305,-0.0282,0.3964,-0.0213,0.5468,-0.0282,0.4255,-0.0322,0.9541,-0.0114
2024,down_5_plus_late_7_plus,high_4_5_5_5,1547,0.009,0.0123,0.3284,0.3743,0.3264,0.0233,5053,0.0073,0.0017,0.0113,0.001,0.3275,0.0009,0.3794,-0.0051,0.3137,0.0127,0.0263,-0.003
2024,down_1_late_7_plus,mid_3_5_4_5,1515,0.2165,0.3063,0.3182,0.3644,0.3063,0.9723,4150,0.232,-0.0155,0.3383,-0.032,0.3525,-0.0343,0.4051,-0.0407,0.3383,-0.032,0.974,-0.0017
2025,down_5_plus_late_7_plus,high_4_5_5_5,1509,0.0053,0.008,0.3512,0.395,0.3181,0.0126,5064,0.0057,-0.0004,0.0079,0.0001,0.3474,0.0038,0.4017,-0.0067,0.3323,-0.0142,0.0166,-0.004
2023,down_5_plus_late_7_plus,high_4_5_5_5,1415,0.0,0.0064,0.3682,0.4226,0.342,0.0177,4855,0.0054,-0.0054,0.0072,-0.0008,0.3574,0.0108,0.4122,0.0104,0.3429,-0.0009,0.0185,-0.0008
2023,down_1_late_7_plus,mid_3_5_4_5,1314,0.2275,0.3455,0.3584,0.4072,0.3455,0.9718,4144,0.2266,0.0009,0.3313,0.0142,0.3448,0.0136,0.3924,0.0148,0.3313,0.0142,0.9718,0.0
2023,down_1_late_7_plus,high_4_5_5_5,1307,0.2303,0.2999,0.3152,0.3665,0.2999,0.9663,4144,0.2266,0.0037,0.3313,-0.0314,0.3448,-0.0296,0.3924,-0.0259,0.3313,-0.0314,0.9718,-0.0055
2024,down_1_f5_1_5,mid_3_5_4_5,1303,0.2978,0.5295,0.3745,0.5388,0.4021,0.9731,3704,0.3386,-0.0408,0.5702,-0.0407,0.4023,-0.0278,0.5664,-0.0276,0.4355,-0.0334,0.9754,-0.0023
2025,down_1_late_7_plus,mid_3_5_4_5,1241,0.1773,0.2707,0.2764,0.328,0.2707,0.9726,4136,0.2038,-0.0265,0.3039,-0.0332,0.3138,-0.0374,0.3656,-0.0376,0.3039,-0.0332,0.9768,-0.0042
2025,down_1_late_7_plus,high_4_5_5_5,1218,0.2053,0.3054,0.3235,0.3621,0.3054,0.9795,4136,0.2038,0.0015,0.3039,0.0015,0.3138,0.0097,0.3656,-0.0035,0.3039,0.0015,0.9768,0.0027
2024,down_1_late_7_plus,high_4_5_5_5,1190,0.2311,0.3521,0.3706,0.4261,0.3521,0.9731,4150,0.232,-0.0009,0.3383,0.0138,0.3525,0.0181,0.4051,0.021,0.3383,0.0138,0.974,-0.0009
2023,down_1_early_1_3,very_high_5_5_plus,1165,0.4197,0.6498,0.4369,0.5768,0.4524,0.9605,5257,0.3827,0.037,0.6371,0.0127,0.4141,0.0228,0.5632,0.0136,0.4392,0.0132,0.9583,0.0022
2024,down_2_late_7_plus,mid_3_5_4_5,1161,0.0922,0.137,0.3075,0.3557,0.2989,0.2989,3327,0.1214,-0.0292,0.1776,-0.0406,0.3408,-0.0333,0.3956,-0.0399,0.3267,-0.0278,0.3267,-0.0278
2025,down_1_f5_1_5,high_4_5_5_5,1139,0.4021,0.6084,0.4056,0.5505,0.4627,0.9693,3632,0.3648,0.0373,0.5765,0.0319,0.4025,0.0031,0.5498,0.0007,0.4452,0.0175,0.9722,-0.0029
2023,down_1_f5_1_5,mid_3_5_4_5,1122,0.3494,0.5784,0.4029,0.5481,0.4447,0.9706,3577,0.3528,-0.0034,0.5801,-0.0017,0.4082,-0.0053,0.5639,-0.0158,0.4507,-0.006,0.9723,-0.0017
2023,down_1_f5_1_5,high_4_5_5_5,1111,0.3636,0.5644,0.4059,0.559,0.4401,0.9739,3577,0.3528,0.0108,0.5801,-0.0157,0.4082,-0.0023,0.5639,-0.0049,0.4507,-0.0106,0.9723,0.0016
2025,down_1_f5_1_5,mid_3_5_4_5,1107,0.3397,0.561,0.402,0.5682,0.4481,0.9756,3632,0.3648,-0.0251,0.5765,-0.0155,0.4025,-0.0005,0.5498,0.0184,0.4452,0.0029,0.9722,0.0034
2023,down_2_late_7_plus,high_4_5_5_5,1095,0.0986,0.1553,0.3132,0.3763,0.3132,0.3132,3321,0.1186,-0.02,0.174,-0.0187,0.3342,-0.021,0.3927,-0.0164,0.3219,-0.0087,0.3219,-0.0087
2024,down_1_f5_1_5,high_4_5_5_5,1068,0.3876,0.6096,0.397,0.5787,0.4476,0.9775,3704,0.3386,0.049,0.5702,0.0394,0.4023,-0.0053,0.5664,0.0123,0.4355,0.0121,0.9754,0.0021
2025,down_1_early_1_3,low_lt_3_5,1056,0.3494,0.6165,0.4025,0.5597,0.4489,0.9536,5522,0.3892,-0.0398,0.648,-0.0315,0.404,-0.0015,0.5594,0.0003,0.4591,-0.0102,0.958,-0.0044
2024,down_1_early_1_3,low_lt_3_5,1043,0.3912,0.6731,0.3988,0.5647,0.4487,0.9693,5340,0.3575,0.0337,0.6305,0.0426,0.3964,0.0024,0.5468,0.0179,0.4255,0.0232,0.9541,0.0152
2023,down_2_late_7_plus,mid_3_5_4_5,1040,0.124,0.1827,0.3529,0.4058,0.3269,0.3269,3321,0.1186,0.0054,0.174,0.0087,0.3342,0.0187,0.3927,0.0131,0.3219,0.005,0.3219,0.005
2025,down_2_late_7_plus,mid_3_5_4_5,1040,0.099,0.1817,0.3221,0.3817,0.3365,0.3365,3185,0.1058,-0.0068,0.1799,0.0018,0.3341,-0.012,0.3962,-0.0145,0.3353,0.0012,0.3353,0.0012
2025,down_1_early_1_3,very_high_5_5_plus,1033,0.4288,0.6883,0.3988,0.5644,0.4743,0.9661,5522,0.3892,0.0396,0.648,0.0403,0.404,-0.0052,0.5594,0.005,0.4591,0.0152,0.958,0.0081
2024,down_2_early_1_3,mid_3_5_4_5,1008,0.2341,0.4127,0.3681,0.5288,0.4077,0.4077,3030,0.2554,-0.0213,0.4502,-0.0375,0.3835,-0.0154,0.5419,-0.0131,0.4145,-0.0068,0.4145,-0.0068
2024,down_2_f5_1_5,mid_3_5_4_5,974,0.1992,0.3234,0.3922,0.5472,0.4168,0.4168,2806,0.2217,-0.0225,0.3553,-0.0319,0.3813,0.0109,0.5474,-0.0002,0.4195,-0.0027,0.4195,-0.0027
2025,down_2_late_7_plus,high_4_5_5_5,974,0.0903,0.1817,0.3244,0.3953,0.3275,0.3275,3185,0.1058,-0.0155,0.1799,0.0018,0.3341,-0.0097,0.3962,-0.0009,0.3353,-0.0078,0.3353,-0.0078
2024,down_3_late_7_plus,mid_3_5_4_5,963,0.0488,0.0717,0.3157,0.3676,0.3032,0.1319,2744,0.0466,0.0022,0.0678,0.0039,0.3287,-0.013,0.3812,-0.0136,0.32,-0.0168,0.1396,-0.0077
2025,down_5_plus_late_7_plus,low_lt_3_5,963,0.0093,0.0114,0.3801,0.4278,0.3832,0.0332,5064,0.0057,0.0036,0.0079,0.0035,0.3474,0.0327,0.4017,0.0261,0.3323,0.0509,0.0166,0.0166
2023,down_2_early_1_3,mid_3_5_4_5,961,0.2986,0.4755,0.4183,0.5775,0.4631,0.4631,2917,0.2989,-0.0003,0.505,-0.0295,0.432,-0.0137,0.5883,-0.0108,0.4758,-0.0127,0.4758,-0.0127
2024,down_2_late_7_plus,high_4_5_5_5,959,0.1522,0.195,0.3462,0.4077,0.3264,0.3264,3327,0.1214,0.0308,0.1776,0.0174,0.3408,0.0054,0.3956,0.0121,0.3267,-0.0003,0.3267,-0.0003
2025,down_5_plus_late_7_plus,very_high_5_5_plus,937,0.0075,0.0075,0.3362,0.3895,0.3287,0.0085,5064,0.0057,0.0018,0.0079,-0.0004,0.3474,-0.0112,0.4017,-0.0122,0.3323,-0.0036,0.0166,-0.0081
2024,down_1_early_1_3,very_high_5_5_plus,921,0.4093,0.6938,0.4756,0.62,0.5103,0.9566,5340,0.3575,0.0518,0.6305,0.0633,0.3964,0.0792,0.5468,0.0732,0.4255,0.0848,0.9541,0.0025
2024,down_2_early_1_3,high_4_5_5_5,921,0.2465,0.4571,0.3453,0.5201,0.3887,0.3887,3030,0.2554,-0.0089,0.4502,0.0069,0.3835,-0.0382,0.5419,-0.0218,0.4145,-0.0258,0.4145,-0.0258
2025,down_2_early_1_3,mid_3_5_4_5,906,0.2472,0.4238,0.3775,0.5298,0.4238,0.4238,2763,0.2649,-0.0177,0.4629,-0.0391,0.3959,-0.0184,0.553,-0.0232,0.447,-0.0232,0.447,-0.0232
2023,down_5_plus_late_7_plus,very_high_5_5_plus,898,0.0,0.0,0.3396,0.402,0.3374,0.0067,4855,0.0054,-0.0054,0.0072,-0.0072,0.3574,-0.0178,0.4122,-0.0102,0.3429,-0.0055,0.0185,-0.0118
2024,down_5_plus_late_7_plus,low_lt_3_5,896,0.0112,0.0156,0.3136,0.385,0.3013,0.0324,5053,0.0073,0.0039,0.0113,0.0043,0.3275,-0.0139,0.3794,0.0056,0.3137,-0.0124,0.0263,0.0061
2023,down_2_f5_1_5,mid_3_5_4_5,888,0.2038,0.3694,0.4167,0.5698,0.4482,0.4482,2652,0.2466,-0.0428,0.4163,-0.0469,0.4427,-0.026,0.592,-0.0222,0.4729,-0.0247,0.4729,-0.0247
