season,state_bucket,offense_form_bucket,count,eventually_won_rate,tied_or_led_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,baseline_count,eventually_won_baseline_rate,eventually_won_lift,tied_or_led_later_baseline_rate,tied_or_led_later_lift,scored_next_1_inning_baseline_rate,scored_next_1_inning_lift,scored_next_2_innings_baseline_rate,scored_next_2_innings_lift,reduced_deficit_next_2_baseline_rate,reduced_deficit_next_2_lift,within_1_next_2_baseline_rate,within_1_next_2_lift
2025,down_1_early_1_3,50_55,1595,0.4307,0.6934,0.4031,0.5542,0.4671,0.9661,5522,0.3892,0.0415,0.648,0.0454,0.404,-0.0009,0.5594,-0.0052,0.4591,0.008,0.958,0.0081
2024,down_5_plus_late_7_plus,45_50,1503,0.006,0.01,0.3413,0.4019,0.322,0.0166,5053,0.0073,-0.0013,0.0113,-0.0013,0.3275,0.0138,0.3794,0.0225,0.3137,0.0083,0.0263,-0.0097
2023,down_5_plus_late_7_plus,45_50,1490,0.0114,0.0114,0.3483,0.4101,0.3302,0.0154,4855,0.0054,0.006,0.0072,0.0042,0.3574,-0.0091,0.4122,-0.0021,0.3429,-0.0127,0.0185,-0.0031
2024,down_1_early_1_3,45_50,1488,0.3233,0.6136,0.3837,0.5302,0.4093,0.9563,5340,0.3575,-0.0342,0.6305,-0.0169,0.3964,-0.0127,0.5468,-0.0166,0.4255,-0.0162,0.9541,0.0022
2025,down_1_early_1_3,45_50,1438,0.363,0.614,0.411,0.5661,0.4534,0.9527,5522,0.3892,-0.0262,0.648,-0.034,0.404,0.007,0.5594,0.0067,0.4591,-0.0057,0.958,-0.0053
2023,down_1_early_1_3,50_55,1436,0.3733,0.6511,0.4283,0.5745,0.4617,0.9596,5257,0.3827,-0.0094,0.6371,0.014,0.4141,0.0142,0.5632,0.0113,0.4392,0.0225,0.9583,0.0013
2024,down_1_early_1_3,50_55,1431,0.3578,0.6003,0.3599,0.5136,0.3816,0.9455,5340,0.3575,0.0003,0.6305,-0.0302,0.3964,-0.0365,0.5468,-0.0332,0.4255,-0.0439,0.9541,-0.0086
2023,down_1_early_1_3,45_50,1429,0.3926,0.613,0.4052,0.5703,0.4276,0.9524,5257,0.3827,0.0099,0.6371,-0.0241,0.4141,-0.0089,0.5632,0.0071,0.4392,-0.0116,0.9583,-0.0059
2025,down_5_plus_late_7_plus,50_55,1405,0.0057,0.0085,0.3587,0.4064,0.3196,0.0171,5064,0.0057,0.0,0.0079,0.0006,0.3474,0.0113,0.4017,0.0047,0.3323,-0.0127,0.0166,0.0005
2024,down_5_plus_late_7_plus,50_55,1341,0.0037,0.0037,0.3229,0.3587,0.311,0.0157,5053,0.0073,-0.0036,0.0113,-0.0076,0.3275,-0.0046,0.3794,-0.0207,0.3137,-0.0027,0.0263,-0.0106
2025,down_5_plus_late_7_plus,45_50,1339,0.0037,0.0075,0.3323,0.4018,0.3226,0.0134,5064,0.0057,-0.002,0.0079,-0.0004,0.3474,-0.0151,0.4017,0.0001,0.3323,-0.0097,0.0166,-0.0032
2024,down_1_late_7_plus,45_50,1299,0.2109,0.2964,0.311,0.3518,0.2964,0.9731,4150,0.232,-0.0211,0.3383,-0.0419,0.3525,-0.0415,0.4051,-0.0533,0.3383,-0.0419,0.974,-0.0009
2023,down_5_plus_late_7_plus,50_55,1208,0.0,0.0075,0.3568,0.4081,0.3402,0.024,4855,0.0054,-0.0054,0.0072,0.0003,0.3574,-0.0006,0.4122,-0.0041,0.3429,-0.0027,0.0185,0.0055
2023,down_1_late_7_plus,45_50,1182,0.214,0.3122,0.3291,0.3782,0.3122,0.9721,4144,0.2266,-0.0126,0.3313,-0.0191,0.3448,-0.0157,0.3924,-0.0142,0.3313,-0.0191,0.9718,0.0003
2025,down_1_late_7_plus,50_55,1126,0.2025,0.3117,0.3268,0.3694,0.3117,0.9778,4136,0.2038,-0.0013,0.3039,0.0078,0.3138,0.013,0.3656,0.0038,0.3039,0.0078,0.9768,0.001
2023,down_1_late_7_plus,50_55,1118,0.2415,0.3229,0.3309,0.3801,0.3229,0.9678,4144,0.2266,0.0149,0.3313,-0.0084,0.3448,-0.0139,0.3924,-0.0123,0.3313,-0.0084,0.9718,-0.004
2024,down_1_f5_1_5,45_50,1115,0.2906,0.5309,0.3821,0.5534,0.4,0.9704,3704,0.3386,-0.048,0.5702,-0.0393,0.4023,-0.0202,0.5664,-0.013,0.4355,-0.0355,0.9754,-0.005
2025,down_1_f5_1_5,50_55,1091,0.4033,0.6178,0.407,0.5582,0.4693,0.9679,3632,0.3648,0.0385,0.5765,0.0413,0.4025,0.0045,0.5498,0.0084,0.4452,0.0241,0.9722,-0.0043
2025,down_1_late_7_plus,45_50,1087,0.1757,0.2668,0.2677,0.3165,0.2668,0.9742,4136,0.2038,-0.0281,0.3039,-0.0371,0.3138,-0.0461,0.3656,-0.0491,0.3039,-0.0371,0.9768,-0.0026
2024,down_1_late_7_plus,50_55,1062,0.2354,0.3503,0.3738,0.4379,0.3503,0.9718,4150,0.232,0.0034,0.3383,0.012,0.3525,0.0213,0.4051,0.0328,0.3383,0.012,0.974,-0.0022
2024,down_1_early_1_3,40_45,1022,0.3552,0.6301,0.3796,0.5294,0.409,0.9579,5340,0.3575,-0.0023,0.6305,-0.0004,0.3964,-0.0168,0.5468,-0.0174,0.4255,-0.0165,0.9541,0.0038
2024,down_1_f5_1_5,50_55,996,0.3896,0.6155,0.4157,0.5894,0.4649,0.9789,3704,0.3386,0.051,0.5702,0.0453,0.4023,0.0134,0.5664,0.023,0.4355,0.0294,0.9754,0.0035
2023,down_1_f5_1_5,45_50,971,0.346,0.5489,0.3955,0.5366,0.4253,0.965,3577,0.3528,-0.0068,0.5801,-0.0312,0.4082,-0.0127,0.5639,-0.0273,0.4507,-0.0254,0.9723,-0.0073
2024,down_2_late_7_plus,45_50,971,0.0917,0.1401,0.3244,0.3728,0.3203,0.3203,3327,0.1214,-0.0297,0.1776,-0.0375,0.3408,-0.0164,0.3956,-0.0228,0.3267,-0.0064,0.3267,-0.0064
2023,down_1_f5_1_5,50_55,960,0.3479,0.5615,0.3906,0.55,0.4302,0.9802,3577,0.3528,-0.0049,0.5801,-0.0186,0.4082,-0.0176,0.5639,-0.0139,0.4507,-0.0205,0.9723,0.0079
2025,down_1_f5_1_5,45_50,955,0.3445,0.5529,0.4031,0.5696,0.4419,0.978,3632,0.3648,-0.0203,0.5765,-0.0236,0.4025,0.0006,0.5498,0.0198,0.4452,-0.0033,0.9722,0.0058
2024,down_5_plus_late_7_plus,40_45,947,0.0084,0.0127,0.3178,0.3865,0.2978,0.0359,5053,0.0073,0.0011,0.0113,0.0014,0.3275,-0.0097,0.3794,0.0071,0.3137,-0.0159,0.0263,0.0096
2023,down_2_late_7_plus,50_55,938,0.0938,0.1525,0.307,0.3678,0.3102,0.3102,3321,0.1186,-0.0248,0.174,-0.0215,0.3342,-0.0272,0.3927,-0.0249,0.3219,-0.0117,0.3219,-0.0117
2023,down_2_late_7_plus,45_50,934,0.106,0.1627,0.3287,0.3833,0.3116,0.3116,3321,0.1186,-0.0126,0.174,-0.0113,0.3342,-0.0055,0.3927,-0.0094,0.3219,-0.0103,0.3219,-0.0103
2023,down_5_plus_late_7_plus,40_45,930,0.0054,0.0054,0.3849,0.4366,0.3624,0.0301,4855,0.0054,0.0,0.0072,-0.0018,0.3574,0.0275,0.4122,0.0244,0.3429,0.0195,0.0185,0.0116
2025,down_1_early_1_3,40_45,927,0.3344,0.5998,0.3927,0.5545,0.4455,0.9493,5522,0.3892,-0.0548,0.648,-0.0482,0.404,-0.0113,0.5594,-0.0049,0.4591,-0.0136,0.958,-0.0087
2023,down_1_early_1_3,40_45,923,0.3391,0.6371,0.4063,0.5612,0.4388,0.9621,5257,0.3827,-0.0436,0.6371,0.0,0.4141,-0.0078,0.5632,-0.002,0.4392,-0.0004,0.9583,0.0038
2023,down_2_early_1_3,45_50,914,0.3184,0.4945,0.4376,0.5974,0.4759,0.4759,2917,0.2989,0.0195,0.505,-0.0105,0.432,0.0056,0.5883,0.0091,0.4758,0.0001,0.4758,0.0001
2024,down_2_late_7_plus,50_55,883,0.1438,0.1857,0.3284,0.3907,0.3114,0.3114,3327,0.1214,0.0224,0.1776,0.0081,0.3408,-0.0124,0.3956,-0.0049,0.3267,-0.0153,0.3267,-0.0153
2025,down_2_late_7_plus,45_50,880,0.0909,0.1761,0.317,0.3784,0.3284,0.3284,3185,0.1058,-0.0149,0.1799,-0.0038,0.3341,-0.0171,0.3962,-0.0178,0.3353,-0.0069,0.3353,-0.0069
2025,down_2_late_7_plus,50_55,870,0.1103,0.192,0.3356,0.4034,0.346,0.346,3185,0.1058,0.0045,0.1799,0.0121,0.3341,0.0015,0.3962,0.0072,0.3353,0.0107,0.3353,0.0107
2025,down_5_plus_late_7_plus,40_45,866,0.0104,0.0127,0.3568,0.4053,0.3603,0.03,5064,0.0057,0.0047,0.0079,0.0048,0.3474,0.0094,0.4017,0.0036,0.3323,0.028,0.0166,0.0134
2024,down_2_early_1_3,45_50,843,0.2456,0.4223,0.3737,0.5338,0.4199,0.4199,3030,0.2554,-0.0098,0.4502,-0.0279,0.3835,-0.0098,0.5419,-0.0081,0.4145,0.0054,0.4145,0.0054
2024,down_3_late_7_plus,45_50,837,0.0514,0.0741,0.319,0.3728,0.3082,0.1481,2744,0.0466,0.0048,0.0678,0.0063,0.3287,-0.0097,0.3812,-0.0084,0.32,-0.0118,0.1396,0.0085
2024,down_2_early_1_3,50_55,820,0.2573,0.4829,0.3537,0.5329,0.4159,0.4159,3030,0.2554,0.0019,0.4502,0.0327,0.3835,-0.0298,0.5419,-0.009,0.4145,0.0014,0.4145,0.0014
2025,down_1_early_1_3,55_60,820,0.411,0.6756,0.4024,0.572,0.4683,0.9524,5522,0.3892,0.0218,0.648,0.0276,0.404,-0.0016,0.5594,0.0126,0.4591,0.0092,0.958,-0.0056
2024,down_2_f5_1_5,45_50,814,0.2039,0.3329,0.3894,0.5344,0.4201,0.4201,2806,0.2217,-0.0178,0.3553,-0.0224,0.3813,0.0081,0.5474,-0.013,0.4195,0.0006,0.4195,0.0006
