season,state_bucket,opponent_run_prevention_bucket,count,eventually_won_rate,tied_or_led_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,baseline_count,eventually_won_baseline_rate,eventually_won_lift,tied_or_led_later_baseline_rate,tied_or_led_later_lift,scored_next_1_inning_baseline_rate,scored_next_1_inning_lift,scored_next_2_innings_baseline_rate,scored_next_2_innings_lift,reduced_deficit_next_2_baseline_rate,reduced_deficit_next_2_lift,within_1_next_2_baseline_rate,within_1_next_2_lift
2024,down_5_plus_late_7_plus,50_55,1701,0.0,0.0065,0.3363,0.3968,0.3145,0.0118,5053,0.0073,-0.0073,0.0113,-0.0048,0.3275,0.0088,0.3794,0.0174,0.3137,0.0008,0.0263,-0.0145
2025,down_1_early_1_3,50_55,1698,0.3551,0.6572,0.4193,0.5807,0.47,0.96,5522,0.3892,-0.0341,0.648,0.0092,0.404,0.0153,0.5594,0.0213,0.4591,0.0109,0.958,0.002
2024,down_1_early_1_3,50_55,1623,0.3401,0.6254,0.3968,0.5379,0.4134,0.9556,5340,0.3575,-0.0174,0.6305,-0.0051,0.3964,0.0004,0.5468,-0.0089,0.4255,-0.0121,0.9541,0.0015
2023,down_1_early_1_3,50_55,1521,0.4116,0.6502,0.4109,0.5536,0.4313,0.9619,5257,0.3827,0.0289,0.6371,0.0131,0.4141,-0.0032,0.5632,-0.0096,0.4392,-0.0079,0.9583,0.0036
2023,down_1_early_1_3,45_50,1464,0.3641,0.6332,0.377,0.556,0.4201,0.9583,5257,0.3827,-0.0186,0.6371,-0.0039,0.4141,-0.0371,0.5632,-0.0072,0.4392,-0.0191,0.9583,0.0
2025,down_5_plus_late_7_plus,50_55,1415,0.0057,0.0085,0.3647,0.4346,0.3625,0.0177,5064,0.0057,0.0,0.0079,0.0006,0.3474,0.0173,0.4017,0.0329,0.3323,0.0302,0.0166,0.0011
2025,down_1_early_1_3,45_50,1374,0.4025,0.6456,0.4141,0.5771,0.4723,0.9585,5522,0.3892,0.0133,0.648,-0.0024,0.404,0.0101,0.5594,0.0177,0.4591,0.0132,0.958,0.0005
2024,down_1_early_1_3,45_50,1362,0.3833,0.6307,0.3891,0.5477,0.4449,0.9618,5340,0.3575,0.0258,0.6305,0.0002,0.3964,-0.0073,0.5468,0.0009,0.4255,0.0194,0.9541,0.0077
2023,down_5_plus_late_7_plus,45_50,1330,0.0068,0.009,0.3564,0.4045,0.3338,0.0203,4855,0.0054,0.0014,0.0072,0.0018,0.3574,-0.001,0.4122,-0.0077,0.3429,-0.0091,0.0185,0.0018
2023,down_5_plus_late_7_plus,50_55,1321,0.003,0.003,0.3656,0.4156,0.349,0.0189,4855,0.0054,-0.0024,0.0072,-0.0042,0.3574,0.0082,0.4122,0.0034,0.3429,0.0061,0.0185,0.0004
2025,down_5_plus_late_7_plus,45_50,1291,0.0023,0.0039,0.3385,0.3881,0.3277,0.0217,5064,0.0057,-0.0034,0.0079,-0.004,0.3474,-0.0089,0.4017,-0.0136,0.3323,-0.0046,0.0166,0.0051
