model_layer,state_type,state_bucket,tier,tier_value,seasons_seen,total_count,min_season_count,eventually_won_avg_rate,eventually_won_min_rate,eventually_won_max_rate,eventually_won_range,tied_or_led_later_avg_rate,tied_or_led_later_min_rate,tied_or_led_later_max_rate,tied_or_led_later_range,scored_next_1_inning_avg_rate,scored_next_1_inning_min_rate,scored_next_1_inning_max_rate,scored_next_1_inning_range,scored_next_2_innings_avg_rate,scored_next_2_innings_min_rate,scored_next_2_innings_max_rate,scored_next_2_innings_range,reduced_deficit_next_2_avg_rate,reduced_deficit_next_2_min_rate,reduced_deficit_next_2_max_rate,reduced_deficit_next_2_range,within_1_next_2_avg_rate,within_1_next_2_min_rate,within_1_next_2_max_rate,within_1_next_2_range,held_to_win_avg_rate,held_to_win_min_rate,held_to_win_max_rate,held_to_win_range,gave_up_tie_or_lead_avg_rate,gave_up_tie_or_lead_min_rate,gave_up_tie_or_lead_max_rate,gave_up_tie_or_lead_range,opponent_scored_next_1_inning_avg_rate,opponent_scored_next_1_inning_min_rate,opponent_scored_next_1_inning_max_rate,opponent_scored_next_1_inning_range,opponent_scored_next_2_innings_avg_rate,opponent_scored_next_2_innings_min_rate,opponent_scored_next_2_innings_max_rate,opponent_scored_next_2_innings_range,lead_reduced_next_2_avg_rate,lead_reduced_next_2_min_rate,lead_reduced_next_2_max_rate,lead_reduced_next_2_range,lead_cut_to_1_next_2_avg_rate,lead_cut_to_1_next_2_min_rate,lead_cut_to_1_next_2_max_rate,lead_cut_to_1_next_2_range,primary_outcome,avg_rate,avg_lift,min_lift,max_lift
baseline,comeback,down_1_early_1_3,,,"2023,2024,2025",16119,5257,0.3765,0.3575,0.3892,0.0317,0.6385,0.6305,0.648,0.0175,0.4048,0.3964,0.4141,0.0177,0.5565,0.5468,0.5632,0.0164,0.4413,0.4255,0.4591,0.0336,0.9568,0.9541,0.9583,0.0042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline,comeback,down_5_plus_late_7_plus,,,"2023,2024,2025",14972,4855,0.0061,0.0054,0.0073,0.0019,0.0088,0.0072,0.0113,0.0041,0.3441,0.3275,0.3574,0.0299,0.3978,0.3794,0.4122,0.0328,0.3296,0.3137,0.3429,0.0292,0.0205,0.0166,0.0263,0.0097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline,comeback,down_1_late_7_plus,,,"2023,2024,2025",12430,4136,0.2208,0.2038,0.232,0.0282,0.3245,0.3039,0.3383,0.0344,0.337,0.3138,0.3525,0.0387,0.3877,0.3656,0.4051,0.0395,0.3245,0.3039,0.3383,0.0344,0.9742,0.9718,0.9768,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline,comeback,down_1_f5_1_5,,,"2023,2024,2025",10913,3577,0.3521,0.3386,0.3648,0.0262,0.5756,0.5702,0.5801,0.0099,0.4043,0.4023,0.4082,0.0059,0.56,0.5498,0.5664,0.0166,0.4438,0.4355,0.4507,0.0152,0.9733,0.9722,0.9754,0.0032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline,comeback,down_2_late_7_plus,,,"2023,2024,2025",9833,3185,0.1153,0.1058,0.1214,0.0156,0.1772,0.174,0.1799,0.0059,0.3364,0.3341,0.3408,0.0067,0.3948,0.3927,0.3962,0.0035,0.328,0.3219,0.3353,0.0134,0.328,0.3219,0.3353,0.0134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline,comeback,down_2_early_1_3,,,"2023,2024,2025",8710,2763,0.2731,0.2554,0.2989,0.0435,0.4727,0.4502,0.505,0.0548,0.4038,0.3835,0.432,0.0485,0.5611,0.5419,0.5883,0.0464,0.4458,0.4145,0.4758,0.0613,0.4458,0.4145,0.4758,0.0613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline,comeback,down_2_f5_1_5,,,"2023,2024,2025",8047,2589,0.2349,0.2217,0.2466,0.0249,0.3906,0.3553,0.4163,0.061,0.411,0.3813,0.4427,0.0614,0.5657,0.5474,0.592,0.0446,0.4453,0.4195,0.4729,0.0534,0.4453,0.4195,0.4729,0.0534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline,comeback,down_3_late_7_plus,,,"2023,2024,2025",7807,2484,0.0503,0.0431,0.0613,0.0182,0.0798,0.0678,0.0954,0.0276,0.328,0.318,0.3373,0.0193,0.3811,0.3732,0.3889,0.0157,0.3098,0.3019,0.32,0.0181,0.1539,0.1396,0.1706,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline,comeback,down_4_late_7_plus,,,"2023,2024,2025",6192,1928,0.0253,0.0239,0.0276,0.0037,0.0358,0.0311,0.0383,0.0072,0.3095,0.2822,0.3233,0.0411,0.3629,0.333,0.3806,0.0476,0.2905,0.2573,0.3249,0.0676,0.0769,0.0705,0.0827,0.0122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline,comeback,down_3_f5_1_5,,,"2023,2024,2025",5473,1710,0.1464,0.13,0.1736,0.0436,0.2403,0.2216,0.2735,0.0519,0.3911,0.3713,0.4099,0.0386,0.5379,0.5222,0.5617,0.0395,0.4291,0.4146,0.4481,0.0335,0.2547,0.2444,0.2702,0.0258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
