season,state_bucket,l10_rpg_bucket,count,held_to_win_rate,gave_up_tie_or_lead_rate,opponent_scored_next_1_inning_rate,opponent_scored_next_2_innings_rate,lead_reduced_next_2_rate,lead_cut_to_1_next_2_rate,baseline_count,held_to_win_baseline_rate,held_to_win_lift,gave_up_tie_or_lead_baseline_rate,gave_up_tie_or_lead_lift,opponent_scored_next_1_inning_baseline_rate,opponent_scored_next_1_inning_lift,opponent_scored_next_2_innings_baseline_rate,opponent_scored_next_2_innings_lift,lead_reduced_next_2_baseline_rate,lead_reduced_next_2_lift,lead_cut_to_1_next_2_baseline_rate,lead_cut_to_1_next_2_lift
2024,up_1_early_1_3,mid_3_5_4_5,1805,0.6238,0.6499,0.3884,0.554,0.431,0.9529,5340,0.6382,-0.0144,0.6305,0.0194,0.3964,-0.008,0.5468,0.0072,0.4255,0.0055,0.9541,-0.0012
2024,up_5_plus_late_7_plus,mid_3_5_4_5,1765,0.9887,0.0119,0.353,0.4261,0.3513,0.0215,5053,0.9927,-0.004,0.0113,0.0006,0.3275,0.0255,0.3794,0.0467,0.3137,0.0376,0.0263,-0.0048
2023,up_1_early_1_3,high_4_5_5_5,1730,0.6422,0.615,0.3936,0.5497,0.4202,0.963,5257,0.6173,0.0249,0.6371,-0.0221,0.4141,-0.0205,0.5632,-0.0135,0.4392,-0.019,0.9583,0.0047
2025,up_1_early_1_3,mid_3_5_4_5,1715,0.6111,0.6688,0.4321,0.593,0.488,0.9574,5522,0.6108,0.0003,0.648,0.0208,0.404,0.0281,0.5594,0.0336,0.4591,0.0289,0.958,-0.0006
2023,up_5_plus_late_7_plus,high_4_5_5_5,1611,0.9975,0.005,0.352,0.4022,0.3327,0.0211,4855,0.9946,0.0029,0.0072,-0.0022,0.3574,-0.0054,0.4122,-0.01,0.3429,-0.0102,0.0185,0.0026
2025,up_1_early_1_3,high_4_5_5_5,1606,0.599,0.6476,0.3717,0.5274,0.4396,0.9595,5522,0.6108,-0.0118,0.648,-0.0004,0.404,-0.0323,0.5594,-0.032,0.4591,-0.0195,0.958,0.0015
2024,up_1_early_1_3,high_4_5_5_5,1594,0.6568,0.6054,0.3864,0.5326,0.4015,0.9555,5340,0.6382,0.0186,0.6305,-0.0251,0.3964,-0.01,0.5468,-0.0142,0.4255,-0.024,0.9541,0.0014
2023,up_1_early_1_3,mid_3_5_4_5,1585,0.6,0.6618,0.4423,0.5918,0.4707,0.9552,5257,0.6173,-0.0173,0.6371,0.0247,0.4141,0.0282,0.5632,0.0286,0.4392,0.0315,0.9583,-0.0031
2025,up_5_plus_late_7_plus,mid_3_5_4_5,1549,0.989,0.0161,0.3389,0.388,0.3234,0.0265,5064,0.9943,-0.0053,0.0079,0.0082,0.3474,-0.0085,0.4017,-0.0137,0.3323,-0.0089,0.0166,0.0099
2025,up_5_plus_late_7_plus,high_4_5_5_5,1508,1.0,0.002,0.317,0.372,0.3044,0.0119,5064,0.9943,0.0057,0.0079,-0.0059,0.3474,-0.0304,0.4017,-0.0297,0.3323,-0.0279,0.0166,-0.0047
2023,up_5_plus_late_7_plus,mid_3_5_4_5,1426,0.993,0.007,0.3787,0.4397,0.3668,0.014,4855,0.9946,-0.0016,0.0072,-0.0002,0.3574,0.0213,0.4122,0.0275,0.3429,0.0239,0.0185,-0.0045
2024,up_5_plus_late_7_plus,high_4_5_5_5,1378,0.9891,0.0109,0.3055,0.3534,0.2903,0.0218,5053,0.9927,-0.0036,0.0113,-0.0004,0.3275,-0.022,0.3794,-0.026,0.3137,-0.0234,0.0263,-0.0045
2023,up_1_late_7_plus,mid_3_5_4_5,1371,0.7535,0.3457,0.3516,0.407,0.3457,0.9788,4144,0.7734,-0.0199,0.3313,0.0144,0.3448,0.0068,0.3924,0.0146,0.3313,0.0144,0.9718,0.007
2024,up_1_late_7_plus,mid_3_5_4_5,1360,0.7537,0.3419,0.3515,0.3978,0.3419,0.9713,4150,0.7598,-0.0061,0.3383,0.0036,0.3525,-0.001,0.4051,-0.0073,0.3383,0.0036,0.974,-0.0027
2023,up_1_late_7_plus,high_4_5_5_5,1320,0.7833,0.325,0.3553,0.4076,0.325,0.9705,4144,0.7734,0.0099,0.3313,-0.0063,0.3448,0.0105,0.3924,0.0152,0.3313,-0.0063,0.9718,-0.0013
2024,up_1_f5_1_5,mid_3_5_4_5,1286,0.6337,0.5956,0.4323,0.598,0.4767,0.9806,3704,0.6547,-0.021,0.5702,0.0254,0.4023,0.03,0.5664,0.0316,0.4355,0.0412,0.9754,0.0052
2025,up_1_late_7_plus,mid_3_5_4_5,1274,0.7637,0.3171,0.3187,0.3728,0.3171,0.9788,4136,0.7962,-0.0325,0.3039,0.0132,0.3138,0.0049,0.3656,0.0072,0.3039,0.0132,0.9768,0.002
2024,up_1_late_7_plus,high_4_5_5_5,1258,0.7281,0.3633,0.3601,0.4141,0.3633,0.969,4150,0.7598,-0.0317,0.3383,0.025,0.3525,0.0076,0.4051,0.009,0.3383,0.025,0.974,-0.005
2023,up_5_plus_late_7_plus,very_high_5_5_plus,1247,0.996,0.008,0.3336,0.3929,0.3111,0.0136,4855,0.9946,0.0014,0.0072,0.0008,0.3574,-0.0238,0.4122,-0.0193,0.3429,-0.0318,0.0185,-0.0049
