season,state_bucket,offense_form_bucket,count,held_to_win_rate,gave_up_tie_or_lead_rate,opponent_scored_next_1_inning_rate,opponent_scored_next_2_innings_rate,lead_reduced_next_2_rate,lead_cut_to_1_next_2_rate,baseline_count,held_to_win_baseline_rate,held_to_win_lift,gave_up_tie_or_lead_baseline_rate,gave_up_tie_or_lead_lift,opponent_scored_next_1_inning_baseline_rate,opponent_scored_next_1_inning_lift,opponent_scored_next_2_innings_baseline_rate,opponent_scored_next_2_innings_lift,lead_reduced_next_2_baseline_rate,lead_reduced_next_2_lift,lead_cut_to_1_next_2_baseline_rate,lead_cut_to_1_next_2_lift
2024,up_1_early_1_3,45_50,1573,0.6268,0.6465,0.4056,0.5734,0.4425,0.9491,5340,0.6382,-0.0114,0.6305,0.016,0.3964,0.0092,0.5468,0.0266,0.4255,0.017,0.9541,-0.005
2025,up_1_early_1_3,50_55,1531,0.6048,0.646,0.3782,0.5408,0.4409,0.9621,5522,0.6108,-0.006,0.648,-0.002,0.404,-0.0258,0.5594,-0.0186,0.4591,-0.0182,0.958,0.0041
2024,up_5_plus_late_7_plus,45_50,1513,0.9907,0.0099,0.3443,0.4104,0.3351,0.0172,5053,0.9927,-0.002,0.0113,-0.0014,0.3275,0.0168,0.3794,0.031,0.3137,0.0214,0.0263,-0.0091
2023,up_1_early_1_3,50_55,1480,0.6703,0.6128,0.402,0.5561,0.4223,0.9662,5257,0.6173,0.053,0.6371,-0.0243,0.4141,-0.0121,0.5632,-0.0071,0.4392,-0.0169,0.9583,0.0079
2023,up_1_early_1_3,45_50,1461,0.5859,0.6502,0.4374,0.5791,0.4627,0.9541,5257,0.6173,-0.0314,0.6371,0.0131,0.4141,0.0233,0.5632,0.0159,0.4392,0.0235,0.9583,-0.0042
2024,up_1_early_1_3,50_55,1431,0.6583,0.6108,0.3802,0.5304,0.3997,0.9539,5340,0.6382,0.0201,0.6305,-0.0197,0.3964,-0.0162,0.5468,-0.0164,0.4255,-0.0258,0.9541,-0.0002
2025,up_1_early_1_3,45_50,1428,0.605,0.6821,0.4412,0.6001,0.4944,0.9552,5522,0.6108,-0.0058,0.648,0.0341,0.404,0.0372,0.5594,0.0407,0.4591,0.0353,0.958,-0.0028
2023,up_5_plus_late_7_plus,50_55,1379,0.9971,0.0058,0.3524,0.401,0.3437,0.029,4855,0.9946,0.0025,0.0072,-0.0014,0.3574,-0.005,0.4122,-0.0112,0.3429,0.0008,0.0185,0.0105
2025,up_5_plus_late_7_plus,45_50,1376,0.9891,0.0153,0.3576,0.4099,0.3343,0.0211,5064,0.9943,-0.0052,0.0079,0.0074,0.3474,0.0102,0.4017,0.0082,0.3323,0.002,0.0166,0.0045
2025,up_5_plus_late_7_plus,50_55,1364,0.9985,0.0029,0.3196,0.3717,0.3196,0.0198,5064,0.9943,0.0042,0.0079,-0.005,0.3474,-0.0278,0.4017,-0.03,0.3323,-0.0127,0.0166,0.0032
2023,up_5_plus_late_7_plus,45_50,1322,0.9924,0.0076,0.3585,0.4107,0.3419,0.0151,4855,0.9946,-0.0022,0.0072,0.0004,0.3574,0.0011,0.4122,-0.0015,0.3429,-0.001,0.0185,-0.0034
2024,up_5_plus_late_7_plus,50_55,1310,0.9885,0.0115,0.3008,0.3473,0.2832,0.0183,5053,0.9927,-0.0042,0.0113,0.0002,0.3275,-0.0267,0.3794,-0.0321,0.3137,-0.0305,0.0263,-0.008
2023,up_1_late_7_plus,45_50,1241,0.7397,0.3409,0.3505,0.4005,0.3409,0.9734,4144,0.7734,-0.0337,0.3313,0.0096,0.3448,0.0057,0.3924,0.0081,0.3313,0.0096,0.9718,0.0016
2024,up_1_late_7_plus,45_50,1169,0.7579,0.3336,0.3422,0.3884,0.3336,0.9683,4150,0.7598,-0.0019,0.3383,-0.0047,0.3525,-0.0103,0.4051,-0.0167,0.3383,-0.0047,0.974,-0.0057
2023,up_1_late_7_plus,50_55,1143,0.783,0.3333,0.371,0.4226,0.3333,0.972,4144,0.7734,0.0096,0.3313,0.002,0.3448,0.0262,0.3924,0.0302,0.3313,0.002,0.9718,0.0002
2024,up_1_late_7_plus,50_55,1142,0.711,0.3774,0.38,0.4413,0.3774,0.9685,4150,0.7598,-0.0488,0.3383,0.0391,0.3525,0.0275,0.4051,0.0362,0.3383,0.0391,0.974,-0.0055
2025,up_1_late_7_plus,50_55,1141,0.8072,0.3234,0.3252,0.3918,0.3234,0.9755,4136,0.7962,0.011,0.3039,0.0195,0.3138,0.0114,0.3656,0.0262,0.3039,0.0195,0.9768,-0.0013
2024,up_1_f5_1_5,45_50,1114,0.64,0.5862,0.4264,0.5934,0.4578,0.9785,3704,0.6547,-0.0147,0.5702,0.016,0.4023,0.0241,0.5664,0.027,0.4355,0.0223,0.9754,0.0031
2025,up_1_late_7_plus,45_50,1054,0.7609,0.3169,0.3188,0.3776,0.3169,0.9782,4136,0.7962,-0.0353,0.3039,0.013,0.3138,0.005,0.3656,0.012,0.3039,0.013,0.9768,0.0014
2023,up_2_late_7_plus,50_55,1048,0.895,0.1603,0.3302,0.3865,0.3177,0.3177,3321,0.8814,0.0136,0.174,-0.0137,0.3342,-0.004,0.3927,-0.0062,0.3219,-0.0042,0.3219,-0.0042
2023,up_1_f5_1_5,50_55,1040,0.6827,0.5721,0.4048,0.5587,0.4529,0.9654,3577,0.6472,0.0355,0.5801,-0.008,0.4082,-0.0034,0.5639,-0.0052,0.4507,0.0022,0.9723,-0.0069
