season,state_bucket,opponent_run_prevention_bucket,count,held_to_win_rate,gave_up_tie_or_lead_rate,opponent_scored_next_1_inning_rate,opponent_scored_next_2_innings_rate,lead_reduced_next_2_rate,lead_cut_to_1_next_2_rate,baseline_count,held_to_win_baseline_rate,held_to_win_lift,gave_up_tie_or_lead_baseline_rate,gave_up_tie_or_lead_lift,opponent_scored_next_1_inning_baseline_rate,opponent_scored_next_1_inning_lift,opponent_scored_next_2_innings_baseline_rate,opponent_scored_next_2_innings_lift,lead_reduced_next_2_baseline_rate,lead_reduced_next_2_lift,lead_cut_to_1_next_2_baseline_rate,lead_cut_to_1_next_2_lift
2025,up_1_early_1_3,50_55,1665,0.6168,0.6378,0.3832,0.5285,0.4324,0.958,5522,0.6108,0.006,0.648,-0.0102,0.404,-0.0208,0.5594,-0.0309,0.4591,-0.0267,0.958,0.0
2024,up_1_early_1_3,50_55,1658,0.6188,0.6399,0.4107,0.5706,0.4499,0.9602,5340,0.6382,-0.0194,0.6305,0.0094,0.3964,0.0143,0.5468,0.0238,0.4255,0.0244,0.9541,0.0061
2024,up_5_plus_late_7_plus,50_55,1571,0.9898,0.0153,0.3482,0.4004,0.338,0.0337,5053,0.9927,-0.0029,0.0113,0.004,0.3275,0.0207,0.3794,0.021,0.3137,0.0243,0.0263,0.0074
2023,up_1_early_1_3,45_50,1521,0.6075,0.6312,0.403,0.551,0.4274,0.9678,5257,0.6173,-0.0098,0.6371,-0.0059,0.4141,-0.0111,0.5632,-0.0122,0.4392,-0.0118,0.9583,0.0095
2025,up_1_early_1_3,45_50,1445,0.5931,0.6754,0.4298,0.5931,0.4907,0.9612,5522,0.6108,-0.0177,0.648,0.0274,0.404,0.0258,0.5594,0.0337,0.4591,0.0316,0.958,0.0032
2025,up_5_plus_late_7_plus,50_55,1399,1.0,0.0057,0.3088,0.3517,0.2974,0.015,5064,0.9943,0.0057,0.0079,-0.0022,0.3474,-0.0386,0.4017,-0.05,0.3323,-0.0349,0.0166,-0.0016
2023,up_5_plus_late_7_plus,45_50,1377,0.9935,0.008,0.366,0.4227,0.3653,0.0138,4855,0.9946,-0.0011,0.0072,0.0008,0.3574,0.0086,0.4122,0.0105,0.3429,0.0224,0.0185,-0.0047
2023,up_1_early_1_3,50_55,1373,0.6031,0.6395,0.4071,0.5528,0.4239,0.9505,5257,0.6173,-0.0142,0.6371,0.0024,0.4141,-0.007,0.5632,-0.0104,0.4392,-0.0153,0.9583,-0.0078
2023,up_5_plus_late_7_plus,50_55,1357,0.9948,0.0052,0.364,0.4186,0.3397,0.0147,4855,0.9946,0.0002,0.0072,-0.002,0.3574,0.0066,0.4122,0.0064,0.3429,-0.0032,0.0185,-0.0038
2024,up_1_early_1_3,45_50,1350,0.6548,0.643,0.3844,0.5385,0.4185,0.9489,5340,0.6382,0.0166,0.6305,0.0125,0.3964,-0.012,0.5468,-0.0083,0.4255,-0.007,0.9541,-0.0052
2024,up_1_late_7_plus,50_55,1337,0.7906,0.3134,0.3156,0.371,0.3134,0.9708,4150,0.7598,0.0308,0.3383,-0.0249,0.3525,-0.0369,0.4051,-0.0341,0.3383,-0.0249,0.974,-0.0032
2024,up_5_plus_late_7_plus,45_50,1335,0.9963,0.0075,0.3416,0.3918,0.3154,0.0165,5053,0.9927,0.0036,0.0113,-0.0038,0.3275,0.0141,0.3794,0.0124,0.3137,0.0017,0.0263,-0.0098
2025,up_5_plus_late_7_plus,45_50,1289,0.9953,0.007,0.3569,0.422,0.339,0.0078,5064,0.9943,0.001,0.0079,-0.0009,0.3474,0.0095,0.4017,0.0203,0.3323,0.0067,0.0166,-0.0088
2025,up_1_late_7_plus,50_55,1274,0.7747,0.3532,0.3509,0.4027,0.3532,0.9796,4136,0.7962,-0.0215,0.3039,0.0493,0.3138,0.0371,0.3656,0.0371,0.3039,0.0493,0.9768,0.0028
2023,up_1_late_7_plus,50_55,1182,0.7174,0.3765,0.3917,0.456,0.3765,0.9729,4144,0.7734,-0.056,0.3313,0.0452,0.3448,0.0469,0.3924,0.0636,0.3313,0.0452,0.9718,0.0011
2023,up_1_late_7_plus,45_50,1093,0.7713,0.3385,0.3641,0.4135,0.3385,0.968,4144,0.7734,-0.0021,0.3313,0.0072,0.3448,0.0193,0.3924,0.0211,0.3313,0.0072,0.9718,-0.0038
2025,up_1_f5_1_5,50_55,1091,0.6224,0.5738,0.3877,0.56,0.4308,0.9753,3632,0.6352,-0.0128,0.5765,-0.0027,0.4025,-0.0148,0.5498,0.0102,0.4452,-0.0144,0.9722,0.0031
2024,up_1_f5_1_5,50_55,1066,0.6379,0.5797,0.4343,0.5769,0.4522,0.9737,3704,0.6547,-0.0168,0.5702,0.0095,0.4023,0.032,0.5664,0.0105,0.4355,0.0167,0.9754,-0.0017
2025,up_1_late_7_plus,45_50,1030,0.7951,0.2874,0.2932,0.3369,0.2874,0.9718,4136,0.7962,-0.0011,0.3039,-0.0165,0.3138,-0.0206,0.3656,-0.0287,0.3039,-0.0165,0.9768,-0.005
2024,up_1_f5_1_5,45_50,1029,0.6735,0.5889,0.4082,0.5967,0.4762,0.9738,3704,0.6547,0.0188,0.5702,0.0187,0.4023,0.0059,0.5664,0.0303,0.4355,0.0407,0.9754,-0.0016
2023,up_1_f5_1_5,50_55,1001,0.6024,0.6034,0.3896,0.5634,0.4585,0.972,3577,0.6472,-0.0448,0.5801,0.0233,0.4082,-0.0186,0.5639,-0.0005,0.4507,0.0078,0.9723,-0.0003
2023,up_2_late_7_plus,50_55,990,0.9101,0.1525,0.3152,0.3717,0.2848,0.2848,3321,0.8814,0.0287,0.174,-0.0215,0.3342,-0.019,0.3927,-0.021,0.3219,-0.0371,0.3219,-0.0371
2024,up_1_late_7_plus,45_50,989,0.7513,0.3691,0.3974,0.451,0.3691,0.9676,4150,0.7598,-0.0085,0.3383,0.0308,0.3525,0.0449,0.4051,0.0459,0.3383,0.0308,0.974,-0.0064
