season,state_bucket,opponent_team_strength_bucket,count,held_to_win_rate,gave_up_tie_or_lead_rate,opponent_scored_next_1_inning_rate,opponent_scored_next_2_innings_rate,lead_reduced_next_2_rate,lead_cut_to_1_next_2_rate,baseline_count,held_to_win_baseline_rate,held_to_win_lift,gave_up_tie_or_lead_baseline_rate,gave_up_tie_or_lead_lift,opponent_scored_next_1_inning_baseline_rate,opponent_scored_next_1_inning_lift,opponent_scored_next_2_innings_baseline_rate,opponent_scored_next_2_innings_lift,lead_reduced_next_2_baseline_rate,lead_reduced_next_2_lift,lead_cut_to_1_next_2_baseline_rate,lead_cut_to_1_next_2_lift
2025,up_1_early_1_3,50_55,2045,0.5951,0.6787,0.4108,0.5667,0.4621,0.9648,5522,0.6108,-0.0157,0.648,0.0307,0.404,0.0068,0.5594,0.0073,0.4591,0.003,0.958,0.0068
2023,up_1_early_1_3,50_55,1900,0.5895,0.6695,0.4153,0.5674,0.4579,0.9605,5257,0.6173,-0.0278,0.6371,0.0324,0.4141,0.0012,0.5632,0.0042,0.4392,0.0187,0.9583,0.0022
2024,up_5_plus_late_7_plus,45_50,1568,0.9923,0.0096,0.3265,0.3909,0.3176,0.0242,5053,0.9927,-0.0004,0.0113,-0.0017,0.3275,-0.001,0.3794,0.0115,0.3137,0.0039,0.0263,-0.0021
2024,up_1_early_1_3,45_50,1563,0.6539,0.6116,0.3781,0.5304,0.4063,0.9475,5340,0.6382,0.0157,0.6305,-0.0189,0.3964,-0.0183,0.5468,-0.0164,0.4255,-0.0192,0.9541,-0.0066
2025,up_1_late_7_plus,50_55,1537,0.799,0.3234,0.3253,0.3728,0.3234,0.9766,4136,0.7962,0.0028,0.3039,0.0195,0.3138,0.0115,0.3656,0.0072,0.3039,0.0195,0.9768,-0.0002
2023,up_5_plus_late_7_plus,50_55,1505,0.9973,0.006,0.3787,0.4425,0.3787,0.0246,4855,0.9946,0.0027,0.0072,-0.0012,0.3574,0.0213,0.4122,0.0303,0.3429,0.0358,0.0185,0.0061
2024,up_1_early_1_3,50_55,1483,0.6231,0.646,0.3837,0.5327,0.4255,0.9548,5340,0.6382,-0.0151,0.6305,0.0155,0.3964,-0.0127,0.5468,-0.0141,0.4255,0.0,0.9541,0.0007
2025,up_5_plus_late_7_plus,50_55,1456,1.0,0.0034,0.3338,0.3874,0.3104,0.011,5064,0.9943,0.0057,0.0079,-0.0045,0.3474,-0.0136,0.4017,-0.0143,0.3323,-0.0219,0.0166,-0.0056
2025,up_1_f5_1_5,50_55,1434,0.5983,0.6046,0.4031,0.5614,0.4623,0.9728,3632,0.6352,-0.0369,0.5765,0.0281,0.4025,0.0006,0.5498,0.0116,0.4452,0.0171,0.9722,0.0006
2023,up_1_late_7_plus,50_55,1428,0.7899,0.3298,0.3354,0.388,0.3298,0.9734,4144,0.7734,0.0165,0.3313,-0.0015,0.3448,-0.0094,0.3924,-0.0044,0.3313,-0.0015,0.9718,0.0016
2025,up_5_plus_late_7_plus,45_50,1369,0.9876,0.0131,0.3601,0.4069,0.3294,0.0168,5064,0.9943,-0.0067,0.0079,0.0052,0.3474,0.0127,0.4017,0.0052,0.3323,-0.0029,0.0166,0.0002
