season,state_bucket,team_strength_bucket,count,held_to_win_rate,gave_up_tie_or_lead_rate,opponent_scored_next_1_inning_rate,opponent_scored_next_2_innings_rate,lead_reduced_next_2_rate,lead_cut_to_1_next_2_rate,baseline_count,held_to_win_baseline_rate,held_to_win_lift,gave_up_tie_or_lead_baseline_rate,gave_up_tie_or_lead_lift,opponent_scored_next_1_inning_baseline_rate,opponent_scored_next_1_inning_lift,opponent_scored_next_2_innings_baseline_rate,opponent_scored_next_2_innings_lift,lead_reduced_next_2_baseline_rate,lead_reduced_next_2_lift,lead_cut_to_1_next_2_baseline_rate,lead_cut_to_1_next_2_lift
2025,up_5_plus_late_7_plus,50_55,2050,0.9971,0.0039,0.3463,0.4,0.3332,0.0127,5064,0.9943,0.0028,0.0079,-0.004,0.3474,-0.0011,0.4017,-0.0017,0.3323,0.0009,0.0166,-0.0039
2025,up_1_early_1_3,50_55,2037,0.6082,0.6642,0.4006,0.5675,0.4767,0.9563,5522,0.6108,-0.0026,0.648,0.0162,0.404,-0.0034,0.5594,0.0081,0.4591,0.0176,0.958,-0.0017
2023,up_1_early_1_3,50_55,1916,0.632,0.6242,0.3967,0.547,0.4217,0.9635,5257,0.6173,0.0147,0.6371,-0.0129,0.4141,-0.0174,0.5632,-0.0162,0.4392,-0.0175,0.9583,0.0052
2023,up_5_plus_late_7_plus,50_55,1778,0.9944,0.0056,0.3526,0.4128,0.3397,0.0129,4855,0.9946,-0.0002,0.0072,-0.0016,0.3574,-0.0048,0.4122,0.0006,0.3429,-0.0032,0.0185,-0.0056
2024,up_1_early_1_3,50_55,1673,0.6449,0.6276,0.3652,0.5206,0.3981,0.9564,5340,0.6382,0.0067,0.6305,-0.0029,0.3964,-0.0312,0.5468,-0.0262,0.4255,-0.0274,0.9541,0.0023
2024,up_5_plus_late_7_plus,50_55,1638,0.9969,0.0061,0.2918,0.3407,0.2894,0.014,5053,0.9927,0.0042,0.0113,-0.0052,0.3275,-0.0357,0.3794,-0.0387,0.3137,-0.0243,0.0263,-0.0123
2025,up_1_late_7_plus,50_55,1585,0.7874,0.311,0.3186,0.3748,0.311,0.9767,4136,0.7962,-0.0088,0.3039,0.0071,0.3138,0.0048,0.3656,0.0092,0.3039,0.0071,0.9768,-0.0001
2024,up_1_early_1_3,45_50,1583,0.6361,0.6374,0.4188,0.5698,0.4542,0.9514,5340,0.6382,-0.0021,0.6305,0.0069,0.3964,0.0224,0.5468,0.023,0.4255,0.0287,0.9541,-0.0027
2023,up_1_late_7_plus,50_55,1471,0.777,0.329,0.3426,0.3916,0.329,0.9667,4144,0.7734,0.0036,0.3313,-0.0023,0.3448,-0.0022,0.3924,-0.0008,0.3313,-0.0023,0.9718,-0.0051
2024,up_5_plus_late_7_plus,45_50,1471,0.9912,0.0129,0.3419,0.4038,0.3467,0.0374,5053,0.9927,-0.0015,0.0113,0.0016,0.3275,0.0144,0.3794,0.0244,0.3137,0.033,0.0263,0.0111
2025,up_1_f5_1_5,50_55,1427,0.6055,0.6118,0.4331,0.5739,0.4688,0.972,3632,0.6352,-0.0297,0.5765,0.0353,0.4025,0.0306,0.5498,0.0241,0.4452,0.0236,0.9722,-0.0002
2025,up_1_early_1_3,45_50,1349,0.6108,0.6279,0.4047,0.5552,0.4433,0.954,5522,0.6108,0.0,0.648,-0.0201,0.404,0.0007,0.5594,-0.0042,0.4591,-0.0158,0.958,-0.004
2023,up_2_late_7_plus,50_55,1283,0.8862,0.1707,0.2899,0.3515,0.2938,0.2938,3321,0.8814,0.0048,0.174,-0.0033,0.3342,-0.0443,0.3927,-0.0412,0.3219,-0.0281,0.3219,-0.0281
