season,inning_bucket,count,scored_next_1_inning_rate,scored_next_2_innings_rate,eventually_won_rate
2023,early_1_3,5928,0.3974,0.5633,0.3311
2024,early_1_3,5767,0.3648,0.5225,0.3123
2025,early_1_3,5659,0.3492,0.5211,0.3211
2023,late_7_plus,5617,0.3025,0.3714,0.3231
2024,late_7_plus,5600,0.2929,0.3445,0.3243
2025,late_7_plus,5458,0.2834,0.3474,0.3173
2023,f5_1_5,3987,0.3742,0.549,0.3203
2024,f5_1_5,3973,0.3612,0.5286,0.3144
2025,f5_1_5,3836,0.3691,0.5209,0.317
2023,middle_6,2003,0.365,0.5417,0.3285
2024,middle_6,1972,0.3722,0.5203,0.3139
2025,middle_6,1930,0.329,0.5031,0.3212
