season,inning_bucket,home_away,count,scored_next_1_inning_rate,scored_next_2_innings_rate,eventually_won_rate,baseline_count,scored_next_1_inning_baseline_rate,scored_next_1_inning_lift,scored_next_2_innings_baseline_rate,scored_next_2_innings_lift,eventually_won_baseline_rate,eventually_won_lift
2024,early_1_3,away,3066,0.2596,0.456,0.3007,5767,0.3648,-0.1052,0.5225,-0.0665,0.3123,-0.0116
2024,late_7_plus,home,3063,0.3725,0.4117,0.3118,5600,0.2929,0.0796,0.3445,0.0672,0.3243,-0.0125
2023,early_1_3,away,3036,0.2843,0.4776,0.3165,5928,0.3974,-0.1131,0.5633,-0.0857,0.3311,-0.0146
2023,late_7_plus,home,3013,0.375,0.4155,0.3289,5617,0.3025,0.0725,0.3714,0.0441,0.3231,0.0058
2025,early_1_3,away,3010,0.2425,0.4409,0.2963,5659,0.3492,-0.1067,0.5211,-0.0802,0.3211,-0.0248
2025,late_7_plus,home,2897,0.3566,0.4011,0.3165,5458,0.2834,0.0732,0.3474,0.0537,0.3173,-0.0008
2023,early_1_3,home,2892,0.5163,0.6532,0.3465,5928,0.3974,0.1189,0.5633,0.0899,0.3311,0.0154
2024,early_1_3,home,2701,0.4843,0.5979,0.3254,5767,0.3648,0.1195,0.5225,0.0754,0.3123,0.0131
2025,early_1_3,home,2649,0.4704,0.6123,0.3492,5659,0.3492,0.1212,0.5211,0.0912,0.3211,0.0281
2023,late_7_plus,away,2604,0.2185,0.3203,0.3164,5617,0.3025,-0.084,0.3714,-0.0511,0.3231,-0.0067
2025,late_7_plus,away,2561,0.2007,0.2866,0.3182,5458,0.2834,-0.0827,0.3474,-0.0608,0.3173,0.0009
2024,late_7_plus,away,2537,0.1967,0.2633,0.3394,5600,0.2929,-0.0962,0.3445,-0.0812,0.3243,0.0151
2023,f5_1_5,away,2062,0.2696,0.4821,0.3123,3987,0.3742,-0.1046,0.549,-0.0669,0.3203,-0.008
2024,f5_1_5,home,2018,0.4534,0.6051,0.3409,3973,0.3612,0.0922,0.5286,0.0765,0.3144,0.0265
2024,f5_1_5,away,1955,0.266,0.4496,0.287,3973,0.3612,-0.0952,0.5286,-0.079,0.3144,-0.0274
2025,f5_1_5,away,1954,0.281,0.457,0.2999,3836,0.3691,-0.0881,0.5209,-0.0639,0.317,-0.0171
2023,f5_1_5,home,1925,0.4862,0.6208,0.3288,3987,0.3742,0.112,0.549,0.0718,0.3203,0.0085
2025,f5_1_5,home,1882,0.4607,0.5871,0.3348,3836,0.3691,0.0916,0.5209,0.0662,0.317,0.0178
2024,middle_6,away,1049,0.2688,0.4366,0.3041,1972,0.3722,-0.1034,0.5203,-0.0837,0.3139,-0.0098
2023,middle_6,away,1017,0.2616,0.472,0.3147,2003,0.365,-0.1034,0.5417,-0.0697,0.3285,-0.0138
2025,middle_6,away,996,0.2239,0.4267,0.2902,1930,0.329,-0.1051,0.5031,-0.0764,0.3212,-0.031
2023,middle_6,home,986,0.4716,0.6136,0.3428,2003,0.365,0.1066,0.5417,0.0719,0.3285,0.0143
2025,middle_6,home,934,0.4411,0.5846,0.3544,1930,0.329,0.1121,0.5031,0.0815,0.3212,0.0332
2024,middle_6,home,923,0.4897,0.6154,0.325,1972,0.3722,0.1175,0.5203,0.0951,0.3139,0.0111
