season,inning_bucket,l10_rpg_bucket,count,scored_next_1_inning_rate,scored_next_2_innings_rate,eventually_won_rate,baseline_count,scored_next_1_inning_baseline_rate,scored_next_1_inning_lift,scored_next_2_innings_baseline_rate,scored_next_2_innings_lift,eventually_won_baseline_rate,eventually_won_lift
2024,late_7_plus,mid_3_5_4_5,1965,0.2835,0.3318,0.3206,5600,0.2929,-0.0094,0.3445,-0.0127,0.3243,-0.0037
2024,early_1_3,mid_3_5_4_5,1942,0.3548,0.5129,0.2894,5767,0.3648,-0.01,0.5225,-0.0096,0.3123,-0.0229
2023,early_1_3,mid_3_5_4_5,1913,0.3806,0.5567,0.3063,5928,0.3974,-0.0168,0.5633,-0.0066,0.3311,-0.0248
2025,early_1_3,mid_3_5_4_5,1890,0.345,0.5254,0.2937,5659,0.3492,-0.0042,0.5211,0.0043,0.3211,-0.0274
2023,early_1_3,high_4_5_5_5,1822,0.3985,0.5626,0.3474,5928,0.3974,0.0011,0.5633,-0.0007,0.3311,0.0163
2023,late_7_plus,mid_3_5_4_5,1801,0.2982,0.3692,0.3132,5617,0.3025,-0.0043,0.3714,-0.0022,0.3231,-0.0099
2023,late_7_plus,high_4_5_5_5,1778,0.2958,0.3639,0.333,5617,0.3025,-0.0067,0.3714,-0.0075,0.3231,0.0099
2024,early_1_3,high_4_5_5_5,1755,0.3379,0.5014,0.3054,5767,0.3648,-0.0269,0.5225,-0.0211,0.3123,-0.0069
2025,late_7_plus,mid_3_5_4_5,1683,0.2638,0.3304,0.2852,5458,0.2834,-0.0196,0.3474,-0.017,0.3173,-0.0321
2024,late_7_plus,high_4_5_5_5,1636,0.2891,0.3362,0.3013,5600,0.2929,-0.0038,0.3445,-0.0083,0.3243,-0.023
2025,early_1_3,high_4_5_5_5,1614,0.3457,0.5136,0.324,5659,0.3492,-0.0035,0.5211,-0.0075,0.3211,0.0029
2025,late_7_plus,high_4_5_5_5,1591,0.2916,0.3545,0.3319,5458,0.2834,0.0082,0.3474,0.0071,0.3173,0.0146
2024,f5_1_5,mid_3_5_4_5,1399,0.3746,0.5547,0.3016,3973,0.3612,0.0134,0.5286,0.0261,0.3144,-0.0128
2023,f5_1_5,mid_3_5_4_5,1310,0.358,0.5366,0.2985,3987,0.3742,-0.0162,0.549,-0.0124,0.3203,-0.0218
2023,early_1_3,very_high_5_5_plus,1277,0.4432,0.5897,0.372,5928,0.3974,0.0458,0.5633,0.0264,0.3311,0.0409
2025,f5_1_5,mid_3_5_4_5,1270,0.3732,0.5323,0.2913,3836,0.3691,0.0041,0.5209,0.0114,0.317,-0.0257
2023,f5_1_5,high_4_5_5_5,1229,0.3816,0.5541,0.3369,3987,0.3742,0.0074,0.549,0.0051,0.3203,0.0166
2024,f5_1_5,high_4_5_5_5,1148,0.365,0.5078,0.3162,3973,0.3612,0.0038,0.5286,-0.0208,0.3144,0.0018
2025,early_1_3,low_lt_3_5,1142,0.3415,0.4974,0.3117,5659,0.3492,-0.0077,0.5211,-0.0237,0.3211,-0.0094
2023,late_7_plus,very_high_5_5_plus,1123,0.2939,0.3722,0.3562,5617,0.3025,-0.0086,0.3714,0.0008,0.3231,0.0331
2025,f5_1_5,high_4_5_5_5,1096,0.3723,0.5164,0.3148,3836,0.3691,0.0032,0.5209,-0.0045,0.317,-0.0022
2025,late_7_plus,low_lt_3_5,1084,0.298,0.3616,0.3063,5458,0.2834,0.0146,0.3474,0.0142,0.3173,-0.011
2025,late_7_plus,very_high_5_5_plus,1056,0.2869,0.3475,0.3608,5458,0.2834,0.0035,0.3474,0.0001,0.3173,0.0435
