season,inning_bucket,offense_form_bucket,count,scored_next_1_inning_rate,scored_next_2_innings_rate,eventually_won_rate,baseline_count,scored_next_1_inning_baseline_rate,scored_next_1_inning_lift,scored_next_2_innings_baseline_rate,scored_next_2_innings_lift,eventually_won_baseline_rate,eventually_won_lift
2023,early_1_3,45_50,1738,0.3999,0.5725,0.3084,5928,0.3974,0.0025,0.5633,0.0092,0.3311,-0.0227
2024,late_7_plus,45_50,1657,0.2897,0.3361,0.3259,5600,0.2929,-0.0032,0.3445,-0.0084,0.3243,0.0016
2024,early_1_3,45_50,1645,0.3641,0.5185,0.2979,5767,0.3648,-0.0007,0.5225,-0.004,0.3123,-0.0144
2025,early_1_3,45_50,1601,0.3529,0.5365,0.3011,5659,0.3492,0.0037,0.5211,0.0154,0.3211,-0.02
2023,late_7_plus,45_50,1590,0.2912,0.3585,0.3044,5617,0.3025,-0.0113,0.3714,-0.0129,0.3231,-0.0187
2023,early_1_3,50_55,1567,0.3995,0.5609,0.358,5928,0.3974,0.0021,0.5633,-0.0024,0.3311,0.0269
2023,late_7_plus,50_55,1561,0.2889,0.3607,0.3459,5617,0.3025,-0.0136,0.3714,-0.0107,0.3231,0.0228
2024,early_1_3,50_55,1545,0.3275,0.4997,0.3133,5767,0.3648,-0.0373,0.5225,-0.0228,0.3123,0.001
2025,late_7_plus,50_55,1521,0.286,0.3458,0.3274,5458,0.2834,0.0026,0.3474,-0.0016,0.3173,0.0101
2025,early_1_3,50_55,1496,0.3369,0.5033,0.3356,5659,0.3492,-0.0123,0.5211,-0.0178,0.3211,0.0145
2024,late_7_plus,50_55,1471,0.2808,0.3311,0.2923,5600,0.2929,-0.0121,0.3445,-0.0134,0.3243,-0.032
2025,late_7_plus,45_50,1433,0.2596,0.3294,0.2917,5458,0.2834,-0.0238,0.3474,-0.018,0.3173,-0.0256
2024,f5_1_5,45_50,1215,0.3687,0.5481,0.307,3973,0.3612,0.0075,0.5286,0.0195,0.3144,-0.0074
2023,f5_1_5,45_50,1189,0.3667,0.5357,0.291,3987,0.3742,-0.0075,0.549,-0.0133,0.3203,-0.0293
2023,f5_1_5,50_55,1066,0.3856,0.5572,0.349,3987,0.3742,0.0114,0.549,0.0082,0.3203,0.0287
