season,inning_bucket,opponent_run_prevention_bucket,count,scored_next_1_inning_rate,scored_next_2_innings_rate,eventually_won_rate,baseline_count,scored_next_1_inning_baseline_rate,scored_next_1_inning_lift,scored_next_2_innings_baseline_rate,scored_next_2_innings_lift,eventually_won_baseline_rate,eventually_won_lift
2024,early_1_3,50_55,1788,0.3585,0.5106,0.302,5767,0.3648,-0.0063,0.5225,-0.0119,0.3123,-0.0103
2024,late_7_plus,50_55,1713,0.2954,0.3538,0.3275,5600,0.2929,0.0025,0.3445,0.0093,0.3243,0.0032
2025,early_1_3,50_55,1699,0.3555,0.5362,0.3114,5659,0.3492,0.0063,0.5211,0.0151,0.3211,-0.0097
2023,early_1_3,45_50,1677,0.3852,0.5725,0.3208,5928,0.3974,-0.0122,0.5633,0.0092,0.3311,-0.0103
2023,late_7_plus,50_55,1656,0.2911,0.3617,0.3231,5617,0.3025,-0.0114,0.3714,-0.0097,0.3231,0.0
2023,early_1_3,50_55,1630,0.4135,0.5742,0.3448,5928,0.3974,0.0161,0.5633,0.0109,0.3311,0.0137
2025,late_7_plus,50_55,1624,0.2691,0.3344,0.303,5458,0.2834,-0.0143,0.3474,-0.013,0.3173,-0.0143
2023,late_7_plus,45_50,1581,0.2998,0.37,0.315,5617,0.3025,-0.0027,0.3714,-0.0014,0.3231,-0.0081
2024,late_7_plus,45_50,1484,0.2965,0.3389,0.3396,5600,0.2929,0.0036,0.3445,-0.0056,0.3243,0.0153
2025,early_1_3,45_50,1430,0.3378,0.5028,0.3091,5659,0.3492,-0.0114,0.5211,-0.0183,0.3211,-0.012
2024,early_1_3,45_50,1405,0.3694,0.5146,0.3189,5767,0.3648,0.0046,0.5225,-0.0079,0.3123,0.0066
2025,late_7_plus,45_50,1327,0.2871,0.3542,0.3188,5458,0.2834,0.0037,0.3474,0.0068,0.3173,0.0015
2024,f5_1_5,50_55,1246,0.3411,0.5072,0.317,3973,0.3612,-0.0201,0.5286,-0.0214,0.3144,0.0026
2024,early_1_3,55_60,1121,0.3943,0.5406,0.3015,5767,0.3648,0.0295,0.5225,0.0181,0.3123,-0.0108
2023,f5_1_5,50_55,1097,0.371,0.5533,0.3072,3987,0.3742,-0.0032,0.549,0.0043,0.3203,-0.0131
2023,f5_1_5,45_50,1083,0.3952,0.5928,0.3186,3987,0.3742,0.021,0.549,0.0438,0.3203,-0.0017
2025,f5_1_5,50_55,1071,0.394,0.5238,0.282,3836,0.3691,0.0249,0.5209,0.0029,0.317,-0.035
2025,f5_1_5,45_50,1059,0.3796,0.5354,0.3229,3836,0.3691,0.0105,0.5209,0.0145,0.317,0.0059
2025,late_7_plus,55_60,1023,0.2991,0.3607,0.2776,5458,0.2834,0.0157,0.3474,0.0133,0.3173,-0.0397
2025,early_1_3,55_60,1007,0.3287,0.5005,0.291,5659,0.3492,-0.0205,0.5211,-0.0206,0.3211,-0.0301
2024,late_7_plus,55_60,1005,0.2925,0.3303,0.3045,5600,0.2929,-0.0004,0.3445,-0.0142,0.3243,-0.0198
2023,early_1_3,55_60,996,0.3775,0.5221,0.2982,5928,0.3974,-0.0199,0.5633,-0.0412,0.3311,-0.0329
2024,f5_1_5,45_50,976,0.3545,0.5287,0.3135,3973,0.3612,-0.0067,0.5286,0.0001,0.3144,-0.0009
2023,late_7_plus,55_60,958,0.3392,0.3904,0.3288,5617,0.3025,0.0367,0.3714,0.019,0.3231,0.0057
2025,early_1_3,40_45,821,0.3264,0.5018,0.3337,5659,0.3492,-0.0228,0.5211,-0.0193,0.3211,0.0126
2023,early_1_3,40_45,812,0.3892,0.5382,0.3374,5928,0.3974,-0.0082,0.5633,-0.0251,0.3311,0.0063
2025,late_7_plus,40_45,783,0.3091,0.3742,0.3589,5458,0.2834,0.0257,0.3474,0.0268,0.3173,0.0416
2024,f5_1_5,55_60,772,0.3484,0.5259,0.3005,3973,0.3612,-0.0128,0.5286,-0.0027,0.3144,-0.0139
2024,early_1_3,40_45,770,0.3182,0.5143,0.3247,5767,0.3648,-0.0466,0.5225,-0.0082,0.3123,0.0124
2024,late_7_plus,40_45,752,0.3005,0.359,0.2899,5600,0.2929,0.0076,0.3445,0.0145,0.3243,-0.0344
2023,f5_1_5,55_60,735,0.3592,0.5184,0.3143,3987,0.3742,-0.015,0.549,-0.0306,0.3203,-0.006
2023,late_7_plus,40_45,721,0.3259,0.3994,0.3315,5617,0.3025,0.0234,0.3714,0.028,0.3231,0.0084
2025,f5_1_5,55_60,673,0.3105,0.4933,0.2897,3836,0.3691,-0.0586,0.5209,-0.0276,0.317,-0.0273
2024,middle_6,50_55,626,0.3546,0.4904,0.2748,1972,0.3722,-0.0176,0.5203,-0.0299,0.3139,-0.0391
2023,middle_6,50_55,584,0.3699,0.5274,0.3305,2003,0.365,0.0049,0.5417,-0.0143,0.3285,0.002
2023,middle_6,45_50,549,0.388,0.5701,0.2951,2003,0.365,0.023,0.5417,0.0284,0.3285,-0.0334
2025,middle_6,50_55,546,0.293,0.4377,0.2967,1930,0.329,-0.036,0.5031,-0.0654,0.3212,-0.0245
2023,f5_1_5,40_45,523,0.3518,0.5067,0.3365,3987,0.3742,-0.0224,0.549,-0.0423,0.3203,0.0162
2024,f5_1_5,40_45,514,0.4202,0.5681,0.3093,3973,0.3612,0.059,0.5286,0.0395,0.3144,-0.0051
2025,f5_1_5,40_45,504,0.3829,0.5278,0.3651,3836,0.3691,0.0138,0.5209,0.0069,0.317,0.0481
2025,middle_6,45_50,486,0.356,0.5473,0.321,1930,0.329,0.027,0.5031,0.0442,0.3212,-0.0002
2025,late_7_plus,lt_40,461,0.2451,0.3102,0.3796,5458,0.2834,-0.0383,0.3474,-0.0372,0.3173,0.0623
