season,inning_bucket,opponent_team_strength_bucket,count,scored_next_1_inning_rate,scored_next_2_innings_rate,eventually_won_rate,baseline_count,scored_next_1_inning_baseline_rate,scored_next_1_inning_lift,scored_next_2_innings_baseline_rate,scored_next_2_innings_lift,eventually_won_baseline_rate,eventually_won_lift
2025,early_1_3,50_55,2134,0.3374,0.5169,0.3187,5659,0.3492,-0.0118,0.5211,-0.0042,0.3211,-0.0024
2023,late_7_plus,50_55,2090,0.2842,0.355,0.3124,5617,0.3025,-0.0183,0.3714,-0.0164,0.3231,-0.0107
2023,early_1_3,50_55,2069,0.3693,0.5433,0.3127,5928,0.3974,-0.0281,0.5633,-0.02,0.3311,-0.0184
2025,late_7_plus,50_55,2027,0.2945,0.3666,0.2876,5458,0.2834,0.0111,0.3474,0.0192,0.3173,-0.0297
2024,late_7_plus,45_50,1713,0.2925,0.3421,0.338,5600,0.2929,-0.0004,0.3445,-0.0024,0.3243,0.0137
2024,early_1_3,45_50,1694,0.3689,0.5348,0.3146,5767,0.3648,0.0041,0.5225,0.0123,0.3123,0.0023
2024,early_1_3,50_55,1693,0.3597,0.4885,0.28,5767,0.3648,-0.0051,0.5225,-0.034,0.3123,-0.0323
2024,late_7_plus,50_55,1664,0.2873,0.3419,0.2909,5600,0.2929,-0.0056,0.3445,-0.0026,0.3243,-0.0334
2025,f5_1_5,50_55,1468,0.3699,0.5184,0.2902,3836,0.3691,0.0008,0.5209,-0.0025,0.317,-0.0268
2023,f5_1_5,50_55,1446,0.3811,0.5436,0.296,3987,0.3742,0.0069,0.549,-0.0054,0.3203,-0.0243
2023,early_1_3,45_50,1370,0.3912,0.5526,0.3438,5928,0.3974,-0.0062,0.5633,-0.0107,0.3311,0.0127
2025,early_1_3,45_50,1355,0.3675,0.5373,0.3122,5659,0.3492,0.0183,0.5211,0.0162,0.3211,-0.0089
2025,late_7_plus,45_50,1320,0.2788,0.3402,0.3212,5458,0.2834,-0.0046,0.3474,-0.0072,0.3173,0.0039
2023,late_7_plus,45_50,1300,0.3223,0.3938,0.3323,5617,0.3025,0.0198,0.3714,0.0224,0.3231,0.0092
2024,f5_1_5,45_50,1237,0.3727,0.502,0.312,3973,0.3612,0.0115,0.5286,-0.0266,0.3144,-0.0024
2024,f5_1_5,50_55,1173,0.3393,0.5567,0.2916,3973,0.3612,-0.0219,0.5286,0.0281,0.3144,-0.0228
