season,inning_bucket,team_strength_bucket,count,scored_next_1_inning_rate,scored_next_2_innings_rate,eventually_won_rate,baseline_count,scored_next_1_inning_baseline_rate,scored_next_1_inning_lift,scored_next_2_innings_baseline_rate,scored_next_2_innings_lift,eventually_won_baseline_rate,eventually_won_lift
2023,early_1_3,50_55,2017,0.3832,0.5612,0.3575,5928,0.3974,-0.0142,0.5633,-0.0021,0.3311,0.0264
2025,late_7_plus,50_55,1986,0.279,0.3454,0.3394,5458,0.2834,-0.0044,0.3474,-0.002,0.3173,0.0221
2025,early_1_3,50_55,1896,0.3792,0.5517,0.3586,5659,0.3492,0.03,0.5211,0.0306,0.3211,0.0375
2023,late_7_plus,50_55,1861,0.3015,0.381,0.3289,5617,0.3025,-0.001,0.3714,0.0096,0.3231,0.0058
2024,early_1_3,45_50,1730,0.3399,0.5075,0.3116,5767,0.3648,-0.0249,0.5225,-0.015,0.3123,-0.0007
2024,late_7_plus,45_50,1713,0.2726,0.3234,0.3252,5600,0.2929,-0.0203,0.3445,-0.0211,0.3243,0.0009
2024,late_7_plus,50_55,1585,0.2965,0.3521,0.3338,5600,0.2929,0.0036,0.3445,0.0076,0.3243,0.0095
2024,early_1_3,50_55,1564,0.3523,0.5058,0.3184,5767,0.3648,-0.0125,0.5225,-0.0167,0.3123,0.0061
2023,early_1_3,45_50,1462,0.3974,0.552,0.3187,5928,0.3974,0.0,0.5633,-0.0113,0.3311,-0.0124
2025,early_1_3,45_50,1460,0.313,0.4952,0.3055,5659,0.3492,-0.0362,0.5211,-0.0259,0.3211,-0.0156
2023,late_7_plus,45_50,1447,0.2979,0.3601,0.3331,5617,0.3025,-0.0046,0.3714,-0.0113,0.3231,0.01
2025,f5_1_5,50_55,1357,0.3309,0.4967,0.3427,3836,0.3691,-0.0382,0.5209,-0.0242,0.317,0.0257
2023,f5_1_5,50_55,1356,0.3827,0.559,0.337,3987,0.3742,0.0085,0.549,0.01,0.3203,0.0167
2025,late_7_plus,45_50,1308,0.3073,0.3654,0.315,5458,0.2834,0.0239,0.3474,0.018,0.3173,-0.0023
2024,f5_1_5,45_50,1303,0.3553,0.5365,0.3254,3973,0.3612,-0.0059,0.5286,0.0079,0.3144,0.011
2024,f5_1_5,50_55,1075,0.3833,0.5358,0.307,3973,0.3612,0.0221,0.5286,0.0072,0.3144,-0.0074
2025,f5_1_5,45_50,967,0.3857,0.5253,0.303,3836,0.3691,0.0166,0.5209,0.0044,0.317,-0.014
2023,f5_1_5,45_50,921,0.3876,0.5527,0.3062,3987,0.3742,0.0134,0.549,0.0037,0.3203,-0.0141
2024,early_1_3,55_60,874,0.3822,0.5446,0.3707,5767,0.3648,0.0174,0.5225,0.0221,0.3123,0.0584
2025,early_1_3,55_60,854,0.3595,0.5269,0.356,5659,0.3492,0.0103,0.5211,0.0058,0.3211,0.0349
2025,late_7_plus,55_60,842,0.2696,0.3302,0.3397,5458,0.2834,-0.0138,0.3474,-0.0172,0.3173,0.0224
2024,late_7_plus,55_60,814,0.2838,0.3354,0.3821,5600,0.2929,-0.0091,0.3445,-0.0091,0.3243,0.0578
2023,early_1_3,55_60,771,0.4358,0.5668,0.3593,5928,0.3974,0.0384,0.5633,0.0035,0.3311,0.0282
2023,late_7_plus,55_60,731,0.3119,0.3953,0.3666,5617,0.3025,0.0094,0.3714,0.0239,0.3231,0.0435
2025,early_1_3,40_45,725,0.3103,0.4897,0.2524,5659,0.3492,-0.0389,0.5211,-0.0314,0.3211,-0.0687
2023,middle_6,50_55,703,0.394,0.5548,0.3286,2003,0.365,0.029,0.5417,0.0131,0.3285,0.0001
2025,middle_6,50_55,686,0.3309,0.5146,0.3469,1930,0.329,0.0019,0.5031,0.0115,0.3212,0.0257
2024,early_1_3,40_45,682,0.4003,0.544,0.2889,5767,0.3648,0.0355,0.5225,0.0215,0.3123,-0.0234
2025,late_7_plus,40_45,650,0.2415,0.3215,0.2723,5458,0.2834,-0.0419,0.3474,-0.0259,0.3173,-0.045
2023,late_7_plus,40_45,633,0.3081,0.3728,0.2717,5617,0.3025,0.0056,0.3714,0.0014,0.3231,-0.0514
2023,early_1_3,40_45,626,0.3994,0.5447,0.3003,5928,0.3974,0.002,0.5633,-0.0186,0.3311,-0.0308
2023,early_1_3,lt_40,611,0.3912,0.5696,0.2291,5928,0.3974,-0.0062,0.5633,0.0063,0.3311,-0.102
2024,middle_6,50_55,610,0.3885,0.582,0.3557,1972,0.3722,0.0163,0.5203,0.0617,0.3139,0.0418
2024,middle_6,45_50,592,0.4037,0.5152,0.3091,1972,0.3722,0.0315,0.5203,-0.0051,0.3139,-0.0048
2024,f5_1_5,55_60,584,0.3613,0.5,0.3373,3973,0.3612,0.0001,0.5286,-0.0286,0.3144,0.0229
2024,late_7_plus,lt_40,582,0.3179,0.3625,0.2251,5600,0.2929,0.025,0.3445,0.018,0.3243,-0.0992
2024,late_7_plus,40_45,575,0.32,0.3791,0.2765,5600,0.2929,0.0271,0.3445,0.0346,0.3243,-0.0478
2023,late_7_plus,lt_40,554,0.2942,0.3339,0.2563,5617,0.3025,-0.0083,0.3714,-0.0375,0.3231,-0.0668
2024,early_1_3,lt_40,541,0.3457,0.4917,0.1867,5767,0.3648,-0.0191,0.5225,-0.0308,0.3123,-0.1256
2023,f5_1_5,55_60,527,0.3757,0.5636,0.3833,3987,0.3742,0.0015,0.549,0.0146,0.3203,0.063
2025,f5_1_5,40_45,522,0.4368,0.5594,0.3065,3836,0.3691,0.0677,0.5209,0.0385,0.317,-0.0105
2025,f5_1_5,55_60,521,0.3724,0.5317,0.3321,3836,0.3691,0.0033,0.5209,0.0108,0.317,0.0151
2023,middle_6,45_50,482,0.3361,0.5,0.3195,2003,0.365,-0.0289,0.5417,-0.0417,0.3285,-0.009
2023,f5_1_5,40_45,480,0.3438,0.5104,0.2708,3987,0.3742,-0.0304,0.549,-0.0386,0.3203,-0.0495
2025,early_1_3,lt_40,472,0.3369,0.4915,0.2309,5659,0.3492,-0.0123,0.5211,-0.0296,0.3211,-0.0902
2025,middle_6,45_50,456,0.3224,0.4868,0.3399,1930,0.329,-0.0066,0.5031,-0.0163,0.3212,0.0187
2023,early_1_3,60_plus,441,0.4014,0.6213,0.3878,5928,0.3974,0.004,0.5633,0.058,0.3311,0.0567
2023,f5_1_5,lt_40,430,0.3349,0.5209,0.2651,3987,0.3742,-0.0393,0.549,-0.0281,0.3203,-0.0552
2025,late_7_plus,lt_40,422,0.2962,0.3555,0.2464,5458,0.2834,0.0128,0.3474,0.0081,0.3173,-0.0709
2024,f5_1_5,40_45,410,0.3512,0.5512,0.2805,3973,0.3612,-0.01,0.5286,0.0226,0.3144,-0.0339
2023,late_7_plus,60_plus,391,0.3095,0.3734,0.3555,5617,0.3025,0.007,0.3714,0.002,0.3231,0.0324
2024,early_1_3,60_plus,376,0.4548,0.6144,0.3777,5767,0.3648,0.09,0.5225,0.0919,0.3123,0.0654
2024,f5_1_5,lt_40,367,0.2943,0.4768,0.2834,3973,0.3612,-0.0669,0.5286,-0.0518,0.3144,-0.031
2024,late_7_plus,60_plus,331,0.3112,0.3474,0.3897,5600,0.2929,0.0183,0.3445,0.0029,0.3243,0.0654
2025,middle_6,55_60,311,0.3762,0.5434,0.3473,1930,0.329,0.0472,0.5031,0.0403,0.3212,0.0261
2025,f5_1_5,lt_40,297,0.3771,0.5488,0.2256,3836,0.3691,0.008,0.5209,0.0279,0.317,-0.0914
2023,f5_1_5,60_plus,273,0.3993,0.5714,0.337,3987,0.3742,0.0251,0.549,0.0224,0.3203,0.0167
2024,middle_6,55_60,263,0.3612,0.5589,0.3194,1972,0.3722,-0.011,0.5203,0.0386,0.3139,0.0055
2025,early_1_3,60_plus,252,0.4325,0.5675,0.377,5659,0.3492,0.0833,0.5211,0.0464,0.3211,0.0559
2025,late_7_plus,60_plus,250,0.328,0.38,0.316,5458,0.2834,0.0446,0.3474,0.0326,0.3173,-0.0013
2025,middle_6,40_45,250,0.288,0.456,0.276,1930,0.329,-0.041,0.5031,-0.0471,0.3212,-0.0452
2024,f5_1_5,60_plus,234,0.4145,0.5641,0.3376,3973,0.3612,0.0533,0.5286,0.0355,0.3144,0.0232
2023,middle_6,55_60,231,0.3636,0.5455,0.4242,2003,0.365,-0.0014,0.5417,0.0038,0.3285,0.0957
2023,middle_6,lt_40,221,0.3348,0.543,0.2851,2003,0.365,-0.0302,0.5417,0.0013,0.3285,-0.0434
2023,middle_6,40_45,217,0.3825,0.576,0.2811,2003,0.365,0.0175,0.5417,0.0343,0.3285,-0.0474
2024,middle_6,40_45,200,0.29,0.4,0.225,1972,0.3722,-0.0822,0.5203,-0.1203,0.3139,-0.0889
2025,f5_1_5,60_plus,172,0.3488,0.4884,0.3372,3836,0.3691,-0.0203,0.5209,-0.0325,0.317,0.0202
2024,middle_6,lt_40,171,0.2865,0.4094,0.2105,1972,0.3722,-0.0857,0.5203,-0.1109,0.3139,-0.1034
2023,middle_6,60_plus,149,0.3423,0.557,0.3423,2003,0.365,-0.0227,0.5417,0.0153,0.3285,0.0138
2025,middle_6,lt_40,139,0.3237,0.4892,0.1727,1930,0.329,-0.0053,0.5031,-0.0139,0.3212,-0.1485
2024,middle_6,60_plus,136,0.4118,0.5074,0.3971,1972,0.3722,0.0396,0.5203,-0.0129,0.3139,0.0832
