state_type,state_bucket,tier,tier_value,primary_outcome,seasons_seen,season_count,total_count,min_season_count,avg_rate,min_rate,max_rate,rate_range,avg_lift,min_lift,max_lift,stability_label
comeback,down_1_early_1_3,home_away,away,eventually_won,"2023,2024,2025",3,7055,2273,0.3344,0.3262,0.3449,0.0187,-0.042,-0.063,-0.0253,stable_negative_lift
comeback,down_1_early_1_3,home_away,away,scored_next_2_innings,"2023,2024,2025",3,7055,2273,0.4974,0.4885,0.5084,0.0199,-0.059,-0.0709,-0.0514,stable_negative_lift
comeback,down_1_early_1_3,opponent_team_strength_bucket,55_60,eventually_won,"2023,2024,2025",3,2509,708,0.3066,0.2719,0.3432,0.0713,-0.0698,-0.0856,-0.0395,stable_negative_lift
comeback,down_1_early_1_3,opponent_team_strength_bucket,55_60,tied_or_led_later,"2023,2024,2025",3,2509,708,0.5841,0.554,0.6009,0.0469,-0.0544,-0.0765,-0.0396,stable_negative_lift
comeback,down_1_early_1_3,team_strength_bucket,40_45,eventually_won,"2023,2024,2025",3,1812,540,0.3118,0.2995,0.3333,0.0338,-0.0646,-0.0897,-0.0494,stable_negative_lift
comeback,down_1_early_1_3,team_strength_bucket,40_45,tied_or_led_later,"2023,2024,2025",3,1812,540,0.5768,0.5499,0.6204,0.0705,-0.0617,-0.0879,-0.0167,stable_negative_lift
comeback,down_1_early_1_3,team_strength_bucket,lt_40,eventually_won,"2023,2024,2025",3,1491,438,0.2917,0.2665,0.3242,0.0577,-0.0848,-0.1162,-0.065,stable_negative_lift
comeback,down_1_f5_1_5,home_away,away,scored_next_2_innings,"2023,2024,2025",3,5247,1710,0.5166,0.5045,0.5312,0.0267,-0.0435,-0.0524,-0.0327,stable_negative_lift
comeback,down_1_f5_1_5,opponent_run_prevention_bucket,55_60,eventually_won,"2023,2024,2025",3,1952,613,0.2997,0.2918,0.312,0.0202,-0.0524,-0.073,-0.0266,stable_negative_lift
comeback,down_1_f5_1_5,opponent_run_prevention_bucket,55_60,tied_or_led_later,"2023,2024,2025",3,1952,613,0.5247,0.4976,0.5499,0.0523,-0.0509,-0.0825,-0.0266,stable_negative_lift
comeback,down_1_f5_1_5,opponent_team_strength_bucket,55_60,eventually_won,"2023,2024,2025",3,1641,477,0.2905,0.2406,0.3163,0.0757,-0.0616,-0.098,-0.0383,stable_negative_lift
comeback,down_1_f5_1_5,opponent_team_strength_bucket,55_60,tied_or_led_later,"2023,2024,2025",3,1641,477,0.5247,0.5074,0.5388,0.0314,-0.0509,-0.0691,-0.0413,stable_negative_lift
comeback,down_1_f5_1_5,team_strength_bucket,40_45,eventually_won,"2023,2024,2025",3,1260,408,0.3119,0.2974,0.3271,0.0297,-0.0401,-0.0554,-0.0273,stable_negative_lift
comeback,down_1_f5_1_5,team_strength_bucket,40_45,tied_or_led_later,"2023,2024,2025",3,1260,408,0.527,0.5012,0.5529,0.0517,-0.0486,-0.0789,-0.0236,stable_negative_lift
comeback,down_1_f5_1_5,team_strength_bucket,lt_40,eventually_won,"2023,2024,2025",3,935,229,0.2827,0.2636,0.3137,0.0501,-0.0694,-0.0941,-0.0249,stable_negative_lift
comeback,down_1_late_7_plus,home_away,away,eventually_won,"2023,2024,2025",3,5728,1866,0.1722,0.1521,0.1929,0.0408,-0.0486,-0.0551,-0.0391,stable_negative_lift
comeback,down_1_late_7_plus,home_away,away,scored_next_2_innings,"2023,2024,2025",3,5728,1866,0.3376,0.3139,0.3558,0.0419,-0.0501,-0.062,-0.0366,stable_negative_lift
comeback,down_1_late_7_plus,team_strength_bucket,60_plus,eventually_won,"2023,2024,2025",3,765,200,0.1786,0.155,0.2174,0.0624,-0.0422,-0.0631,-0.0146,stable_negative_lift
comeback,down_1_middle_6,home_away,away,eventually_won,"2023,2024,2025",3,2386,784,0.283,0.2739,0.2883,0.0144,-0.0477,-0.054,-0.0412,stable_negative_lift
comeback,down_1_middle_6,home_away,away,scored_next_2_innings,"2023,2024,2025",3,2386,784,0.4998,0.4783,0.5128,0.0345,-0.0466,-0.0565,-0.0375,stable_negative_lift
comeback,down_1_middle_6,team_strength_bucket,lt_40,eventually_won,"2023,2024,2025",3,397,109,0.2617,0.1927,0.3077,0.115,-0.0689,-0.1352,-0.0269,stable_negative_lift
comeback,down_1_middle_6,team_strength_bucket,lt_40,scored_next_2_innings,"2023,2024,2025",3,397,109,0.5031,0.4495,0.5443,0.0948,-0.0433,-0.0745,-0.006,stable_negative_lift
comeback,down_2_early_1_3,home_away,away,eventually_won,"2023,2024,2025",3,3775,1177,0.2152,0.199,0.2392,0.0402,-0.0579,-0.0597,-0.0564,stable_negative_lift
comeback,down_2_early_1_3,home_away,away,scored_next_2_innings,"2023,2024,2025",3,3775,1177,0.4913,0.48,0.5064,0.0264,-0.0698,-0.0819,-0.0545,stable_negative_lift
comeback,down_2_early_1_3,home_away,away,tied_or_led_later,"2023,2024,2025",3,3775,1177,0.4191,0.3883,0.4655,0.0772,-0.0536,-0.0619,-0.0395,stable_negative_lift
comeback,down_2_early_1_3,opponent_run_prevention_bucket,40_45,scored_next_2_innings,"2023,2024,2025",3,1205,371,0.5171,0.4771,0.5418,0.0647,-0.0439,-0.1112,-0.0094,stable_negative_lift
comeback,down_2_early_1_3,opponent_run_prevention_bucket,60_plus,scored_next_2_innings,"2023,2024,2025",3,471,129,0.5004,0.4415,0.5325,0.091,-0.0607,-0.1468,-0.0094,stable_negative_lift
comeback,down_2_early_1_3,opponent_team_strength_bucket,60_plus,eventually_won,"2023,2024,2025",3,647,142,0.2198,0.1901,0.2455,0.0554,-0.0533,-0.0748,-0.0317,stable_negative_lift
comeback,down_2_early_1_3,team_strength_bucket,lt_40,eventually_won,"2023,2024,2025",3,862,252,0.1981,0.1607,0.2183,0.0576,-0.075,-0.0947,-0.0466,stable_negative_lift
comeback,down_2_early_1_3,team_strength_bucket,lt_40,tied_or_led_later,"2023,2024,2025",3,862,252,0.3817,0.325,0.4273,0.1023,-0.091,-0.1252,-0.07,stable_negative_lift
comeback,down_2_f5_1_5,home_away,away,scored_next_2_innings,"2023,2024,2025",3,3908,1215,0.5163,0.5014,0.524,0.0226,-0.0494,-0.0685,-0.0337,stable_negative_lift
comeback,down_2_f5_1_5,opponent_run_prevention_bucket,60_plus,scored_next_2_innings,"2023,2024,2025",3,409,133,0.4812,0.4254,0.5113,0.0859,-0.0845,-0.1666,-0.0404,stable_negative_lift
comeback,down_2_f5_1_5,opponent_team_strength_bucket,55_60,eventually_won,"2023,2024,2025",3,1214,385,0.1893,0.1812,0.2048,0.0236,-0.0456,-0.0648,-0.0316,stable_negative_lift
comeback,down_2_f5_1_5,opponent_team_strength_bucket,55_60,tied_or_led_later,"2023,2024,2025",3,1214,385,0.34,0.3043,0.4,0.0957,-0.0506,-0.0845,-0.0163,stable_negative_lift
comeback,down_2_f5_1_5,team_strength_bucket,40_45,tied_or_led_later,"2023,2024,2025",3,891,252,0.3423,0.3067,0.3929,0.0862,-0.0483,-0.0935,-0.0234,stable_negative_lift
comeback,down_2_f5_1_5,team_strength_bucket,lt_40,tied_or_led_later,"2023,2024,2025",3,802,234,0.3186,0.2474,0.3547,0.1073,-0.072,-0.1079,-0.0455,stable_negative_lift
comeback,down_2_late_7_plus,team_strength_bucket,lt_40,scored_next_2_innings,"2023,2024,2025",3,929,239,0.3387,0.3064,0.3682,0.0618,-0.0562,-0.0892,-0.028,stable_negative_lift
comeback,down_2_late_7_plus,team_strength_bucket,lt_40,tied_or_led_later,"2023,2024,2025",3,929,239,0.1359,0.0879,0.1722,0.0843,-0.0413,-0.092,-0.0018,stable_negative_lift
comeback,down_2_middle_6,opponent_team_strength_bucket,55_60,eventually_won,"2023,2024,2025",3,583,178,0.1485,0.118,0.1888,0.0708,-0.0439,-0.0804,-0.0172,stable_negative_lift
comeback,down_2_middle_6,opponent_team_strength_bucket,55_60,scored_next_2_innings,"2023,2024,2025",3,583,178,0.4881,0.4689,0.5056,0.0367,-0.052,-0.0757,-0.0323,stable_negative_lift
