state_type,state_bucket,tier,tier_value,primary_outcome,seasons_seen,season_count,total_count,min_season_count,avg_rate,min_rate,max_rate,rate_range,avg_lift,min_lift,max_lift,stability_label
comeback,down_1_early_1_3,home_away,home,scored_next_2_innings,"2023,2024,2025",3,9064,2946,0.6026,0.5849,0.6168,0.0319,0.0462,0.0381,0.0574,stable_positive_lift
comeback,down_1_early_1_3,l10_rpg_bucket,very_high_5_5_plus,eventually_won,"2023,2024,2025",3,3119,921,0.4193,0.4093,0.4288,0.0195,0.0428,0.037,0.0518,stable_positive_lift
comeback,down_1_early_1_3,offense_form_bucket,60_plus,eventually_won,"2023,2024,2025",3,1304,407,0.4391,0.4149,0.4675,0.0526,0.0626,0.0257,0.0848,stable_positive_lift
comeback,down_1_early_1_3,offense_form_bucket,60_plus,tied_or_led_later,"2023,2024,2025",3,1304,407,0.6902,0.666,0.7371,0.0711,0.0517,0.018,0.1066,stable_positive_lift
comeback,down_1_early_1_3,opponent_run_prevention_bucket,60_plus,tied_or_led_later,"2023,2024,2025",3,939,284,0.6796,0.6438,0.7049,0.0611,0.0411,0.0067,0.0744,stable_positive_lift
comeback,down_1_early_1_3,opponent_run_prevention_bucket,lt_40,scored_next_2_innings,"2023,2024,2025",3,1135,315,0.6185,0.5647,0.6909,0.1262,0.0621,0.0053,0.1277,stable_positive_lift
comeback,down_1_early_1_3,opponent_run_prevention_bucket,lt_40,tied_or_led_later,"2023,2024,2025",3,1135,315,0.7112,0.7043,0.7238,0.0195,0.0726,0.0574,0.0933,stable_positive_lift
comeback,down_1_early_1_3,opponent_team_strength_bucket,40_45,eventually_won,"2023,2024,2025",3,1565,407,0.434,0.4226,0.4444,0.0218,0.0576,0.0459,0.0651,stable_positive_lift
comeback,down_1_early_1_3,opponent_team_strength_bucket,lt_40,eventually_won,"2023,2024,2025",3,1147,325,0.493,0.4752,0.5024,0.0272,0.1166,0.0925,0.1449,stable_positive_lift
comeback,down_1_early_1_3,opponent_team_strength_bucket,lt_40,scored_next_2_innings,"2023,2024,2025",3,1147,325,0.6079,0.5631,0.6337,0.0706,0.0514,0.0037,0.08,stable_positive_lift
comeback,down_1_early_1_3,opponent_team_strength_bucket,lt_40,tied_or_led_later,"2023,2024,2025",3,1147,325,0.7341,0.6923,0.7799,0.0876,0.0956,0.0443,0.1494,stable_positive_lift
comeback,down_1_early_1_3,team_strength_bucket,55_60,eventually_won,"2023,2024,2025",3,2327,638,0.4297,0.4151,0.446,0.0309,0.0532,0.0452,0.0576,stable_positive_lift
comeback,down_1_f5_1_5,home_away,home,scored_next_2_innings,"2023,2024,2025",3,5666,1828,0.6001,0.5938,0.6113,0.0175,0.0401,0.0313,0.0449,stable_positive_lift
comeback,down_1_f5_1_5,opponent_run_prevention_bucket,60_plus,eventually_won,"2023,2024,2025",3,611,183,0.4034,0.388,0.4144,0.0264,0.0513,0.0352,0.0692,stable_positive_lift
comeback,down_1_f5_1_5,opponent_run_prevention_bucket,lt_40,eventually_won,"2023,2024,2025",3,773,228,0.4149,0.3878,0.4533,0.0655,0.0628,0.0492,0.0885,stable_positive_lift
comeback,down_1_f5_1_5,opponent_run_prevention_bucket,lt_40,tied_or_led_later,"2023,2024,2025",3,773,228,0.6272,0.5833,0.6533,0.07,0.0516,0.0032,0.0768,stable_positive_lift
comeback,down_1_f5_1_5,opponent_team_strength_bucket,40_45,eventually_won,"2023,2024,2025",3,1032,294,0.4036,0.3947,0.4082,0.0135,0.0515,0.0419,0.0696,stable_positive_lift
comeback,down_1_f5_1_5,opponent_team_strength_bucket,40_45,scored_next_2_innings,"2023,2024,2025",3,1032,294,0.6106,0.5838,0.6289,0.0451,0.0505,0.034,0.065,stable_positive_lift
comeback,down_1_f5_1_5,opponent_team_strength_bucket,40_45,tied_or_led_later,"2023,2024,2025",3,1032,294,0.6277,0.5922,0.6684,0.0762,0.0521,0.0157,0.0883,stable_positive_lift
comeback,down_1_f5_1_5,opponent_team_strength_bucket,lt_40,eventually_won,"2023,2024,2025",3,866,250,0.4285,0.408,0.453,0.045,0.0764,0.0432,0.1002,stable_positive_lift
comeback,down_1_f5_1_5,opponent_team_strength_bucket,lt_40,scored_next_2_innings,"2023,2024,2025",3,866,250,0.601,0.5786,0.6443,0.0657,0.0409,0.0122,0.0804,stable_positive_lift
comeback,down_1_f5_1_5,opponent_team_strength_bucket,lt_40,tied_or_led_later,"2023,2024,2025",3,866,250,0.6608,0.608,0.7013,0.0933,0.0852,0.0315,0.1212,stable_positive_lift
comeback,down_1_late_7_plus,home_away,home,eventually_won,"2023,2024,2025",3,6702,2151,0.2625,0.2515,0.2717,0.0202,0.0417,0.0324,0.0477,stable_positive_lift
comeback,down_1_late_7_plus,home_away,home,scored_next_2_innings,"2023,2024,2025",3,6702,2151,0.4306,0.4133,0.4562,0.0429,0.0429,0.0299,0.0511,stable_positive_lift
comeback,down_1_late_7_plus,opponent_run_prevention_bucket,lt_40,eventually_won,"2023,2024,2025",3,915,263,0.3027,0.2153,0.365,0.1497,0.0819,0.0115,0.133,stable_positive_lift
comeback,down_1_late_7_plus,opponent_run_prevention_bucket,lt_40,scored_next_2_innings,"2023,2024,2025",3,915,263,0.456,0.3938,0.5361,0.1423,0.0683,0.0282,0.131,stable_positive_lift
comeback,down_1_late_7_plus,opponent_run_prevention_bucket,lt_40,tied_or_led_later,"2023,2024,2025",3,915,263,0.4173,0.3314,0.5057,0.1743,0.0928,0.0275,0.1674,stable_positive_lift
comeback,down_1_middle_6,home_away,home,eventually_won,"2023,2024,2025",3,2462,794,0.3772,0.3673,0.3829,0.0156,0.0465,0.0378,0.055,stable_positive_lift
comeback,down_1_middle_6,home_away,home,scored_next_2_innings,"2023,2024,2025",3,2462,794,0.5917,0.5705,0.6199,0.0494,0.0454,0.0345,0.0552,stable_positive_lift
comeback,down_1_middle_6,opponent_run_prevention_bucket,lt_40,eventually_won,"2023,2024,2025",3,345,106,0.407,0.3798,0.4545,0.0747,0.0764,0.0519,0.125,stable_positive_lift
comeback,down_1_middle_6,opponent_team_strength_bucket,40_45,eventually_won,"2023,2024,2025",3,472,129,0.4098,0.3503,0.4651,0.1148,0.0791,0.0224,0.1305,stable_positive_lift
comeback,down_1_middle_6,opponent_team_strength_bucket,lt_40,eventually_won,"2023,2024,2025",3,418,112,0.3903,0.3482,0.4452,0.097,0.0596,0.0203,0.1106,stable_positive_lift
comeback,down_1_middle_6,opponent_team_strength_bucket,lt_40,scored_next_2_innings,"2023,2024,2025",3,418,112,0.592,0.5762,0.6194,0.0432,0.0457,0.0259,0.0564,stable_positive_lift
