date,session_num,session_start_utc,session_end_utc,session_start_et,session_end_et,duration_min,total_snaps
2026-06-15,1,01:41,01:51,21:41 ET,21:51 ET,10,229776
2026-06-15,2,16:52,18:34,12:52 ET,14:34 ET,102,229776
2026-06-15,3,19:33,23:55,15:33 ET,19:55 ET,262,229776
2026-06-16,1,00:00,00:31,20:00 ET,20:31 ET,32,1591151
2026-06-16,2,01:10,04:37,21:10 ET,00:37 ET,206,1591151
2026-06-16,3,17:21,18:01,13:21 ET,14:01 ET,40,1591151
2026-06-16,4,18:55,23:59,14:55 ET,19:59 ET,305,1591151
2026-06-17,1,00:00,04:47,20:00 ET,00:47 ET,287,4926937
2026-06-17,2,16:14,23:59,12:14 ET,19:59 ET,465,4926937
2026-06-18,1,00:00,01:53,20:00 ET,21:53 ET,114,770573
2026-06-21,1,15:38,23:59,11:38 ET,19:59 ET,502,1622428
2026-06-22,1,00:00,05:43,20:00 ET,01:43 ET,343,1096328
2026-06-22,2,21:40,23:59,17:40 ET,19:59 ET,139,1096328
2026-06-23,1,00:00,03:35,20:00 ET,23:35 ET,215,1156619
2026-06-23,2,15:33,23:59,11:33 ET,19:59 ET,506,1156619
2026-06-24,1,00:00,04:22,20:00 ET,00:22 ET,263,1215782
2026-06-24,2,14:38,20:17,10:38 ET,16:17 ET,339,1215782
