market_type,hour_utc,total_snaps,real_price_snaps,empty_snaps
f5_spread,0,14400,13440,438
f5_spread,1,14400,14308,0
f5_spread,2,14400,14400,0
f5_spread,3,14400,14400,0
f5_spread,4,14400,14400,0
f5_spread,5,10380,10380,0
f5_spread,21,1560,0,1560
f5_total,0,25200,23280,344
f5_total,1,25200,24799,0
f5_total,2,25200,24960,0
f5_total,3,25200,24960,0
f5_total,4,25200,24960,0
f5_total,5,18165,17992,0
f5_total,21,2730,0,2730
f5_winner,21,1170,0,1170
full_game_total,0,39120,35280,1773
full_game_total,1,39120,35280,1251
full_game_total,2,39120,37238,182
full_game_total,3,39120,37920,0
full_game_total,4,39120,37920,0
full_game_total,5,28199,27334,0
full_game_total,21,4290,0,4290
moneyline,0,7200,6720,480
moneyline,1,7200,6720,480
moneyline,2,7200,7076,46
moneyline,3,7200,7200,0
moneyline,4,7200,7200,0
moneyline,5,5190,5190,0
moneyline,21,780,0,780
spread_run_line,0,21600,20160,1258
spread_run_line,1,21600,20160,1052
spread_run_line,2,21600,21228,134
spread_run_line,3,21600,21600,0
spread_run_line,4,21600,21600,0
spread_run_line,5,15570,15570,0
spread_run_line,21,2340,0,2340
team_total,0,50400,1440,2459
team_total,1,50400,1440,1952
team_total,2,50400,3932,99
team_total,3,50400,4800,0
team_total,4,50400,4800,0
team_total,5,36330,3460,0
team_total,21,6133,646,5460
