generated_at,window_start,window_end,watchlist_category,game_date,game_id,game_pk,away_abbr,home_abbr,subject_team,market_type,market_type_bucket,threshold,side,market_ticker,price_bucket,last_price_cents,avg_spread_cents,last_snap_minutes_before,n_pregame_snapshots,graded,outcome,pl_cents,brain_score,calibrated_probability,candidate_status,score_bin,final_team_runs,context_favorite_underdog,opponent_starter_kbb_bucket,opponent_starter_xfip_bucket,offense_form_bucket
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,expensive_yes,2026-07-19,SF@SEA,823113,SF,SEA,SEA,moneyline,moneyline,,YES,KXMLBGAME-26JUL191610SFSEA-SEA,56-65c,65.0,1.0,0.3,96,True,WIN,35.0,0.0837,0.472,,,,favorite,weak_lt_8,very_bad_5_25_plus,40_45
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,expensive_yes,2026-07-19,SF@SEA,823113,SF,SEA,,full_game_total,full game totals,4.0,YES,KXMLBTOTAL-26JUL191610SFSEA-4,81-99c,87.0,1.0,0.3,96,True,WIN,13.0,,,,,,,,,
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,expensive_yes,2026-07-19,SF@SEA,823113,SF,SEA,,full_game_total,full game totals,6.0,YES,KXMLBTOTAL-26JUL191610SFSEA-6,66-80c,67.0,1.0,0.3,96,True,WIN,33.0,,,,,,,,,
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,expensive_yes,2026-07-19,SF@SEA,823113,SF,SEA,,full_game_total,full game totals,7.0,YES,KXMLBTOTAL-26JUL191610SFSEA-7,56-65c,58.0,1.0,0.3,96,True,WIN,42.0,,,,,,,,,
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,expensive_yes,2026-07-19,SF@SEA,823113,SF,SEA,,full_game_total,full game totals,2.0,YES,KXMLBTOTAL-26JUL191610SFSEA-2,81-99c,98.0,2.0,0.3,96,True,WIN,2.0,,,,,,,,,
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,expensive_yes,2026-07-19,SF@SEA,823113,SF,SEA,,full_game_total,full game totals,3.0,YES,KXMLBTOTAL-26JUL191610SFSEA-3,81-99c,95.0,1.0,0.3,96,True,WIN,5.0,,,,,,,,,
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,expensive_yes,2026-07-19,SF@SEA,823113,SF,SEA,,full_game_total,full game totals,5.0,YES,KXMLBTOTAL-26JUL191610SFSEA-5,66-80c,80.0,1.0,0.3,96,True,WIN,20.0,,,,,,,,,
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,expensive_yes,2026-07-19,SF@SEA,823113,SF,SEA,SEA,team_total,team totals,3.0,YES,KXMLBTEAMTOTAL-26JUL191610SFSEA-SEA3,66-80c,74.0,1.4,0.3,96,True,WIN,26.0,,,,,,favorite,weak_lt_8,very_bad_5_25_plus,40_45
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,expensive_yes,2026-07-19,SF@SEA,823113,SF,SEA,SEA,team_total,team totals,2.0,YES,KXMLBTEAMTOTAL-26JUL191610SFSEA-SEA2,81-99c,88.0,1.86,0.3,96,True,WIN,12.0,,,,,,favorite,weak_lt_8,very_bad_5_25_plus,40_45
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,expensive_yes,2026-07-19,SF@SEA,823113,SF,SEA,SF,team_total,team totals,2.0,YES,KXMLBTEAMTOTAL-26JUL191610SFSEA-SF2,66-80c,76.0,1.04,0.3,96,True,WIN,24.0,,,,,,underdog,solid_13_18,avg_4_25_4_75,50_55
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,expensive_yes,2026-07-19,SF@SEA,823113,SF,SEA,SF,team_total,team totals,3.0,YES,KXMLBTEAMTOTAL-26JUL191610SFSEA-SF3,56-65c,57.0,1.51,0.3,96,True,WIN,43.0,,,,,,underdog,solid_13_18,avg_4_25_4_75,50_55
