generated_at,window_start,window_end,game_date,game_id,subject_team,market_type,threshold,side,brain_score,calibrated_probability,market_implied_probability_cents,gap_cents,bucket,graded,outcome,pl_cents
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-19,CIN@COL,CIN,team_total,4.0,YES,0.0946,0.531,78.0,-24.9,brain_high_market_high,True,WIN,22.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-26,COL@MIL,COL,moneyline,,YES,0.0,0.472,24.0,23.199999999999996,brain_low_market_low,True,LOSE,-24.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-20,DET@CHC,CHC,team_total,4.0,YES,0.0,0.531,74.0,-20.9,brain_high_market_high,True,WIN,26.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-19,SF@SEA,SF,team_total,5.0,NO,0.0,0.5546,76.0,-20.54,brain_high_market_high,True,WIN,24.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-19,CIN@COL,CIN,team_total,5.0,NO,0.0,0.5546,36.0,19.46,brain_high_market_low,True,LOSE,-36.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-20,DET@CHC,CHC,team_total,5.0,NO,0.1461,0.5913,40.0,19.130000000000003,brain_high_market_low,True,LOSE,-40.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-26,COL@MIL,COL,team_total,4.0,YES,0.0,0.531,34.0,19.1,brain_high_market_low,True,LOSE,-34.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-22,LAD@PHI,LAD,team_total,4.0,YES,0.0083,0.531,72.0,-18.9,brain_high_market_high,True,WIN,28.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-26,NYY@PHI,PHI,moneyline,,YES,0.0,0.472,66.0,-18.800000000000004,brain_low_market_high,True,WIN,34.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-23,SD@ATL,SD,team_total,5.0,NO,0.0343,0.5546,74.0,-18.54,brain_high_market_high,True,LOSE,-74.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-24,KC@DET,DET,moneyline,,YES,0.2585,0.5286,71.0,-18.14,brain_high_market_high,True,WIN,29.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-19,SF@SEA,SEA,moneyline,,YES,0.0837,0.472,65.0,-17.800000000000004,brain_low_market_high,True,WIN,35.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-24,KC@DET,KC,moneyline,,YES,0.0,0.472,30.0,17.199999999999996,brain_low_market_low,True,LOSE,-30.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-24,COL@MIL,COL,moneyline,,YES,0.0,0.472,30.0,17.199999999999996,brain_low_market_low,True,WIN,70.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-24,KC@DET,KC,team_total,4.0,YES,0.0,0.531,36.0,17.1,brain_high_market_low,True,LOSE,-36.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-26,COL@MIL,MIL,moneyline,,YES,0.4803,0.6039,77.0,-16.61,brain_high_market_high,True,WIN,23.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-23,SD@ATL,SD,moneyline,,YES,0.0,0.472,31.0,16.199999999999996,brain_low_market_low,True,LOSE,-31.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-23,SD@ATL,ATL,moneyline,,YES,0.372,0.5489,71.0,-16.109999999999992,brain_high_market_high,True,WIN,29.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-26,COL@MIL,COL,team_total,5.0,NO,0.2606,0.6292,79.0,-16.08,brain_high_market_high,True,WIN,21.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-20,SF@KC,KC,team_total,4.0,YES,0.0009,0.531,69.0,-15.899999999999999,brain_high_market_high,True,WIN,31.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-20,NYM@MIL,NYM,team_total,5.0,NO,0.1195,0.5913,75.0,-15.869999999999997,brain_high_market_high,True,WIN,25.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-24,COL@MIL,MIL,team_total,5.0,NO,0.0,0.5546,40.0,15.46,brain_high_market_low,True,WIN,60.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-25,COL@MIL,COL,moneyline,,YES,0.0,0.472,32.0,15.199999999999996,brain_low_market_low,True,LOSE,-32.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-20,DET@CHC,DET,team_total,4.0,YES,0.1505,0.5883,74.0,-15.169999999999995,brain_high_market_high,True,WIN,26.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-22,LAD@PHI,LAD,team_total,5.0,NO,0.1438,0.5913,44.0,15.130000000000003,brain_high_market_low,True,LOSE,-44.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-25,LAD@NYM,NYM,team_total,5.0,NO,0.1712,0.5913,74.0,-14.869999999999997,brain_high_market_high,True,WIN,26.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-20,CWS@TEX,TEX,moneyline,,YES,0.0535,0.472,62.0,-14.800000000000004,brain_low_market_high,True,LOSE,-62.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-19,MIN@CHC,CHC,moneyline,,YES,0.0837,0.472,62.0,-14.800000000000004,brain_low_market_high,True,WIN,38.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-20,TB@TOR,TOR,moneyline,,YES,0.0,0.472,62.0,-14.800000000000004,brain_low_market_high,True,LOSE,-62.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-19,PIT@CLE,CLE,team_total,5.0,NO,0.0466,0.5546,70.0,-14.54,brain_high_market_high,True,WIN,30.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-26,CLE@TB,CLE,team_total,5.0,NO,0.0432,0.5546,70.0,-14.54,brain_high_market_high,True,WIN,30.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-23,KC@DET,KC,team_total,5.0,NO,0.057,0.5546,70.0,-14.54,brain_high_market_high,True,WIN,30.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-20,DET@CHC,DET,team_total,5.0,NO,0.0,0.5546,41.0,14.46,brain_high_market_low,True,LOSE,-41.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-26,COL@MIL,MIL,team_total,4.0,YES,0.2706,0.5667,71.0,-14.329999999999998,brain_high_market_high,True,WIN,29.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-23,KC@DET,KC,moneyline,,YES,0.0,0.472,33.0,14.199999999999996,brain_low_market_low,True,LOSE,-33.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-20,NYM@MIL,NYM,team_total,4.0,YES,0.0,0.531,39.0,14.100000000000001,brain_high_market_low,True,LOSE,-39.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-19,SF@SEA,SF,team_total,4.0,YES,0.0,0.531,39.0,14.100000000000001,brain_high_market_low,True,LOSE,-39.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-24,KC@DET,KC,team_total,5.0,NO,0.2361,0.6292,77.0,-14.079999999999998,brain_high_market_high,True,WIN,23.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-20,CWS@TEX,CWS,team_total,4.0,YES,0.1262,0.5883,45.0,13.830000000000005,brain_high_market_low,True,WIN,55.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-22,CIN@SEA,SEA,moneyline,,YES,0.0311,0.472,61.0,-13.800000000000004,brain_low_market_high,True,LOSE,-61.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-19,CIN@COL,CIN,moneyline,,YES,0.0711,0.472,61.0,-13.800000000000004,brain_low_market_high,True,WIN,39.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-26,CLE@TB,TB,team_total,5.0,NO,0.0,0.5546,69.0,-13.54,brain_high_market_high,True,WIN,31.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-21,MIN@CLE,MIN,team_total,5.0,NO,0.0,0.5546,69.0,-13.54,brain_high_market_high,True,WIN,31.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-19,MIN@CHC,MIN,team_total,5.0,NO,0.0,0.5546,69.0,-13.54,brain_high_market_high,True,WIN,31.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-25,COL@MIL,MIL,team_total,5.0,NO,0.0,0.5546,42.0,13.46,brain_high_market_low,True,LOSE,-42.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-20,NYM@MIL,NYM,moneyline,,YES,0.0,0.472,34.0,13.199999999999996,brain_low_market_low,True,LOSE,-34.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-23,KC@DET,DET,moneyline,,YES,0.3281,0.5489,68.0,-13.109999999999992,brain_high_market_high,True,WIN,32.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-23,SD@ATL,SD,team_total,4.0,YES,0.0,0.531,40.0,13.100000000000001,brain_high_market_low,True,WIN,60.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-19,CIN@COL,COL,team_total,4.0,YES,0.0,0.531,66.0,-12.899999999999999,brain_high_market_high,True,WIN,34.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-19,PIT@CLE,PIT,team_total,4.0,YES,0.14,0.5883,46.0,12.830000000000005,brain_high_market_low,True,WIN,54.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-24,LAA@SF,SF,moneyline,,YES,0.0839,0.472,60.0,-12.800000000000004,brain_low_market_high,True,WIN,40.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-21,TB@TOR,TOR,team_total,5.0,NO,0.0,0.5546,68.0,-12.54,brain_high_market_high,True,WIN,32.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-19,PIT@CLE,PIT,team_total,5.0,NO,0.0,0.5546,68.0,-12.54,brain_high_market_high,True,LOSE,-68.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-20,CWS@TEX,CWS,team_total,5.0,NO,0.0,0.5546,68.0,-12.54,brain_high_market_high,True,LOSE,-68.0
