generated_at,window_start,window_end,category,dimension_type,dimension_value,market_type,side,team,game_date,candidate_status,score_bin,n,n_graded,hit_rate_pct,breakeven_pct,hit_minus_breakeven_pp,pl_cents,avg_price_cents,avg_spread_cents,avg_snapshot_age_minutes,avg_brain_score,market_implied_probability_pct,actual_minus_implied_pp,pl_buy_early_cents,pl_buy_late_cents,pl_fade_cents,pct_moved_toward_winner,sample_warning
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,expensive_yes,overall,56-65c,ALL,YES,,,,,350,350,54.0,60.3,-6.3,-2206.0,60.3,4.2,0.9,0.1216,,,,,,,
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,expensive_yes,market_type,56-65c,F5 totals,YES,,,,,69,69,52.17,59.87,-7.7,-531.0,59.87,7.43,1.0,,,,,,,,
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,expensive_yes,market_type,56-65c,F5 winner,YES,,,,,8,8,62.5,61.62,0.88,7.0,61.62,4.47,1.4,,,,,,,,very_low_n_lt_10
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,expensive_yes,market_type,56-65c,full game totals,YES,,,,,98,98,58.16,60.78,-2.61,-256.0,60.78,1.16,0.9,,,,,,,,
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,expensive_yes,market_type,56-65c,moneyline,YES,,,,,37,37,45.95,58.89,-12.95,-479.0,58.89,2.83,0.9,0.1923,,,,,,,
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,expensive_yes,market_type,56-65c,runline/spread,YES,,,,,2,2,50.0,58.0,-8.0,-16.0,58.0,1.12,1.4,,,,,,,,very_low_n_lt_10
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,expensive_yes,market_type,56-65c,team totals,YES,,,,,136,136,53.68,60.52,-6.85,-931.0,60.52,5.15,0.9,0.0944,,,,,,,
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,expensive_yes,team,56-65c,ALL,YES,ATH,,,,6,6,66.67,61.17,5.5,33.0,61.17,4.14,1.4,0.0301,,,,,,,very_low_n_lt_10
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,expensive_yes,team,56-65c,ALL,YES,ATL,,,,7,7,57.14,60.29,-3.14,-22.0,60.29,2.99,0.6,0.1294,,,,,,,very_low_n_lt_10
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,expensive_yes,team,56-65c,ALL,YES,AZ,,,,6,6,66.67,59.0,7.67,46.0,59.0,4.37,1.0,0.5448,,,,,,,very_low_n_lt_10
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,expensive_yes,team,56-65c,ALL,YES,BAL,,,,4,4,25.0,59.75,-34.75,-139.0,59.75,3.76,0.7,0.1017,,,,,,,very_low_n_lt_10
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,expensive_yes,team,56-65c,ALL,YES,BOS,,,,5,5,100.0,60.4,39.6,198.0,60.4,3.0,1.0,0.1586,,,,,,,very_low_n_lt_10
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,expensive_yes,team,56-65c,ALL,YES,CHC,,,,6,6,66.67,59.0,7.67,46.0,59.0,4.09,0.9,0.094,,,,,,,very_low_n_lt_10
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,expensive_yes,team,56-65c,ALL,YES,CIN,,,,5,5,60.0,60.6,-0.6,-3.0,60.6,6.58,0.8,0.0397,,,,,,,very_low_n_lt_10
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,expensive_yes,team,56-65c,ALL,YES,CLE,,,,9,9,55.56,60.78,-5.22,-47.0,60.78,4.98,0.4,0.1109,,,,,,,very_low_n_lt_10
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,expensive_yes,team,56-65c,ALL,YES,COL,,,,2,2,100.0,62.0,38.0,76.0,62.0,4.43,2.0,,,,,,,,very_low_n_lt_10
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,expensive_yes,team,56-65c,ALL,YES,CWS,,,,7,7,57.14,60.14,-3.0,-21.0,60.14,4.63,0.8,0.2262,,,,,,,very_low_n_lt_10
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,expensive_yes,team,56-65c,ALL,YES,DET,,,,11,11,18.18,60.73,-42.55,-468.0,60.73,3.75,1.1,0.2304,,,,,,,low_n_lt_25
