market_ticker,game_id,market_type,line_value,selected_team,market_status,is_priority_type,total_snapshots,first_snap_today,last_snap_at,age_minutes,yes_bid,yes_ask,spread_cents,coverage_label
KXMLBF5SPREAD-26JUN251210KCTB-KC2,KC@TB,f5_spread,,,open,False,21,2026-06-25T16:14:34.283651+00:00,2026-06-25T16:24:34.383769+00:00,0.2,7,15,8,fresh
KXMLBF5SPREAD-26JUN251210KCTB-KC3,KC@TB,f5_spread,,,open,False,21,2026-06-25T16:14:34.283651+00:00,2026-06-25T16:24:34.383769+00:00,0.2,5,11,6,fresh
KXMLBF5SPREAD-26JUN251210KCTB-TB2,KC@TB,f5_spread,,,open,False,21,2026-06-25T16:14:34.283651+00:00,2026-06-25T16:24:34.383769+00:00,0.2,60,63,3,fresh
KXMLBF5SPREAD-26JUN251210KCTB-TB3,KC@TB,f5_spread,,,open,False,21,2026-06-25T16:14:34.283651+00:00,2026-06-25T16:24:34.383769+00:00,0.2,42,45,3,fresh
KXMLBF5SPREAD-26JUN251235SEAPIT-PIT2,SEA@PIT,f5_spread,2.0,,open,False,21,2026-06-25T16:14:34.283651+00:00,2026-06-25T16:24:34.383769+00:00,0.2,23,24,1,fresh
KXMLBF5SPREAD-26JUN251235SEAPIT-PIT3,SEA@PIT,f5_spread,3.0,,open,False,21,2026-06-25T16:14:34.283651+00:00,2026-06-25T16:24:34.383769+00:00,0.2,13,14,1,fresh
KXMLBF5SPREAD-26JUN251235SEAPIT-SEA2,SEA@PIT,f5_spread,,,open,False,21,2026-06-25T16:14:34.283651+00:00,2026-06-25T16:24:34.383769+00:00,0.2,35,36,1,fresh
KXMLBF5SPREAD-26JUN251235SEAPIT-SEA3,SEA@PIT,f5_spread,,,open,False,21,2026-06-25T16:14:34.283651+00:00,2026-06-25T16:24:34.383769+00:00,0.2,23,25,2,fresh
KXMLBF5SPREAD-26JUN251545ATHSF-ATH2,ATH@SF,f5_spread,,,open,False,21,2026-06-25T16:14:34.283651+00:00,2026-06-25T16:24:34.383769+00:00,0.2,25,26,1,fresh
KXMLBF5SPREAD-26JUN251545ATHSF-ATH3,ATH@SF,f5_spread,,,open,False,21,2026-06-25T16:14:34.283651+00:00,2026-06-25T16:24:34.383769+00:00,0.2,14,15,1,fresh
KXMLBF5SPREAD-26JUN251545ATHSF-SF2,ATH@SF,f5_spread,,,open,False,21,2026-06-25T16:14:34.283651+00:00,2026-06-25T16:24:34.383769+00:00,0.2,32,34,2,fresh
KXMLBF5SPREAD-26JUN251545ATHSF-SF3,ATH@SF,f5_spread,,,open,False,21,2026-06-25T16:14:34.283651+00:00,2026-06-25T16:24:34.383769+00:00,0.2,21,23,2,fresh
KXMLBF5SPREAD-26JUN251840HOUDET-DET2,HOU@DET,f5_spread,2.0,,open,False,21,2026-06-25T16:14:34.283651+00:00,2026-06-25T16:24:34.383769+00:00,0.2,31,32,1,fresh
KXMLBF5SPREAD-26JUN251840HOUDET-DET3,HOU@DET,f5_spread,3.0,,open,False,21,2026-06-25T16:14:34.283651+00:00,2026-06-25T16:24:34.383769+00:00,0.2,20,22,2,fresh
KXMLBF5SPREAD-26JUN251840HOUDET-HOU2,HOU@DET,f5_spread,,,open,False,21,2026-06-25T16:14:34.283651+00:00,2026-06-25T16:24:34.383769+00:00,0.2,29,30,1,fresh
KXMLBF5SPREAD-26JUN251840HOUDET-HOU3,HOU@DET,f5_spread,,,open,False,21,2026-06-25T16:14:34.283651+00:00,2026-06-25T16:24:34.383769+00:00,0.2,17,19,2,fresh
KXMLBF5SPREAD-26JUN251845PHIWSH-PHI2,PHI@WSH,f5_spread,,,open,False,21,2026-06-25T16:14:34.283651+00:00,2026-06-25T16:24:34.383769+00:00,0.2,36,38,2,fresh
KXMLBF5SPREAD-26JUN251845PHIWSH-PHI3,PHI@WSH,f5_spread,,,open,False,21,2026-06-25T16:14:34.283651+00:00,2026-06-25T16:24:34.383769+00:00,0.2,24,26,2,fresh
KXMLBF5SPREAD-26JUN251845PHIWSH-WSH2,PHI@WSH,f5_spread,,,open,False,21,2026-06-25T16:14:34.283651+00:00,2026-06-25T16:24:34.383769+00:00,0.2,20,22,2,fresh
KXMLBF5SPREAD-26JUN251845PHIWSH-WSH3,PHI@WSH,f5_spread,,,open,False,21,2026-06-25T16:14:34.283651+00:00,2026-06-25T16:24:34.383769+00:00,0.2,11,13,2,fresh
KXMLBF5SPREAD-26JUN251907TEXTOR-TEX2,TEX@TOR,f5_spread,,,open,False,21,2026-06-25T16:14:34.283651+00:00,2026-06-25T16:24:34.383769+00:00,0.2,23,24,1,fresh
KXMLBF5SPREAD-26JUN251907TEXTOR-TEX3,TEX@TOR,f5_spread,,,open,False,21,2026-06-25T16:14:34.283651+00:00,2026-06-25T16:24:34.383769+00:00,0.2,13,15,2,fresh
KXMLBF5SPREAD-26JUN251907TEXTOR-TOR2,TEX@TOR,f5_spread,,,open,False,21,2026-06-25T16:14:34.283651+00:00,2026-06-25T16:24:34.383769+00:00,0.2,33,35,2,fresh
KXMLBF5SPREAD-26JUN251907TEXTOR-TOR3,TEX@TOR,f5_spread,,,open,False,21,2026-06-25T16:14:34.283651+00:00,2026-06-25T16:24:34.383769+00:00,0.2,22,23,1,fresh
KXMLBF5SPREAD-26JUN251910CHCNYM-CHC2,CHC@NYM,f5_spread,,,open,False,21,2026-06-25T16:14:34.283651+00:00,2026-06-25T16:24:34.383769+00:00,0.2,29,31,2,fresh
KXMLBF5SPREAD-26JUN251910CHCNYM-CHC3,CHC@NYM,f5_spread,,,open,False,21,2026-06-25T16:14:34.283651+00:00,2026-06-25T16:24:34.383769+00:00,0.2,18,20,2,fresh
KXMLBF5SPREAD-26JUN251910CHCNYM-NYM2,CHC@NYM,f5_spread,,,open,False,21,2026-06-25T16:14:34.283651+00:00,2026-06-25T16:24:34.383769+00:00,0.2,28,30,2,fresh
KXMLBF5SPREAD-26JUN251910CHCNYM-NYM3,CHC@NYM,f5_spread,,,open,False,21,2026-06-25T16:14:34.283651+00:00,2026-06-25T16:24:34.383769+00:00,0.2,18,19,1,fresh
KXMLBF5SPREAD-26JUN251910NYYBOS-BOS2,NYY@BOS,f5_spread,,,open,False,21,2026-06-25T16:14:34.283651+00:00,2026-06-25T16:24:34.383769+00:00,0.2,21,22,1,fresh
KXMLBF5SPREAD-26JUN251910NYYBOS-BOS3,NYY@BOS,f5_spread,,,open,False,21,2026-06-25T16:14:34.283651+00:00,2026-06-25T16:24:34.383769+00:00,0.2,11,13,2,fresh
KXMLBF5SPREAD-26JUN251910NYYBOS-NYY2,NYY@BOS,f5_spread,,,open,False,21,2026-06-25T16:14:34.283651+00:00,2026-06-25T16:24:34.383769+00:00,0.2,34,35,1,fresh
KXMLBF5SPREAD-26JUN251910NYYBOS-NYY3,NYY@BOS,f5_spread,,,open,False,21,2026-06-25T16:14:34.283651+00:00,2026-06-25T16:24:34.383769+00:00,0.2,21,23,2,fresh
KXMLBF5SPREAD-26JUN251945AZSTL-AZ2,AZ@STL,f5_spread,,,open,False,21,2026-06-25T16:14:34.283651+00:00,2026-06-25T16:24:34.383769+00:00,0.2,27,28,1,fresh
KXMLBF5SPREAD-26JUN251945AZSTL-AZ3,AZ@STL,f5_spread,,,open,False,21,2026-06-25T16:14:34.283651+00:00,2026-06-25T16:24:34.383769+00:00,0.2,16,18,2,fresh
KXMLBF5SPREAD-26JUN251945AZSTL-STL2,AZ@STL,f5_spread,,,open,False,21,2026-06-25T16:14:34.283651+00:00,2026-06-25T16:24:34.383769+00:00,0.2,33,35,2,fresh
KXMLBF5SPREAD-26JUN251945AZSTL-STL3,AZ@STL,f5_spread,,,open,False,21,2026-06-25T16:14:34.283651+00:00,2026-06-25T16:24:34.383769+00:00,0.2,23,24,1,fresh
KXMLBF5TOTAL-26JUN251210KCTB-1,KC@TB,f5_total,1.0,,open,True,21,2026-06-25T16:14:34.283651+00:00,2026-06-25T16:24:34.383769+00:00,0.2,99,95,-4,fresh
KXMLBF5TOTAL-26JUN251210KCTB-2,KC@TB,f5_total,2.0,,open,True,21,2026-06-25T16:14:34.283651+00:00,2026-06-25T16:24:34.383769+00:00,0.2,99,84,-15,fresh
KXMLBF5TOTAL-26JUN251210KCTB-3,KC@TB,f5_total,3.0,,open,True,21,2026-06-25T16:14:34.283651+00:00,2026-06-25T16:24:34.383769+00:00,0.2,90,94,4,fresh
KXMLBF5TOTAL-26JUN251210KCTB-4,KC@TB,f5_total,4.0,,open,True,21,2026-06-25T16:14:34.283651+00:00,2026-06-25T16:24:34.383769+00:00,0.2,78,80,2,fresh
KXMLBF5TOTAL-26JUN251210KCTB-5,KC@TB,f5_total,5.0,,open,True,21,2026-06-25T16:14:34.283651+00:00,2026-06-25T16:24:34.383769+00:00,0.2,62,65,3,fresh
KXMLBF5TOTAL-26JUN251210KCTB-6,KC@TB,f5_total,6.0,,open,True,21,2026-06-25T16:14:34.283651+00:00,2026-06-25T16:24:34.383769+00:00,0.2,47,50,3,fresh
KXMLBF5TOTAL-26JUN251210KCTB-7,KC@TB,f5_total,7.0,,open,True,21,2026-06-25T16:14:34.283651+00:00,2026-06-25T16:24:34.383769+00:00,0.2,34,38,4,fresh
KXMLBF5TOTAL-26JUN251235SEAPIT-1,SEA@PIT,f5_total,1.0,,open,True,21,2026-06-25T16:14:34.283651+00:00,2026-06-25T16:24:34.383769+00:00,0.2,92,96,4,fresh
KXMLBF5TOTAL-26JUN251235SEAPIT-2,SEA@PIT,f5_total,2.0,,open,True,21,2026-06-25T16:14:34.283651+00:00,2026-06-25T16:24:34.383769+00:00,0.2,85,88,3,fresh
KXMLBF5TOTAL-26JUN251235SEAPIT-3,SEA@PIT,f5_total,3.0,,open,True,21,2026-06-25T16:14:34.283651+00:00,2026-06-25T16:24:34.383769+00:00,0.2,73,76,3,fresh
KXMLBF5TOTAL-26JUN251235SEAPIT-4,SEA@PIT,f5_total,4.0,,open,True,21,2026-06-25T16:14:34.283651+00:00,2026-06-25T16:24:34.383769+00:00,0.2,58,59,1,fresh
KXMLBF5TOTAL-26JUN251235SEAPIT-5,SEA@PIT,f5_total,5.0,,open,True,21,2026-06-25T16:14:34.283651+00:00,2026-06-25T16:24:34.383769+00:00,0.2,45,46,1,fresh
KXMLBF5TOTAL-26JUN251235SEAPIT-6,SEA@PIT,f5_total,6.0,,open,True,21,2026-06-25T16:14:34.283651+00:00,2026-06-25T16:24:34.383769+00:00,0.2,33,35,2,fresh
KXMLBF5TOTAL-26JUN251235SEAPIT-7,SEA@PIT,f5_total,7.0,,open,True,21,2026-06-25T16:14:34.283651+00:00,2026-06-25T16:24:34.383769+00:00,0.2,24,25,1,fresh
KXMLBF5TOTAL-26JUN251545ATHSF-1,ATH@SF,f5_total,1.0,,open,True,21,2026-06-25T16:14:34.283651+00:00,2026-06-25T16:24:34.383769+00:00,0.2,93,98,5,fresh
KXMLBF5TOTAL-26JUN251545ATHSF-2,ATH@SF,f5_total,2.0,,open,True,21,2026-06-25T16:14:34.283651+00:00,2026-06-25T16:24:34.383769+00:00,0.2,83,90,7,fresh
KXMLBF5TOTAL-26JUN251545ATHSF-3,ATH@SF,f5_total,3.0,,open,True,21,2026-06-25T16:14:34.283651+00:00,2026-06-25T16:24:34.383769+00:00,0.2,75,76,1,fresh
KXMLBF5TOTAL-26JUN251545ATHSF-4,ATH@SF,f5_total,4.0,,open,True,21,2026-06-25T16:14:34.283651+00:00,2026-06-25T16:24:34.383769+00:00,0.2,61,62,1,fresh
KXMLBF5TOTAL-26JUN251545ATHSF-5,ATH@SF,f5_total,5.0,,open,True,21,2026-06-25T16:14:34.283651+00:00,2026-06-25T16:24:34.383769+00:00,0.2,47,48,1,fresh
KXMLBF5TOTAL-26JUN251545ATHSF-6,ATH@SF,f5_total,6.0,,open,True,21,2026-06-25T16:14:34.283651+00:00,2026-06-25T16:24:34.383769+00:00,0.2,35,37,2,fresh
KXMLBF5TOTAL-26JUN251545ATHSF-7,ATH@SF,f5_total,7.0,,open,True,21,2026-06-25T16:14:34.283651+00:00,2026-06-25T16:24:34.383769+00:00,0.2,25,26,1,fresh
KXMLBF5TOTAL-26JUN251840HOUDET-1,HOU@DET,f5_total,1.0,,open,True,21,2026-06-25T16:14:34.283651+00:00,2026-06-25T16:24:34.383769+00:00,0.2,97,98,1,fresh
KXMLBF5TOTAL-26JUN251840HOUDET-2,HOU@DET,f5_total,2.0,,open,True,21,2026-06-25T16:14:34.283651+00:00,2026-06-25T16:24:34.383769+00:00,0.2,87,92,5,fresh
KXMLBF5TOTAL-26JUN251840HOUDET-3,HOU@DET,f5_total,3.0,,open,True,21,2026-06-25T16:14:34.283651+00:00,2026-06-25T16:24:34.383769+00:00,0.2,80,81,1,fresh
KXMLBF5TOTAL-26JUN251840HOUDET-4,HOU@DET,f5_total,4.0,,open,True,21,2026-06-25T16:14:34.283651+00:00,2026-06-25T16:24:34.383769+00:00,0.2,67,68,1,fresh
KXMLBF5TOTAL-26JUN251840HOUDET-5,HOU@DET,f5_total,5.0,,open,True,21,2026-06-25T16:14:34.283651+00:00,2026-06-25T16:24:34.383769+00:00,0.2,54,55,1,fresh
KXMLBF5TOTAL-26JUN251840HOUDET-6,HOU@DET,f5_total,6.0,,open,True,21,2026-06-25T16:14:34.283651+00:00,2026-06-25T16:24:34.383769+00:00,0.2,41,43,2,fresh
KXMLBF5TOTAL-26JUN251840HOUDET-7,HOU@DET,f5_total,7.0,,open,True,21,2026-06-25T16:14:34.283651+00:00,2026-06-25T16:24:34.383769+00:00,0.2,30,31,1,fresh
KXMLBF5TOTAL-26JUN251845PHIWSH-1,PHI@WSH,f5_total,1.0,,open,True,21,2026-06-25T16:14:34.283651+00:00,2026-06-25T16:24:34.383769+00:00,0.2,97,98,1,fresh
