game_date,game_id,away_abbr,home_abbr,game_start_utc,market_ticker,market_type,selected_team_abbr,line_value,coverage_label,total_snapshots,pre_game_snapshots,latest_pre_snap,min_spread_overall,empty_book_fraction
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBF5SPREAD-26JUN211610BALLAD-LAD3,f5_spread,,,stale_only,1549,1072,2026-06-21T20:09:48.875935+00:00,98,1.0
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBF5SPREAD-26JUN211610BALLAD-BAL2,f5_spread,,,stale_only,1549,1072,2026-06-21T20:09:48.875935+00:00,98,1.0
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBF5SPREAD-26JUN211610BALLAD-BAL3,f5_spread,,,stale_only,1549,1072,2026-06-21T20:09:48.875935+00:00,98,1.0
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBF5SPREAD-26JUN211610BALLAD-LAD2,f5_spread,,,stale_only,1549,1072,2026-06-21T20:09:48.875935+00:00,98,1.0
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBF5TOTAL-26JUN211610BALLAD-7,f5_total,,7.0,stale_only,1549,1072,2026-06-21T20:09:48.875935+00:00,98,1.0
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBF5TOTAL-26JUN211610BALLAD-3,f5_total,,3.0,stale_only,1549,1072,2026-06-21T20:09:48.875935+00:00,98,1.0
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBF5TOTAL-26JUN211610BALLAD-5,f5_total,,5.0,stale_only,1549,1072,2026-06-21T20:09:48.875935+00:00,98,1.0
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBF5TOTAL-26JUN211610BALLAD-4,f5_total,,4.0,stale_only,1549,1072,2026-06-21T20:09:48.875935+00:00,98,1.0
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBF5TOTAL-26JUN211610BALLAD-2,f5_total,,2.0,stale_only,1549,1072,2026-06-21T20:09:48.875935+00:00,98,1.0
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBF5TOTAL-26JUN211610BALLAD-6,f5_total,,6.0,stale_only,1549,1072,2026-06-21T20:09:48.875935+00:00,98,1.0
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBF5TOTAL-26JUN211610BALLAD-1,f5_total,,1.0,stale_only,1549,1072,2026-06-21T20:09:48.875935+00:00,98,1.0
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBF5-26JUN211610BALLAD-TIE,f5_winner,,,no_snapshots,0,0,,,
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBF5-26JUN211610BALLAD-LAD,f5_winner,,,no_snapshots,0,0,,,
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBF5-26JUN211610BALLAD-BAL,f5_winner,,,no_snapshots,0,0,,,
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBTOTAL-26JUN211610BALLAD-11,full_game_total,,11.0,stale_only,1549,1072,2026-06-21T20:09:48.875935+00:00,98,1.0
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBTOTAL-26JUN211610BALLAD-10,full_game_total,,10.0,stale_only,1549,1072,2026-06-21T20:09:48.875935+00:00,98,1.0
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBTOTAL-26JUN211610BALLAD-7,full_game_total,,7.0,stale_only,1549,1072,2026-06-21T20:09:48.875935+00:00,98,1.0
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBTOTAL-26JUN211610BALLAD-6,full_game_total,,6.0,stale_only,1549,1072,2026-06-21T20:09:48.875935+00:00,98,1.0
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBTOTAL-26JUN211610BALLAD-4,full_game_total,,4.0,stale_only,1549,1072,2026-06-21T20:09:48.875935+00:00,98,1.0
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBTOTAL-26JUN211610BALLAD-9,full_game_total,,9.0,stale_only,1549,1072,2026-06-21T20:09:48.875935+00:00,98,1.0
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBTOTAL-26JUN211610BALLAD-13,full_game_total,,13.0,stale_only,1549,1072,2026-06-21T20:09:48.875935+00:00,98,1.0
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBTOTAL-26JUN211610BALLAD-8,full_game_total,,8.0,stale_only,1549,1072,2026-06-21T20:09:48.875935+00:00,98,1.0
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBTOTAL-26JUN211610BALLAD-14,full_game_total,,14.0,stale_only,1549,1072,2026-06-21T20:09:48.875935+00:00,98,1.0
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBTOTAL-26JUN211610BALLAD-5,full_game_total,,5.0,stale_only,1549,1072,2026-06-21T20:09:48.875935+00:00,98,1.0
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBTOTAL-26JUN211610BALLAD-12,full_game_total,,12.0,stale_only,1549,1072,2026-06-21T20:09:48.875935+00:00,98,1.0
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBGAME-26JUN211610BALLAD-BAL,moneyline,BAL,,stale_only,1549,1072,2026-06-21T20:09:48.875935+00:00,98,1.0
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBGAME-26JUN211610BALLAD-LAD,moneyline,LAD,,stale_only,1549,1072,2026-06-21T20:09:48.875935+00:00,98,1.0
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBHR-26JUN211610BALLAD-BALGHENDERSON2-1,player_hr,,1.0,no_snapshots,0,0,,,
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBHR-26JUN211610BALLAD-LADFFREEMAN5-2,player_hr,,2.0,no_snapshots,0,0,,,
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBHR-26JUN211610BALLAD-LADKTUCKER23-2,player_hr,,2.0,no_snapshots,0,0,,,
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBHR-26JUN211610BALLAD-LADMBETTS50-2,player_hr,,2.0,no_snapshots,0,0,,,
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBHR-26JUN211610BALLAD-BALPALONSO25-2,player_hr,,2.0,no_snapshots,0,0,,,
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBHR-26JUN211610BALLAD-LADMBETTS50-1,player_hr,,1.0,no_snapshots,0,0,,,
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBHR-26JUN211610BALLAD-LADSOHTANI17-3,player_hr,,3.0,no_snapshots,0,0,,,
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBHR-26JUN211610BALLAD-LADFFREEMAN5-1,player_hr,,1.0,no_snapshots,0,0,,,
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBHR-26JUN211610BALLAD-BALGHENDERSON2-2,player_hr,,2.0,no_snapshots,0,0,,,
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBHR-26JUN211610BALLAD-LADSOHTANI17-1,player_hr,,1.0,no_snapshots,0,0,,,
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBHR-26JUN211610BALLAD-BALPALONSO25-1,player_hr,,1.0,no_snapshots,0,0,,,
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBHR-26JUN211610BALLAD-LADSOHTANI17-2,player_hr,,2.0,no_snapshots,0,0,,,
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBHR-26JUN211610BALLAD-LADKTUCKER23-1,player_hr,,1.0,no_snapshots,0,0,,,
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBSPREAD-26JUN211610BALLAD-LAD4,spread_run_line,,,stale_only,1549,1072,2026-06-21T20:09:48.875935+00:00,98,1.0
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBSPREAD-26JUN211610BALLAD-BAL3,spread_run_line,,,stale_only,1549,1072,2026-06-21T20:09:48.875935+00:00,98,1.0
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBSPREAD-26JUN211610BALLAD-LAD3,spread_run_line,,,stale_only,1549,1072,2026-06-21T20:09:48.875935+00:00,98,1.0
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBSPREAD-26JUN211610BALLAD-LAD2,spread_run_line,,,stale_only,1549,1072,2026-06-21T20:09:48.875935+00:00,98,1.0
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBSPREAD-26JUN211610BALLAD-BAL4,spread_run_line,,,stale_only,1549,1072,2026-06-21T20:09:48.875935+00:00,98,1.0
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBSPREAD-26JUN211610BALLAD-BAL2,spread_run_line,,,stale_only,1549,1072,2026-06-21T20:09:48.875935+00:00,98,1.0
2026-06-21,BOS@SEA,BOS,SEA,2026-06-21T20:10,KXMLBF5SPREAD-26JUN211610BOSSEA-BOS2,f5_spread,,,stale_only,1549,1072,2026-06-21T20:09:48.875935+00:00,98,1.0
2026-06-21,BOS@SEA,BOS,SEA,2026-06-21T20:10,KXMLBF5SPREAD-26JUN211610BOSSEA-SEA2,f5_spread,,,stale_only,1549,1072,2026-06-21T20:09:48.875935+00:00,98,1.0
2026-06-21,BOS@SEA,BOS,SEA,2026-06-21T20:10,KXMLBF5SPREAD-26JUN211610BOSSEA-BOS3,f5_spread,,,stale_only,1549,1072,2026-06-21T20:09:48.875935+00:00,98,1.0
2026-06-21,BOS@SEA,BOS,SEA,2026-06-21T20:10,KXMLBF5SPREAD-26JUN211610BOSSEA-SEA3,f5_spread,,,stale_only,1549,1072,2026-06-21T20:09:48.875935+00:00,98,1.0
2026-06-21,BOS@SEA,BOS,SEA,2026-06-21T20:10,KXMLBF5TOTAL-26JUN211610BOSSEA-6,f5_total,,6.0,stale_only,1549,1072,2026-06-21T20:09:48.875935+00:00,98,1.0
2026-06-21,BOS@SEA,BOS,SEA,2026-06-21T20:10,KXMLBF5TOTAL-26JUN211610BOSSEA-3,f5_total,,3.0,stale_only,1549,1072,2026-06-21T20:09:48.875935+00:00,98,1.0
2026-06-21,BOS@SEA,BOS,SEA,2026-06-21T20:10,KXMLBF5TOTAL-26JUN211610BOSSEA-5,f5_total,,5.0,stale_only,1549,1072,2026-06-21T20:09:48.875935+00:00,98,1.0
2026-06-21,BOS@SEA,BOS,SEA,2026-06-21T20:10,KXMLBF5TOTAL-26JUN211610BOSSEA-2,f5_total,,2.0,stale_only,1549,1072,2026-06-21T20:09:48.875935+00:00,98,1.0
2026-06-21,BOS@SEA,BOS,SEA,2026-06-21T20:10,KXMLBF5TOTAL-26JUN211610BOSSEA-1,f5_total,,1.0,stale_only,1549,1072,2026-06-21T20:09:48.875935+00:00,98,1.0
2026-06-21,BOS@SEA,BOS,SEA,2026-06-21T20:10,KXMLBF5TOTAL-26JUN211610BOSSEA-4,f5_total,,4.0,stale_only,1549,1072,2026-06-21T20:09:48.875935+00:00,98,1.0
2026-06-21,BOS@SEA,BOS,SEA,2026-06-21T20:10,KXMLBF5TOTAL-26JUN211610BOSSEA-7,f5_total,,7.0,stale_only,1549,1072,2026-06-21T20:09:48.875935+00:00,98,1.0
2026-06-21,BOS@SEA,BOS,SEA,2026-06-21T20:10,KXMLBF5-26JUN211610BOSSEA-TIE,f5_winner,,,no_snapshots,0,0,,,
2026-06-21,BOS@SEA,BOS,SEA,2026-06-21T20:10,KXMLBF5-26JUN211610BOSSEA-BOS,f5_winner,,,no_snapshots,0,0,,,
2026-06-21,BOS@SEA,BOS,SEA,2026-06-21T20:10,KXMLBF5-26JUN211610BOSSEA-SEA,f5_winner,,,no_snapshots,0,0,,,
2026-06-21,BOS@SEA,BOS,SEA,2026-06-21T20:10,KXMLBTOTAL-26JUN211610BOSSEA-5,full_game_total,,5.0,stale_only,1549,1072,2026-06-21T20:09:48.875935+00:00,98,1.0
2026-06-21,BOS@SEA,BOS,SEA,2026-06-21T20:10,KXMLBTOTAL-26JUN211610BOSSEA-7,full_game_total,,7.0,stale_only,1549,1072,2026-06-21T20:09:48.875935+00:00,98,1.0
2026-06-21,BOS@SEA,BOS,SEA,2026-06-21T20:10,KXMLBTOTAL-26JUN211610BOSSEA-4,full_game_total,,4.0,stale_only,1549,1072,2026-06-21T20:09:48.875935+00:00,98,1.0
2026-06-21,BOS@SEA,BOS,SEA,2026-06-21T20:10,KXMLBTOTAL-26JUN211610BOSSEA-9,full_game_total,,9.0,stale_only,1549,1072,2026-06-21T20:09:48.875935+00:00,98,1.0
2026-06-21,BOS@SEA,BOS,SEA,2026-06-21T20:10,KXMLBTOTAL-26JUN211610BOSSEA-10,full_game_total,,10.0,stale_only,1549,1072,2026-06-21T20:09:48.875935+00:00,98,1.0
2026-06-21,BOS@SEA,BOS,SEA,2026-06-21T20:10,KXMLBTOTAL-26JUN211610BOSSEA-6,full_game_total,,6.0,stale_only,1549,1072,2026-06-21T20:09:48.875935+00:00,98,1.0
2026-06-21,BOS@SEA,BOS,SEA,2026-06-21T20:10,KXMLBTOTAL-26JUN211610BOSSEA-3,full_game_total,,3.0,stale_only,1549,1072,2026-06-21T20:09:48.875935+00:00,98,1.0
2026-06-21,BOS@SEA,BOS,SEA,2026-06-21T20:10,KXMLBTOTAL-26JUN211610BOSSEA-11,full_game_total,,11.0,stale_only,1549,1072,2026-06-21T20:09:48.875935+00:00,98,1.0
2026-06-21,BOS@SEA,BOS,SEA,2026-06-21T20:10,KXMLBTOTAL-26JUN211610BOSSEA-2,full_game_total,,2.0,stale_only,1549,1072,2026-06-21T20:09:48.875935+00:00,98,1.0
2026-06-21,BOS@SEA,BOS,SEA,2026-06-21T20:10,KXMLBTOTAL-26JUN211610BOSSEA-8,full_game_total,,8.0,stale_only,1549,1072,2026-06-21T20:09:48.875935+00:00,98,1.0
2026-06-21,BOS@SEA,BOS,SEA,2026-06-21T20:10,KXMLBGAME-26JUN211610BOSSEA-SEA,moneyline,SEA,,stale_only,1549,1072,2026-06-21T20:09:48.875935+00:00,98,1.0
2026-06-21,BOS@SEA,BOS,SEA,2026-06-21T20:10,KXMLBGAME-26JUN211610BOSSEA-BOS,moneyline,BOS,,stale_only,1549,1072,2026-06-21T20:09:48.875935+00:00,98,1.0
2026-06-21,BOS@SEA,BOS,SEA,2026-06-21T20:10,KXMLBHR-26JUN211610BOSSEA-SEAJRODRGUEZ44-2,player_hr,,2.0,no_snapshots,0,0,,,
2026-06-21,BOS@SEA,BOS,SEA,2026-06-21T20:10,KXMLBHR-26JUN211610BOSSEA-SEACRALEIGH29-2,player_hr,,2.0,no_snapshots,0,0,,,
2026-06-21,BOS@SEA,BOS,SEA,2026-06-21T20:10,KXMLBHR-26JUN211610BOSSEA-SEACRALEIGH29-1,player_hr,,1.0,no_snapshots,0,0,,,
2026-06-21,BOS@SEA,BOS,SEA,2026-06-21T20:10,KXMLBHR-26JUN211610BOSSEA-SEAJRODRGUEZ44-1,player_hr,,1.0,no_snapshots,0,0,,,
2026-06-21,BOS@SEA,BOS,SEA,2026-06-21T20:10,KXMLBSPREAD-26JUN211610BOSSEA-SEA3,spread_run_line,,,stale_only,1549,1072,2026-06-21T20:09:48.875935+00:00,98,1.0
2026-06-21,BOS@SEA,BOS,SEA,2026-06-21T20:10,KXMLBSPREAD-26JUN211610BOSSEA-SEA4,spread_run_line,,,stale_only,1549,1072,2026-06-21T20:09:48.875935+00:00,98,1.0
2026-06-21,BOS@SEA,BOS,SEA,2026-06-21T20:10,KXMLBSPREAD-26JUN211610BOSSEA-BOS2,spread_run_line,,,stale_only,1549,1072,2026-06-21T20:09:48.875935+00:00,98,1.0
2026-06-21,BOS@SEA,BOS,SEA,2026-06-21T20:10,KXMLBSPREAD-26JUN211610BOSSEA-BOS3,spread_run_line,,,stale_only,1549,1072,2026-06-21T20:09:48.875935+00:00,98,1.0
2026-06-21,BOS@SEA,BOS,SEA,2026-06-21T20:10,KXMLBSPREAD-26JUN211610BOSSEA-SEA2,spread_run_line,,,stale_only,1549,1072,2026-06-21T20:09:48.875935+00:00,98,1.0
