game_date,game_id,away_abbr,home_abbr,game_start_utc,market_ticker,market_type,selected_team_abbr,line_value,is_semantics_clear,coverage_label,total_snapshots,pre_game_snapshots,post_game_snapshots,snapshots_6h_3h,snapshots_3h_90m,snapshots_90m_30m,snapshots_30m_start,latest_pre_snap,earliest_snap,latest_snap,min_spread_overall,min_spread_6h_3h,min_spread_3h_90m,min_spread_90m_30m,min_spread_30m_start,avg_spread_6h_3h,avg_spread_3h_90m,avg_spread_90m_30m,median_spread_6h_3h,median_spread_3h_90m,median_spread_90m_30m,empty_book_pre_count,empty_book_fraction,first_narrow_snap,last_narrow_snap,has_depth_json,depth_nonempty_count
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBF5SPREAD-26JUN211610BALLAD-BAL2,f5_spread,,,0,stale_only,1549,1072,477,352,360,240,120,2026-06-21T20:09:48.875935+00:00,2026-06-21T15:38:18.719003+00:00,2026-06-21T22:09:01.405417+00:00,98,98,98,98,98,98,98,98,98.0,98.0,98.0,1072,1.0,,,True,1072
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBF5SPREAD-26JUN211610BALLAD-BAL3,f5_spread,,,0,stale_only,1549,1072,477,352,360,240,120,2026-06-21T20:09:48.875935+00:00,2026-06-21T15:38:18.719003+00:00,2026-06-21T22:09:01.405417+00:00,98,98,98,98,98,98,98,98,98.0,98.0,98.0,1072,1.0,,,True,1072
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBF5SPREAD-26JUN211610BALLAD-LAD2,f5_spread,,,0,stale_only,1549,1072,477,352,360,240,120,2026-06-21T20:09:48.875935+00:00,2026-06-21T15:38:18.719003+00:00,2026-06-21T22:09:01.405417+00:00,98,98,98,98,98,98,98,98,98.0,98.0,98.0,1072,1.0,,,True,1072
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBF5SPREAD-26JUN211610BALLAD-LAD3,f5_spread,,,0,stale_only,1549,1072,477,352,360,240,120,2026-06-21T20:09:48.875935+00:00,2026-06-21T15:38:18.719003+00:00,2026-06-21T22:09:01.405417+00:00,98,98,98,98,98,98,98,98,98.0,98.0,98.0,1072,1.0,,,True,1072
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBF5TOTAL-26JUN211610BALLAD-1,f5_total,,1.0,1,stale_only,1549,1072,477,352,360,240,120,2026-06-21T20:09:48.875935+00:00,2026-06-21T15:38:18.719003+00:00,2026-06-21T22:09:01.405417+00:00,98,98,98,98,98,98,98,98,98.0,98.0,98.0,1072,1.0,,,True,1072
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBF5TOTAL-26JUN211610BALLAD-2,f5_total,,2.0,1,stale_only,1549,1072,477,352,360,240,120,2026-06-21T20:09:48.875935+00:00,2026-06-21T15:38:18.719003+00:00,2026-06-21T22:09:01.405417+00:00,98,98,98,98,98,98,98,98,98.0,98.0,98.0,1072,1.0,,,True,1072
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBF5TOTAL-26JUN211610BALLAD-3,f5_total,,3.0,1,stale_only,1549,1072,477,352,360,240,120,2026-06-21T20:09:48.875935+00:00,2026-06-21T15:38:18.719003+00:00,2026-06-21T22:09:01.405417+00:00,98,98,98,98,98,98,98,98,98.0,98.0,98.0,1072,1.0,,,True,1072
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBF5TOTAL-26JUN211610BALLAD-4,f5_total,,4.0,1,stale_only,1549,1072,477,352,360,240,120,2026-06-21T20:09:48.875935+00:00,2026-06-21T15:38:18.719003+00:00,2026-06-21T22:09:01.405417+00:00,98,98,98,98,98,98,98,98,98.0,98.0,98.0,1072,1.0,,,True,1072
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBF5TOTAL-26JUN211610BALLAD-5,f5_total,,5.0,1,stale_only,1549,1072,477,352,360,240,120,2026-06-21T20:09:48.875935+00:00,2026-06-21T15:38:18.719003+00:00,2026-06-21T22:09:01.405417+00:00,98,98,98,98,98,98,98,98,98.0,98.0,98.0,1072,1.0,,,True,1072
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBF5TOTAL-26JUN211610BALLAD-6,f5_total,,6.0,1,stale_only,1549,1072,477,352,360,240,120,2026-06-21T20:09:48.875935+00:00,2026-06-21T15:38:18.719003+00:00,2026-06-21T22:09:01.405417+00:00,98,98,98,98,98,98,98,98,98.0,98.0,98.0,1072,1.0,,,True,1072
