candidate_id,candidate_type,derivative_type,game,market_ticker,status,blocked_reason,first_seen_at,created_at,decision_time,settlement_horizon,inning,half_inning,outs,runners_state,spread_cents,baseline_source,opening_price_cents,price_delta_from_open_cents,market_mismatch_score,baseball_support_score,execution_quality_score,risk_blocker_score,overall_watch_score,snap_yes_bid,snap_yes_ask,snap_mid_cents,snap_spread_cents,snap_taken_at,paper_status,paper_good_entry_label,paper_good_entry_score,paper_entry_price_cents,paper_outcome,game_state_inning,game_state_half,game_state_outs,game_state_runner_state,game_state_checked_at,recent_play_description,recent_play_type,seconds_since_last_play,seconds_since_last_score,last_score_description,first_discovery_inflated_score,low_baseball_support_watch,near_settled_should_block,wide_spread_should_block,rally_block_validated,derivative_selection_correct,no_entry_price_reason_guess
797,trailing_team_total_lag_watch,team_total,NYM@CIN,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,observed_only,,2026-06-15T19:31:45.163141,2026-06-15T19:31:45.166885,,full_game,1,bottom,2,,1,first_discovery,0,28,100.0,50.0,100.0,0.0,85.0,28,29,28,1,2026-06-15T23:33:15.014358+00:00,paper_closed,strong_value,75.0,29,lost,1,bottom,2,,2026-06-15T19:31:15.732008,,,25,,,True,False,False,False,not_applicable,True,has_entry_price
798,trailing_team_total_lag_watch,team_total,NYM@CIN,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,observed_only,,2026-06-15T19:34:45.194854,2026-06-15T19:34:45.194879,,full_game,2,top,0,,1,first_discovery,0,28,100.0,50.0,100.0,0.0,85.0,28,29,28,1,2026-06-15T23:33:15.014358+00:00,paper_closed,strong_value,75.0,29,lost,2,top,0,,2026-06-15T19:34:39.573345,,,11,,,True,False,False,False,not_applicable,True,has_entry_price
799,trailing_team_total_lag_watch,team_total,MIA@PHI,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,blocked,rally_still_active,2026-06-15T19:39:45.316386,2026-06-15T19:39:45.320035,,full_game,3,bottom,2,1-3,2,first_discovery,75,1,4.0,50.0,100.0,0.0,56.2,75,77,76,2,2026-06-15T23:41:42.520319+00:00,blocked_observation,not_evaluable,,,unknown,3,bottom,2,1-3,2026-06-15T19:39:43.792852,,,38,,,False,False,False,False,validated,True,blocked_so_no_entry
800,trailing_team_total_lag_watch,team_total,MIA@PHI,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,observed_only,,2026-06-15T19:40:45.436679,2026-06-15T19:40:45.436703,,full_game,3,bottom,3,,2,first_discovery,75,1,4.0,50.0,100.0,0.0,56.2,75,77,76,2,2026-06-15T23:41:42.520319+00:00,blocked_observation,not_evaluable,,,unknown,3,bottom,3,,2026-06-15T19:40:17.684306,Edmundo Sosa flies out to right fielder Owen Caissie.,Flyout,58,,,False,False,False,False,not_applicable,True,blocked_so_no_entry
801,trailing_team_total_lag_watch,team_total,MIA@PHI,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,observed_only,,2026-06-15T19:42:45.455318,2026-06-15T19:42:45.455339,,full_game,4,top,0,,2,first_discovery,75,1,4.0,50.0,100.0,0.0,56.2,75,77,76,2,2026-06-15T23:41:42.520319+00:00,blocked_observation,not_evaluable,,,unknown,4,top,0,,2026-06-15T19:42:35.484410,,,29,,,False,False,False,False,not_applicable,True,blocked_so_no_entry
802,trailing_team_total_lag_watch,team_total,NYM@CIN,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,observed_only,,2026-06-15T19:42:45.456328,2026-06-15T19:42:45.456353,,full_game,2,bottom,0,,1,first_discovery,0,28,100.0,50.0,100.0,0.0,85.0,28,29,28,1,2026-06-15T23:41:42.520319+00:00,paper_closed,strong_value,75.0,29,lost,2,bottom,0,,2026-06-15T19:42:37.418129,,,3,,,True,False,False,False,not_applicable,True,has_entry_price
803,trailing_team_total_lag_watch,team_total,NYM@CIN,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,blocked,rally_still_active,2026-06-15T19:43:46.130756,2026-06-15T19:43:46.130786,,full_game,2,bottom,0,1--,1,first_discovery,0,28,100.0,50.0,100.0,0.0,85.0,,,,,,paper_closed,strong_value,75.0,29,lost,2,bottom,0,1--,2026-06-15T19:43:12.303872,,,63,,,True,False,False,False,validated,True,has_entry_price
804,trailing_team_total_lag_watch,team_total,MIA@PHI,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,blocked,rally_still_active,2026-06-15T19:45:46.154571,2026-06-15T19:45:46.154600,,full_game,4,top,0,1--,2,first_discovery,75,1,4.0,50.0,100.0,0.0,56.2,75,77,76,2,2026-06-15T23:46:33.294184+00:00,blocked_observation,not_evaluable,,,unknown,4,top,0,1--,2026-06-15T19:45:31.425027,,,210,,,False,False,False,False,validated,True,blocked_so_no_entry
805,trailing_team_total_lag_watch,team_total,NYM@CIN,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,blocked,rally_still_active,2026-06-15T19:49:47.119328,2026-06-15T19:49:47.119357,,full_game,2,bottom,1,123,1,first_discovery,0,28,100.0,50.0,100.0,0.0,85.0,28,29,28,1,2026-06-15T23:51:01.018510+00:00,paper_closed,strong_value,75.0,29,lost,2,bottom,1,123,2026-06-15T19:49:45.546523,Mound Visit.,Mound Visit,39,,,True,False,False,False,validated,True,has_entry_price
806,trailing_team_total_lag_watch,team_total,NYM@CIN,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,blocked,rally_still_active,2026-06-15T19:53:47.204103,2026-06-15T19:53:47.204120,,full_game,2,bottom,1,123,1,first_discovery,0,28,100.0,50.0,100.0,0.0,85.0,28,29,28,1,2026-06-15T23:55:27.237279+00:00,paper_closed,strong_value,75.0,29,lost,2,bottom,1,123,2026-06-15T19:53:24.714558,,,18,,,True,False,False,False,validated,True,has_entry_price
807,trailing_team_total_lag_watch,team_total,MIA@PHI,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,observed_only,,2026-06-15T19:55:47.221117,2026-06-15T19:55:47.221139,,full_game,4,bottom,0,,2,first_discovery,75,1,4.0,50.0,100.0,0.0,56.2,75,77,76,2,2026-06-15T23:55:27.237279+00:00,blocked_observation,not_evaluable,,,unknown,4,bottom,0,,2026-06-15T19:55:12.402866,,,66,,,False,False,False,False,not_applicable,True,blocked_so_no_entry
808,trailing_team_total_lag_watch,team_total,NYM@CIN,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,observed_only,,2026-06-15T19:58:47.248095,2026-06-15T19:58:47.248112,,full_game,2,bottom,2,,1,first_discovery,0,28,100.0,50.0,100.0,0.0,85.0,28,29,28,1,2026-06-16T00:00:09.734152+00:00,paper_closed,strong_value,75.0,29,lost,2,bottom,2,,2026-06-15T19:58:16.938327,,,31,,,True,False,False,False,not_applicable,True,has_entry_price
809,trailing_team_total_lag_watch,team_total,MIA@PHI,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,observed_only,,2026-06-15T20:02:47.280905,2026-06-15T20:02:47.280925,,full_game,5,top,0,,2,first_discovery,75,1,4.0,50.0,100.0,0.0,56.2,75,77,76,2,2026-06-16T00:04:34.025141+00:00,blocked_observation,not_evaluable,,,unknown,5,top,0,,2026-06-15T20:02:31.547446,,,23,,,False,False,False,False,not_applicable,True,blocked_so_no_entry
810,trailing_team_total_lag_watch,team_total,NYM@CIN,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,observed_only,,2026-06-15T20:02:47.281808,2026-06-15T20:02:47.281819,,full_game,3,top,0,,1,first_discovery,0,28,100.0,50.0,100.0,0.0,85.0,28,29,28,1,2026-06-16T00:04:34.025141+00:00,paper_closed,strong_value,75.0,29,lost,3,top,0,,2026-06-15T20:02:33.367232,,,78,,,True,False,False,False,not_applicable,True,has_entry_price
811,trailing_team_total_lag_watch,team_total,MIA@PHI,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,blocked,rally_still_active,2026-06-15T20:03:47.292350,2026-06-15T20:03:47.292379,,full_game,5,top,1,-2-,2,first_discovery,75,1,4.0,50.0,100.0,0.0,56.2,75,77,76,2,2026-06-16T00:04:34.025141+00:00,blocked_observation,not_evaluable,,,unknown,5,top,1,-2-,2026-06-15T20:03:44.696759,,,5,,,False,False,False,False,validated,True,blocked_so_no_entry
812,trailing_team_total_lag_watch,team_total,NYM@CIN,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,observed_only,,2026-06-15T20:08:47.508428,2026-06-15T20:08:47.508440,,full_game,3,bottom,0,,1,first_discovery,0,28,100.0,50.0,100.0,0.0,85.0,28,29,28,1,2026-06-16T00:08:58.904814+00:00,paper_closed,strong_value,75.0,29,lost,3,bottom,0,,2026-06-15T20:08:39.626136,,,83,,,True,False,False,False,not_applicable,True,has_entry_price
813,trailing_team_total_lag_watch,team_total,NYM@CIN,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,blocked,rally_still_active,2026-06-15T20:09:47.518416,2026-06-15T20:09:47.518428,,full_game,3,bottom,0,1--,1,first_discovery,0,28,100.0,50.0,100.0,0.0,85.0,28,29,28,1,2026-06-16T00:08:58.904814+00:00,paper_closed,strong_value,75.0,29,lost,3,bottom,0,1--,2026-06-15T20:09:16.297222,,,52,,,True,False,False,False,validated,True,has_entry_price
814,trailing_team_total_lag_watch,team_total,MIA@PHI,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,observed_only,,2026-06-15T20:10:47.526349,2026-06-15T20:10:47.526372,,full_game,5,bottom,1,,2,first_discovery,75,1,4.0,50.0,100.0,0.0,56.2,75,77,76,2,2026-06-16T00:08:58.904814+00:00,blocked_observation,not_evaluable,,,unknown,5,bottom,1,,2026-06-15T20:10:28.102010,,,17,,,False,False,False,False,not_applicable,True,blocked_so_no_entry
