candidate_id,derivative_type,game,market_ticker,baseline_source,opening_price_cents,price_delta_from_open_cents,market_mismatch_score,overall_watch_score,recommendation
,team_total,NYM@CIN,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,first_discovery,0,28,100.0,85.0,cap_market_mismatch_for_first_discovery_baselines
,team_total,NYM@CIN,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,first_discovery,0,28,100.0,85.0,cap_market_mismatch_for_first_discovery_baselines
,team_total,MIA@PHI,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,first_discovery,75,1,4.0,56.2,cap_market_mismatch_for_first_discovery_baselines
,team_total,MIA@PHI,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,first_discovery,75,1,4.0,56.2,cap_market_mismatch_for_first_discovery_baselines
,team_total,MIA@PHI,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,first_discovery,75,1,4.0,56.2,cap_market_mismatch_for_first_discovery_baselines
,team_total,NYM@CIN,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,first_discovery,0,28,100.0,85.0,cap_market_mismatch_for_first_discovery_baselines
,team_total,NYM@CIN,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,first_discovery,0,28,100.0,85.0,cap_market_mismatch_for_first_discovery_baselines
,team_total,MIA@PHI,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,first_discovery,75,1,4.0,56.2,cap_market_mismatch_for_first_discovery_baselines
,team_total,NYM@CIN,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,first_discovery,0,28,100.0,85.0,cap_market_mismatch_for_first_discovery_baselines
,team_total,NYM@CIN,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,first_discovery,0,28,100.0,85.0,cap_market_mismatch_for_first_discovery_baselines
,team_total,MIA@PHI,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,first_discovery,75,1,4.0,56.2,cap_market_mismatch_for_first_discovery_baselines
,team_total,NYM@CIN,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,first_discovery,0,28,100.0,85.0,cap_market_mismatch_for_first_discovery_baselines
,team_total,MIA@PHI,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,first_discovery,75,1,4.0,56.2,cap_market_mismatch_for_first_discovery_baselines
,team_total,NYM@CIN,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,first_discovery,0,28,100.0,85.0,cap_market_mismatch_for_first_discovery_baselines
,team_total,MIA@PHI,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,first_discovery,75,1,4.0,56.2,cap_market_mismatch_for_first_discovery_baselines
,team_total,NYM@CIN,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,first_discovery,0,28,100.0,85.0,cap_market_mismatch_for_first_discovery_baselines
,team_total,NYM@CIN,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,first_discovery,0,28,100.0,85.0,cap_market_mismatch_for_first_discovery_baselines
,team_total,MIA@PHI,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,first_discovery,75,1,4.0,56.2,cap_market_mismatch_for_first_discovery_baselines
,team_total,MIA@PHI,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,first_discovery,75,1,4.0,56.2,cap_market_mismatch_for_first_discovery_baselines
,team_total,MIA@PHI,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,first_discovery,75,1,4.0,44.2,cap_market_mismatch_for_first_discovery_baselines
,team_total,MIA@PHI,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,first_discovery,75,1,4.0,44.2,cap_market_mismatch_for_first_discovery_baselines
,team_total,MIN@TEX,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX4,first_discovery,61,-3,10.0,59.5,cap_market_mismatch_for_first_discovery_baselines
,team_total,NYM@CIN,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,first_discovery,0,28,100.0,85.0,cap_market_mismatch_for_first_discovery_baselines
,team_total,MIA@PHI,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,first_discovery,75,1,4.0,44.2,cap_market_mismatch_for_first_discovery_baselines
,team_total,MIN@TEX,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX4,first_discovery,61,-3,10.0,59.5,cap_market_mismatch_for_first_discovery_baselines
,team_total,MIN@TEX,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX4,first_discovery,61,-3,10.0,59.5,cap_market_mismatch_for_first_discovery_baselines
,team_total,MIA@PHI,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,first_discovery,75,1,4.0,44.2,cap_market_mismatch_for_first_discovery_baselines
,team_total,MIN@TEX,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX6,first_discovery,0,30,100.0,79.0,cap_market_mismatch_for_first_discovery_baselines
,team_total,MIA@PHI,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA3,first_discovery,58,-41,100.0,58.0,cap_market_mismatch_for_first_discovery_baselines
,team_total,NYM@CIN,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM8,first_discovery,12,23,92.0,55.3,cap_market_mismatch_for_first_discovery_baselines
,team_total,MIN@TEX,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX6,first_discovery,0,30,100.0,79.0,cap_market_mismatch_for_first_discovery_baselines
,team_total,MIA@PHI,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA3,first_discovery,58,-41,100.0,58.0,cap_market_mismatch_for_first_discovery_baselines
,team_total,MIN@TEX,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX6,first_discovery,0,30,100.0,79.0,cap_market_mismatch_for_first_discovery_baselines
,team_total,NYM@CIN,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM8,first_discovery,12,23,92.0,55.3,cap_market_mismatch_for_first_discovery_baselines
,team_total,SD@STL,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,first_discovery,0,57,100.0,80.0,cap_market_mismatch_for_first_discovery_baselines
,team_total,NYM@CIN,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM8,first_discovery,12,23,92.0,55.3,cap_market_mismatch_for_first_discovery_baselines
,team_total,MIN@TEX,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX6,first_discovery,0,30,100.0,79.0,cap_market_mismatch_for_first_discovery_baselines
,team_total,SD@STL,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,first_discovery,0,57,100.0,80.0,cap_market_mismatch_for_first_discovery_baselines
,team_total,SD@STL,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,first_discovery,0,57,100.0,80.0,cap_market_mismatch_for_first_discovery_baselines
,team_total,DET@HOU,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU7,first_discovery,25,-3,12.0,48.0,cap_market_mismatch_for_first_discovery_baselines
,team_total,MIN@TEX,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX6,first_discovery,0,30,100.0,79.0,cap_market_mismatch_for_first_discovery_baselines
,team_total,DET@HOU,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU7,first_discovery,25,-3,12.0,48.0,cap_market_mismatch_for_first_discovery_baselines
,team_total,MIN@TEX,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX6,first_discovery,0,30,100.0,79.0,cap_market_mismatch_for_first_discovery_baselines
,f5_total,MIN@TEX,KXMLBF5TOTAL-26JUN152005MINTEX-1,first_discovery,0,100,100.0,71.8,cap_market_mismatch_for_first_discovery_baselines
,team_total,SD@STL,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,first_discovery,0,57,100.0,80.0,cap_market_mismatch_for_first_discovery_baselines
,team_total,SD@STL,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,first_discovery,0,57,100.0,80.0,cap_market_mismatch_for_first_discovery_baselines
,team_total,DET@HOU,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU7,first_discovery,25,-3,12.0,48.0,cap_market_mismatch_for_first_discovery_baselines
,team_total,NYM@CIN,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM8,first_discovery,12,23,92.0,55.3,cap_market_mismatch_for_first_discovery_baselines
,f5_total,MIN@TEX,KXMLBF5TOTAL-26JUN152005MINTEX-1,first_discovery,0,100,100.0,71.8,cap_market_mismatch_for_first_discovery_baselines
,team_total,SD@STL,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,first_discovery,0,57,100.0,80.0,cap_market_mismatch_for_first_discovery_baselines
,team_total,DET@HOU,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU7,first_discovery,25,-3,12.0,48.0,cap_market_mismatch_for_first_discovery_baselines
,team_total,SD@STL,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,first_discovery,0,57,100.0,80.0,cap_market_mismatch_for_first_discovery_baselines
,team_total,NYM@CIN,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM8,first_discovery,12,23,92.0,55.3,cap_market_mismatch_for_first_discovery_baselines
,team_total,SD@STL,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,first_discovery,0,57,100.0,80.0,cap_market_mismatch_for_first_discovery_baselines
,team_total,DET@HOU,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU7,first_discovery,25,-3,12.0,48.0,cap_market_mismatch_for_first_discovery_baselines
,f5_total,MIN@TEX,KXMLBF5TOTAL-26JUN152005MINTEX-1,first_discovery,0,100,100.0,71.8,cap_market_mismatch_for_first_discovery_baselines
,team_total,DET@HOU,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU7,first_discovery,25,-3,12.0,48.0,cap_market_mismatch_for_first_discovery_baselines
,f5_total,MIN@TEX,KXMLBF5TOTAL-26JUN152005MINTEX-1,first_discovery,0,100,100.0,71.8,cap_market_mismatch_for_first_discovery_baselines
,team_total,DET@HOU,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU7,first_discovery,25,-3,12.0,48.0,cap_market_mismatch_for_first_discovery_baselines
,team_total,NYM@CIN,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM8,first_discovery,12,23,92.0,55.3,cap_market_mismatch_for_first_discovery_baselines
,team_total,SD@STL,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,first_discovery,0,57,100.0,80.0,cap_market_mismatch_for_first_discovery_baselines
,team_total,DET@HOU,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU7,first_discovery,25,-3,12.0,48.0,cap_market_mismatch_for_first_discovery_baselines
,fg_total,MIN@TEX,KXMLBTOTAL-26JUN152005MINTEX-8,first_discovery,56,18,70.0,63.1,cap_market_mismatch_for_first_discovery_baselines
,team_total,SD@STL,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,first_discovery,0,34,100.0,77.5,cap_market_mismatch_for_first_discovery_baselines
,fg_total,MIA@PHI,KXMLBTOTAL-26JUN151840MIAPHI-6,first_discovery,74,14,58.0,61.0,cap_market_mismatch_for_first_discovery_baselines
,team_total,DET@HOU,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,first_discovery,34,43,100.0,74.4,cap_market_mismatch_for_first_discovery_baselines
