candidate_id,process_grade,market_reaction_grade,settlement_result,paper_net_pnl_cents,outcome_bucket,likely_loss_reason_guess
797,bad_process,neutral,loss,-29,bad_process_loss,bad_logic
798,bad_process,neutral,loss,-29,bad_process_loss,bad_logic
799,sound_process,neutral,unknown,,unknown,
800,bad_process,neutral,unknown,,unknown,
801,bad_process,neutral,unknown,,unknown,
802,bad_process,neutral,loss,-29,bad_process_loss,bad_logic
803,questionable_process,neutral,loss,-29,bad_process_loss,bad_logic
804,sound_process,neutral,unknown,,unknown,
805,questionable_process,neutral,loss,-29,bad_process_loss,bad_logic
806,questionable_process,neutral,loss,-29,bad_process_loss,bad_logic
807,bad_process,neutral,unknown,,unknown,
808,bad_process,neutral,loss,-29,bad_process_loss,bad_logic
809,bad_process,neutral,unknown,,unknown,
810,bad_process,neutral,loss,-29,bad_process_loss,bad_logic
811,sound_process,neutral,unknown,,unknown,
812,bad_process,neutral,loss,-29,bad_process_loss,bad_logic
813,questionable_process,neutral,loss,-29,bad_process_loss,bad_logic
814,bad_process,neutral,unknown,,unknown,
815,sound_process,neutral,unknown,,unknown,
816,bad_process,neutral,unknown,,unknown,
817,sound_process,neutral,unknown,,unknown,
818,bad_process,neutral,loss,-58,bad_process_loss,bad_logic
819,questionable_process,neutral,loss,-29,bad_process_loss,bad_logic
820,bad_process,neutral,unknown,,unknown,
821,sound_process,neutral,loss,-58,good_process_good_reaction_loss,no_active_pressure
822,bad_process,neutral,loss,-58,bad_process_loss,bad_logic
823,bad_process,neutral,unknown,,unknown,
824,bad_process,neutral,loss,-34,bad_process_loss,bad_logic
825,bad_process,neutral,loss,-57,bad_process_loss,bad_logic
826,questionable_process,neutral,unknown,,unknown,
827,bad_process,neutral,loss,-34,bad_process_loss,bad_logic
828,questionable_process,neutral,loss,-57,bad_process_loss,bad_logic
829,bad_process,neutral,loss,-34,bad_process_loss,bad_logic
830,questionable_process,neutral,unknown,,unknown,
831,questionable_process,neutral,unknown,,unknown,
832,questionable_process,neutral,unknown,,unknown,
833,bad_process,neutral,loss,-34,bad_process_loss,bad_logic
834,bad_process,neutral,unknown,,unknown,
835,bad_process,neutral,unknown,,unknown,
836,bad_process,neutral,unknown,,unknown,
