market_ticker,market_type,game_id,away_team,home_team,first_snapshot_time,last_snapshot_time,snapshot_count,avg_seconds_between_snapshots,max_seconds_between_snapshots,unique_mid_count,mid_min,mid_max,mid_range,total_abs_mid_movement,largest_single_move,stale_minutes_total,longest_stale_period_minutes,moved_after_score_event,moved_after_inning_end,moved_after_lead_change,market_liveness_label
KXMLBF5SPREAD-26JUN152210TBLAD-TB2,f5_spread,TB@LAD,TB,LAD,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,2,22,23,1,1,1,697.11,469.08,False,False,False,stale
KXMLBF5SPREAD-26JUN152210TBLAD-LAD2,f5_spread,TB@LAD,TB,LAD,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,3,37,39,2,3,2,692.17,241.0,False,False,False,stale
KXMLBF5SPREAD-26JUN152210TBLAD-TB3,f5_spread,TB@LAD,TB,LAD,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,1,14,14,0,0,0,700.23,700.23,False,False,False,stale
KXMLBF5SPREAD-26JUN152210TBLAD-LAD3,f5_spread,TB@LAD,TB,LAD,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,2,26,27,1,2,1,692.17,241.0,False,False,False,stale
KXMLBF5SPREAD-26JUN152140PITATH-PIT3,f5_spread,PIT@ATH,PIT,ATH,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,2,19,20,1,2,1,692.99,454.29,False,False,False,stale
KXMLBF5SPREAD-26JUN152140PITATH-ATH2,f5_spread,PIT@ATH,PIT,ATH,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,2,33,34,1,1,1,695.29,454.29,False,False,False,stale
KXMLBF5SPREAD-26JUN152140PITATH-PIT2,f5_spread,PIT@ATH,PIT,ATH,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,2,29,30,1,1,1,695.29,454.29,False,False,False,stale
KXMLBF5SPREAD-26JUN152140PITATH-ATH3,f5_spread,PIT@ATH,PIT,ATH,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,2,22,23,1,1,1,697.11,469.08,False,False,False,stale
KXMLBF5SPREAD-26JUN152140LAAAZ-LAA2,f5_spread,LAA@AZ,LAA,AZ,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,2,27,28,1,1,1,695.29,454.29,False,False,False,stale
KXMLBF5SPREAD-26JUN152140LAAAZ-LAA3,f5_spread,LAA@AZ,LAA,AZ,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,2,16,17,1,1,1,695.29,454.29,False,False,False,stale
KXMLBF5SPREAD-26JUN152140LAAAZ-AZ2,f5_spread,LAA@AZ,LAA,AZ,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,2,31,32,1,1,1,697.11,469.08,False,False,False,stale
KXMLBF5SPREAD-26JUN152140LAAAZ-AZ3,f5_spread,LAA@AZ,LAA,AZ,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,2,21,22,1,1,1,695.29,454.29,False,False,False,stale
KXMLBF5SPREAD-26JUN152010DETHOU-HOU3,f5_spread,DET@HOU,DET,HOU,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,3,14,21,7,7,6,489.93,228.04,True,True,False,live_responsive
KXMLBF5SPREAD-26JUN152010DETHOU-DET3,f5_spread,DET@HOU,DET,HOU,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,3,17,80,63,63,55,692.99,454.29,True,True,False,live_responsive
KXMLBF5SPREAD-26JUN152010DETHOU-DET2,f5_spread,DET@HOU,DET,HOU,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,3,28,90,62,62,52,692.99,454.29,True,True,False,live_responsive
KXMLBF5SPREAD-26JUN152010DETHOU-HOU2,f5_spread,DET@HOU,DET,HOU,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,3,2,31,29,29,20,692.99,454.29,True,True,False,live_responsive
KXMLBF5SPREAD-26JUN152005MINTEX-TEX2,f5_spread,MIN@TEX,MIN,TEX,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,3,9,36,27,39,27,692.99,454.29,False,True,False,live_responsive
KXMLBF5SPREAD-26JUN152005MINTEX-MIN3,f5_spread,MIN@TEX,MIN,TEX,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,3,10,53,43,85,43,692.99,454.29,False,True,False,live_responsive
KXMLBF5SPREAD-26JUN152005MINTEX-MIN2,f5_spread,MIN@TEX,MIN,TEX,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,4,20,69,49,81,48,689.87,228.04,False,True,False,live_responsive
KXMLBF5SPREAD-26JUN152005MINTEX-TEX3,f5_spread,MIN@TEX,MIN,TEX,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,4,2,25,23,23,18,689.87,228.04,False,True,False,live_responsive
KXMLBF5SPREAD-26JUN152005COLCHC-COL2,f5_spread,COL@CHC,COL,CHC,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,4,9,27,18,29,18,689.87,228.04,False,True,False,live_responsive
KXMLBF5SPREAD-26JUN152005COLCHC-CHC3,f5_spread,COL@CHC,COL,CHC,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,3,30,40,10,19,9,689.87,228.04,False,True,False,live_responsive
KXMLBF5SPREAD-26JUN152005COLCHC-CHC2,f5_spread,COL@CHC,COL,CHC,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,4,36,55,19,32,19,689.87,228.04,False,True,False,live_responsive
KXMLBF5SPREAD-26JUN152005COLCHC-COL3,f5_spread,COL@CHC,COL,CHC,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,3,2,11,9,9,6,692.99,454.29,False,True,False,live_responsive
KXMLBF5SPREAD-26JUN151945SDSTL-SD2,f5_spread,SD@STL,SD,STL,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,2,8,22,14,14,14,695.29,454.29,False,True,False,stale
KXMLBF5SPREAD-26JUN151945SDSTL-SD3,f5_spread,SD@STL,SD,STL,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,3,6,13,7,8,7,692.17,241.0,False,True,False,live_responsive
KXMLBF5SPREAD-26JUN151945SDSTL-STL3,f5_spread,SD@STL,SD,STL,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,2,13,25,12,12,12,695.29,454.29,False,True,False,stale
