market_ticker,market_type,game_id,event_time,event_type,inning,inning_half,score_after,mid_at_event,mid_5min_after,movement_5min_cents,repriced_within_5min,repriced_within_window
KXMLBF5SPREAD-26JUN152210TBLAD-TB2,f5_spread,TB@LAD,2026-06-16T02:16:56Z,score_change,1,top,2-0,22,22,0,False,False
KXMLBF5SPREAD-26JUN152210TBLAD-TB2,f5_spread,TB@LAD,2026-06-16T02:34:02Z,score_change,2,top,3-0,22,22,0,False,False
KXMLBF5SPREAD-26JUN152210TBLAD-TB2,f5_spread,TB@LAD,2026-06-16T02:44:35Z,score_change,2,bottom,3-3,22,22,0,False,False
KXMLBF5SPREAD-26JUN152210TBLAD-TB2,f5_spread,TB@LAD,2026-06-16T04:16:58Z,score_change,7,bottom,3-4,22,22,0,False,False
KXMLBF5SPREAD-26JUN152210TBLAD-LAD2,f5_spread,TB@LAD,2026-06-16T02:16:56Z,score_change,1,top,2-0,38,38,0,False,False
KXMLBF5SPREAD-26JUN152210TBLAD-LAD2,f5_spread,TB@LAD,2026-06-16T02:34:02Z,score_change,2,top,3-0,38,38,0,False,False
KXMLBF5SPREAD-26JUN152210TBLAD-LAD2,f5_spread,TB@LAD,2026-06-16T02:44:35Z,score_change,2,bottom,3-3,38,38,0,False,False
KXMLBF5SPREAD-26JUN152210TBLAD-LAD2,f5_spread,TB@LAD,2026-06-16T04:16:58Z,score_change,7,bottom,3-4,38,38,0,False,False
KXMLBF5SPREAD-26JUN152210TBLAD-TB3,f5_spread,TB@LAD,2026-06-16T02:16:56Z,score_change,1,top,2-0,14,14,0,False,False
KXMLBF5SPREAD-26JUN152210TBLAD-TB3,f5_spread,TB@LAD,2026-06-16T02:34:02Z,score_change,2,top,3-0,14,14,0,False,False
KXMLBF5SPREAD-26JUN152210TBLAD-TB3,f5_spread,TB@LAD,2026-06-16T02:44:35Z,score_change,2,bottom,3-3,14,14,0,False,False
KXMLBF5SPREAD-26JUN152210TBLAD-TB3,f5_spread,TB@LAD,2026-06-16T04:16:58Z,score_change,7,bottom,3-4,14,14,0,False,False
KXMLBF5SPREAD-26JUN152210TBLAD-LAD3,f5_spread,TB@LAD,2026-06-16T02:16:56Z,score_change,1,top,2-0,26,26,0,False,False
KXMLBF5SPREAD-26JUN152210TBLAD-LAD3,f5_spread,TB@LAD,2026-06-16T02:34:02Z,score_change,2,top,3-0,26,26,0,False,False
KXMLBF5SPREAD-26JUN152210TBLAD-LAD3,f5_spread,TB@LAD,2026-06-16T02:44:35Z,score_change,2,bottom,3-3,26,26,0,False,False
KXMLBF5SPREAD-26JUN152210TBLAD-LAD3,f5_spread,TB@LAD,2026-06-16T04:16:58Z,score_change,7,bottom,3-4,26,26,0,False,False
KXMLBF5SPREAD-26JUN152140PITATH-PIT3,f5_spread,PIT@ATH,2026-06-16T02:13:59Z,score_change,2,bottom,0-1,20,20,0,False,False
KXMLBF5SPREAD-26JUN152140PITATH-PIT3,f5_spread,PIT@ATH,2026-06-16T02:16:59Z,score_change,2,bottom,0-3,20,20,0,False,False
KXMLBF5SPREAD-26JUN152140PITATH-PIT3,f5_spread,PIT@ATH,2026-06-16T02:51:04Z,score_change,4,top,1-3,20,20,0,False,False
KXMLBF5SPREAD-26JUN152140PITATH-PIT3,f5_spread,PIT@ATH,2026-06-16T02:59:16Z,score_change,4,bottom,1-5,20,20,0,False,False
KXMLBF5SPREAD-26JUN152140PITATH-PIT3,f5_spread,PIT@ATH,2026-06-16T03:16:04Z,score_change,5,bottom,1-6,20,20,0,False,False
KXMLBF5SPREAD-26JUN152140PITATH-PIT3,f5_spread,PIT@ATH,2026-06-16T03:59:48Z,score_change,7,bottom,1-7,20,20,0,False,False
KXMLBF5SPREAD-26JUN152140PITATH-PIT3,f5_spread,PIT@ATH,2026-06-16T04:03:01Z,score_change,7,bottom,1-8,20,20,0,False,False
KXMLBF5SPREAD-26JUN152140PITATH-PIT3,f5_spread,PIT@ATH,2026-06-16T04:04:38Z,score_change,7,bottom,1-11,20,20,0,False,False
KXMLBF5SPREAD-26JUN152140PITATH-PIT3,f5_spread,PIT@ATH,2026-06-16T04:12:09Z,score_change,8,top,2-11,20,20,0,False,False
KXMLBF5SPREAD-26JUN152140PITATH-ATH2,f5_spread,PIT@ATH,2026-06-16T02:13:59Z,score_change,2,bottom,0-1,34,34,0,False,False
KXMLBF5SPREAD-26JUN152140PITATH-ATH2,f5_spread,PIT@ATH,2026-06-16T02:16:59Z,score_change,2,bottom,0-3,34,34,0,False,False
KXMLBF5SPREAD-26JUN152140PITATH-ATH2,f5_spread,PIT@ATH,2026-06-16T02:51:04Z,score_change,4,top,1-3,34,34,0,False,False
KXMLBF5SPREAD-26JUN152140PITATH-ATH2,f5_spread,PIT@ATH,2026-06-16T02:59:16Z,score_change,4,bottom,1-5,34,34,0,False,False
KXMLBF5SPREAD-26JUN152140PITATH-ATH2,f5_spread,PIT@ATH,2026-06-16T03:16:04Z,score_change,5,bottom,1-6,34,34,0,False,False
KXMLBF5SPREAD-26JUN152140PITATH-ATH2,f5_spread,PIT@ATH,2026-06-16T03:59:48Z,score_change,7,bottom,1-7,34,34,0,False,False
KXMLBF5SPREAD-26JUN152140PITATH-ATH2,f5_spread,PIT@ATH,2026-06-16T04:03:01Z,score_change,7,bottom,1-8,34,34,0,False,False
KXMLBF5SPREAD-26JUN152140PITATH-ATH2,f5_spread,PIT@ATH,2026-06-16T04:04:38Z,score_change,7,bottom,1-11,34,34,0,False,False
KXMLBF5SPREAD-26JUN152140PITATH-ATH2,f5_spread,PIT@ATH,2026-06-16T04:12:09Z,score_change,8,top,2-11,34,34,0,False,False
KXMLBF5SPREAD-26JUN152140PITATH-PIT2,f5_spread,PIT@ATH,2026-06-16T02:13:59Z,score_change,2,bottom,0-1,29,29,0,False,False
KXMLBF5SPREAD-26JUN152140PITATH-PIT2,f5_spread,PIT@ATH,2026-06-16T02:16:59Z,score_change,2,bottom,0-3,29,29,0,False,False
KXMLBF5SPREAD-26JUN152140PITATH-PIT2,f5_spread,PIT@ATH,2026-06-16T02:51:04Z,score_change,4,top,1-3,29,29,0,False,False
KXMLBF5SPREAD-26JUN152140PITATH-PIT2,f5_spread,PIT@ATH,2026-06-16T02:59:16Z,score_change,4,bottom,1-5,29,29,0,False,False
KXMLBF5SPREAD-26JUN152140PITATH-PIT2,f5_spread,PIT@ATH,2026-06-16T03:16:04Z,score_change,5,bottom,1-6,29,29,0,False,False
KXMLBF5SPREAD-26JUN152140PITATH-PIT2,f5_spread,PIT@ATH,2026-06-16T03:59:48Z,score_change,7,bottom,1-7,29,29,0,False,False
KXMLBF5SPREAD-26JUN152140PITATH-PIT2,f5_spread,PIT@ATH,2026-06-16T04:03:01Z,score_change,7,bottom,1-8,29,29,0,False,False
KXMLBF5SPREAD-26JUN152140PITATH-PIT2,f5_spread,PIT@ATH,2026-06-16T04:04:38Z,score_change,7,bottom,1-11,29,29,0,False,False
KXMLBF5SPREAD-26JUN152140PITATH-PIT2,f5_spread,PIT@ATH,2026-06-16T04:12:09Z,score_change,8,top,2-11,29,29,0,False,False
KXMLBF5SPREAD-26JUN152140PITATH-ATH3,f5_spread,PIT@ATH,2026-06-16T02:13:59Z,score_change,2,bottom,0-1,22,22,0,False,False
KXMLBF5SPREAD-26JUN152140PITATH-ATH3,f5_spread,PIT@ATH,2026-06-16T02:16:59Z,score_change,2,bottom,0-3,22,22,0,False,False
KXMLBF5SPREAD-26JUN152140PITATH-ATH3,f5_spread,PIT@ATH,2026-06-16T02:51:04Z,score_change,4,top,1-3,22,22,0,False,False
KXMLBF5SPREAD-26JUN152140PITATH-ATH3,f5_spread,PIT@ATH,2026-06-16T02:59:16Z,score_change,4,bottom,1-5,22,22,0,False,False
KXMLBF5SPREAD-26JUN152140PITATH-ATH3,f5_spread,PIT@ATH,2026-06-16T03:16:04Z,score_change,5,bottom,1-6,22,22,0,False,False
KXMLBF5SPREAD-26JUN152140PITATH-ATH3,f5_spread,PIT@ATH,2026-06-16T03:59:48Z,score_change,7,bottom,1-7,22,22,0,False,False
KXMLBF5SPREAD-26JUN152140PITATH-ATH3,f5_spread,PIT@ATH,2026-06-16T04:03:01Z,score_change,7,bottom,1-8,22,22,0,False,False
KXMLBF5SPREAD-26JUN152140PITATH-ATH3,f5_spread,PIT@ATH,2026-06-16T04:04:38Z,score_change,7,bottom,1-11,22,22,0,False,False
KXMLBF5SPREAD-26JUN152140PITATH-ATH3,f5_spread,PIT@ATH,2026-06-16T04:12:09Z,score_change,8,top,2-11,22,22,0,False,False
KXMLBF5SPREAD-26JUN152140LAAAZ-LAA2,f5_spread,LAA@AZ,2026-06-16T01:44:50Z,score_change,1,top,1-0,27,27,0,False,False
KXMLBF5SPREAD-26JUN152140LAAAZ-LAA2,f5_spread,LAA@AZ,2026-06-16T01:56:54Z,score_change,1,bottom,1-1,27,27,0,False,False
KXMLBF5SPREAD-26JUN152140LAAAZ-LAA2,f5_spread,LAA@AZ,2026-06-16T02:39:57Z,score_change,4,bottom,1-2,27,27,0,False,False
KXMLBF5SPREAD-26JUN152140LAAAZ-LAA2,f5_spread,LAA@AZ,2026-06-16T02:48:44Z,score_change,5,top,2-2,27,27,0,False,False
