deficit_bucket,inning_bucket,opponent_run_prevention_bucket,count,eventually_won_rate,tied_or_led_later_rate,took_lead_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,avg_final_margin,avg_next_2_innings_team_runs,avg_next_2_innings_opp_runs,avg_post5_runs,avg_f5_total,avg_full_total
down_1,early_1_3,50_55,1521,0.4116,0.6502,0.5352,0.4109,0.5536,0.4313,0.9619,-0.92,1.354,1.431,,,
down_1,early_1_3,45_50,1464,0.3641,0.6332,0.487,0.377,0.556,0.4201,0.9583,-1.425,1.389,1.654,,,
down_5_plus,late_7_plus,45_50,1330,0.0068,0.009,0.009,0.3564,0.4045,0.3338,0.0203,-6.887,0.816,0.828,,,
down_5_plus,late_7_plus,50_55,1321,0.003,0.003,0.003,0.3656,0.4156,0.349,0.0189,-7.143,0.824,0.831,,,
down_1,late_7_plus,50_55,1278,0.1972,0.3177,0.2433,0.3318,0.3787,0.3177,0.9765,-1.013,0.844,0.845,,,
down_1,late_7_plus,45_50,1113,0.2282,0.3324,0.2579,0.3405,0.3881,0.3324,0.9748,-0.886,0.873,0.752,,,
down_1,f5_1_5,45_50,1046,0.3566,0.6176,0.4474,0.4455,0.6004,0.4943,0.9723,-1.03,1.413,1.342,,,
down_1,f5_1_5,50_55,1024,0.375,0.5879,0.4795,0.3818,0.5449,0.4434,0.9766,-0.871,1.348,1.371,,,
down_2,late_7_plus,50_55,952,0.0998,0.1544,0.1155,0.3445,0.4076,0.3256,0.3256,-2.044,0.88,0.919,,,
down_2,late_7_plus,45_50,946,0.111,0.1755,0.1237,0.3383,0.4091,0.3383,0.3383,-1.849,0.877,0.735,,,
down_5_plus,late_7_plus,55_60,917,0.0098,0.0142,0.0098,0.3751,0.4297,0.3653,0.0262,-7.144,0.916,0.887,,,
down_1,early_1_3,55_60,890,0.3393,0.5899,0.491,0.4124,0.5472,0.4202,0.9607,-1.721,1.393,1.58,,,
down_2,early_1_3,45_50,844,0.295,0.4964,0.4028,0.4893,0.6303,0.5166,0.5166,-2.084,1.586,1.588,,,
