avg_final_margin,avg_next_2_innings_opp_runs,avg_next_2_innings_team_runs,count,deficit_bucket,eventually_won_rate,gave_up_tie_or_lead_rate,held_to_win_rate,inning_bucket,lead_bucket,lead_cut_to_1_next_2_rate,lead_reduced_next_2_rate,note,offense_form_bucket,opponent_run_prevention_bucket,opponent_scored_next_1_inning_rate,opponent_scored_next_2_innings_rate,opponent_took_lead_later_rate,reduced_deficit_next_2_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,source,team_strength_bucket,tied_or_led_later_rate,took_lead_later_rate,within_1_next_2_rate
,,,5928,,0.3311,,,early_1_3,,,,high_score_next_2_rebound,,,,,,,0.3974,0.5633,response_after_allowed_by_inning.csv,,,,
1.244,1.4,1.546,5257,,,0.6371,0.6173,early_1_3,up_1,0.9583,0.4392,leader_under_pressure,,,0.4141,0.5632,0.5106,,,,lead_protection_by_lead_inning.csv,,,,
-1.244,1.546,1.4,5257,down_1,0.3827,,,early_1_3,,,,high_tie_or_lead_rebound,,,,,,0.4392,0.4141,0.5632,comeback_by_deficit_inning.csv,,0.6371,0.5106,0.9583
0.918,0.877,0.796,4144,,,0.3313,0.7734,late_7_plus,up_1,0.9718,0.3313,lead_collapse_watch,,,0.3448,0.3924,0.2599,,,,lead_protection_by_lead_inning.csv,,,,
1.059,1.362,1.445,3577,,,0.5801,0.6472,f5_1_5,up_1,0.9723,0.4507,leader_under_pressure,,,0.4082,0.5639,0.4476,,,,lead_protection_by_lead_inning.csv,,,,
-1.059,1.445,1.362,3577,down_1,0.3528,,,f5_1_5,,,,high_tie_or_lead_rebound,,,,,,0.4507,0.4082,0.5639,comeback_by_deficit_inning.csv,,0.5801,0.4476,0.9723
2.078,1.467,1.491,2917,,,0.505,0.7011,early_1_3,up_2,0.4758,0.4758,leader_under_pressure,,,0.432,0.5883,0.3949,,,,lead_protection_by_lead_inning.csv,,,,
-2.078,1.491,1.467,2917,down_2,0.2989,,,early_1_3,,,,high_tie_or_lead_rebound,,,,,,0.4758,0.432,0.5883,comeback_by_deficit_inning.csv,,0.505,0.3949,0.4758
2.101,1.447,1.452,2652,,,0.4163,0.7534,f5_1_5,up_2,0.4729,0.4729,leader_under_pressure,,,0.4427,0.592,0.3126,,,,lead_protection_by_lead_inning.csv,,,,
-2.101,1.452,1.447,2652,down_2,0.2466,,,f5_1_5,,,,high_tie_or_lead_rebound,,,,,,0.4729,0.4427,0.592,comeback_by_deficit_inning.csv,,0.4163,0.3126,0.4729
1.506,1.318,1.59,1916,,,0.6242,0.632,early_1_3,up_1,0.9635,0.4217,leader_under_pressure,,,0.3967,0.547,0.5037,,,,lead_protection_by_lead_inning_team_strength.csv,50_55,,,
6.724,1.375,1.583,1901,,,0.0631,0.9605,f5_1_5,up_5_plus,0.0568,0.4477,leader_under_pressure,,,0.3924,0.5692,0.0489,,,,lead_protection_by_lead_inning.csv,,,,
-6.724,1.583,1.375,1901,down_5_plus,0.0395,,,f5_1_5,,,,high_score_next_2_rebound,,,,,,0.4477,0.3924,0.5692,comeback_by_deficit_inning.csv,,0.0631,0.0489,0.0568
-0.875,1.452,1.439,1900,down_1,0.4105,,,early_1_3,,,,high_tie_or_lead_rebound,,,,,,0.4579,0.4153,0.5674,comeback_by_deficit_inning_strength.csv,50_55,0.6695,0.5221,0.9605
