game_pk,game_date,game_id,team,opponent,side,inning,inning_bucket,runs_allowed_on_event,team_score_after_allowed,opp_score_after_allowed,margin_after_allowed,scored_next_1_inning,scored_next_2_innings,eventually_won,team_strength_bucket,offense_form_bucket,l10_rpg_bucket
718780,2023-03-30,ATL@WSN,WSN,ATL,home,2,early_1_3,1,0,1,-1,1,1,0,50_55,50_55,missing
718780,2023-03-30,ATL@WSN,WSN,ATL,home,2,early_1_3,1,0,2,-2,1,1,0,50_55,50_55,missing
718780,2023-03-30,ATL@WSN,WSN,ATL,home,2,early_1_3,1,0,3,-3,1,1,0,50_55,50_55,missing
718780,2023-03-30,ATL@WSN,ATL,WSN,away,2,early_1_3,1,3,1,2,0,1,1,50_55,50_55,missing
718780,2023-03-30,ATL@WSN,WSN,ATL,home,4,f5_1_5,1,1,4,-3,1,1,0,50_55,50_55,missing
718780,2023-03-30,ATL@WSN,ATL,WSN,away,5,f5_1_5,1,4,2,2,0,0,1,50_55,50_55,missing
718780,2023-03-30,ATL@WSN,WSN,ATL,home,9,late_7_plus,2,2,6,-4,0,0,0,50_55,50_55,missing
718780,2023-03-30,ATL@WSN,WSN,ATL,home,9,late_7_plus,1,2,7,-5,0,0,0,50_55,50_55,missing
718781,2023-03-30,SF@NYY,SF,NYY,away,1,early_1_3,1,0,1,-1,0,0,0,50_55,50_55,missing
718781,2023-03-30,SF@NYY,SF,NYY,away,4,f5_1_5,2,0,3,-3,0,0,0,50_55,50_55,missing
718781,2023-03-30,SF@NYY,SF,NYY,away,7,late_7_plus,1,0,4,-4,0,0,0,50_55,50_55,missing
718781,2023-03-30,SF@NYY,SF,NYY,away,7,late_7_plus,1,0,5,-5,0,0,0,50_55,50_55,missing
718782,2023-03-30,BAL@BOS,BOS,BAL,home,1,early_1_3,1,0,1,-1,1,1,0,50_55,50_55,missing
718782,2023-03-30,BAL@BOS,BAL,BOS,away,1,early_1_3,1,1,1,0,0,0,1,50_55,50_55,missing
718782,2023-03-30,BAL@BOS,BOS,BAL,home,4,f5_1_5,2,1,3,-2,1,1,0,50_55,50_55,missing
718782,2023-03-30,BAL@BOS,BOS,BAL,home,4,f5_1_5,1,1,4,-3,1,1,0,50_55,50_55,missing
718782,2023-03-30,BAL@BOS,BOS,BAL,home,4,f5_1_5,1,1,5,-4,1,1,0,50_55,50_55,missing
718782,2023-03-30,BAL@BOS,BAL,BOS,away,4,f5_1_5,1,5,2,3,1,1,1,50_55,50_55,missing
718782,2023-03-30,BAL@BOS,BOS,BAL,home,5,f5_1_5,1,2,6,-4,1,1,0,50_55,50_55,missing
718782,2023-03-30,BAL@BOS,BOS,BAL,home,5,f5_1_5,2,2,8,-6,1,1,0,50_55,50_55,missing
718782,2023-03-30,BAL@BOS,BAL,BOS,away,6,middle_6,1,8,3,5,1,1,1,50_55,50_55,missing
718782,2023-03-30,BAL@BOS,BAL,BOS,away,6,middle_6,1,8,4,4,1,1,1,50_55,50_55,missing
718782,2023-03-30,BAL@BOS,BOS,BAL,home,7,late_7_plus,1,4,9,-5,1,1,0,50_55,50_55,missing
718782,2023-03-30,BAL@BOS,BOS,BAL,home,7,late_7_plus,1,4,10,-6,1,1,0,50_55,50_55,missing
718782,2023-03-30,BAL@BOS,BAL,BOS,away,8,late_7_plus,1,10,5,5,0,0,1,50_55,50_55,missing
718782,2023-03-30,BAL@BOS,BAL,BOS,away,8,late_7_plus,2,10,7,3,0,0,1,50_55,50_55,missing
718782,2023-03-30,BAL@BOS,BAL,BOS,away,9,late_7_plus,1,10,8,2,0,0,1,50_55,50_55,missing
718782,2023-03-30,BAL@BOS,BAL,BOS,away,9,late_7_plus,1,10,9,1,0,0,1,50_55,50_55,missing
718777,2023-03-30,MIL@CHC,MIL,CHC,away,3,early_1_3,2,0,2,-2,0,0,0,50_55,50_55,missing
718777,2023-03-30,MIL@CHC,MIL,CHC,away,3,early_1_3,1,0,3,-3,0,0,0,50_55,50_55,missing
