team,games,win_rate,runs_per_game,runs_allowed_per_game,f5_runs_per_game,post5_runs_per_game,trailing_state_win_rate,trailing_state_tie_or_lead_rate,trailing_state_score_next_2_rate,leading_state_hold_rate,leading_state_give_up_tie_or_lead_rate
ATH,162,0.3086,3.611,5.704,2.056,1.556,0.0918,0.2032,0.4389,0.6978,0.4423
ATL,166,0.6325,5.753,4.434,3.53,2.223,0.2824,0.4136,0.6008,0.8604,0.2541
AZ,179,0.5251,4.575,4.626,2.458,2.117,0.223,0.3358,0.538,0.8143,0.3102
BAL,165,0.6121,4.958,4.236,2.909,2.048,0.235,0.3696,0.5191,0.8691,0.2641
BOS,162,0.4815,4.765,4.79,2.58,2.185,0.1793,0.2888,0.5566,0.8633,0.262
CHC,162,0.5123,5.056,4.463,2.846,2.21,0.2013,0.3219,0.5098,0.8278,0.2834
CIN,162,0.5062,4.833,5.068,2.827,2.006,0.2452,0.329,0.5564,0.8001,0.314
CLE,162,0.4691,4.086,4.302,2.272,1.815,0.2255,0.3214,0.4927,0.737,0.366
COL,162,0.3642,4.451,5.907,2.451,2.0,0.1402,0.2476,0.5365,0.683,0.4406
CWS,162,0.3765,3.957,5.191,2.204,1.753,0.1106,0.2031,0.4492,0.6988,0.4056
DET,162,0.4815,4.08,4.568,2.315,1.765,0.1438,0.2594,0.4677,0.8514,0.2603
HOU,173,0.5549,5.087,4.335,2.792,2.295,0.2107,0.3034,0.5134,0.875,0.2338
KC,162,0.3457,4.173,5.302,2.358,1.815,0.0944,0.2174,0.4989,0.7715,0.3305
LAA,162,0.4506,4.562,5.117,2.79,1.772,0.1423,0.2929,0.5407,0.7769,0.3096
LAD,165,0.6061,5.527,4.352,2.988,2.539,0.2451,0.3596,0.5584,0.8639,0.2253
MIA,164,0.5122,4.073,4.476,2.165,1.909,0.2125,0.2637,0.4588,0.8094,0.3703
MIL,164,0.561,4.47,4.012,2.53,1.939,0.2392,0.3505,0.4522,0.8449,0.2608
MIN,168,0.5357,4.738,4.048,2.5,2.238,0.232,0.3456,0.5261,0.8429,0.2874
NYM,162,0.463,4.426,4.5,2.599,1.827,0.1342,0.273,0.4954,0.8177,0.2834
NYY,162,0.5062,4.154,4.309,2.37,1.784,0.1892,0.27,0.4869,0.8499,0.2375
PHI,175,0.56,4.897,4.263,2.766,2.131,0.2326,0.3811,0.5181,0.8539,0.2507
PIT,162,0.4691,4.272,4.877,2.463,1.809,0.1916,0.285,0.4718,0.8051,0.2747
SD,162,0.5062,4.642,4.0,2.71,1.932,0.1258,0.2296,0.478,0.7881,0.2829
SEA,162,0.5432,4.679,4.068,2.809,1.87,0.2118,0.3475,0.5257,0.8159,0.2657
SF,162,0.4877,4.16,4.438,2.16,2.0,0.1959,0.2749,0.4483,0.8019,0.3933
STL,162,0.4383,4.438,5.117,2.66,1.778,0.1187,0.2392,0.4847,0.7731,0.3635
TB,164,0.6037,5.25,4.122,3.0,2.25,0.2299,0.3162,0.5087,0.852,0.2949
TEX,179,0.5754,5.464,4.374,3.257,2.207,0.2064,0.3624,0.5118,0.832,0.2234
TOR,164,0.5427,4.555,4.122,2.415,2.14,0.1851,0.2972,0.5404,0.8407,0.2521
WSN,162,0.4383,4.321,5.216,2.426,1.895,0.1766,0.3073,0.5221,0.7908,0.3402
