deficit_bucket,inning_bucket,team_strength_bucket,count,eventually_won_rate,tied_or_led_later_rate,took_lead_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,avg_final_margin,avg_next_2_innings_team_runs,avg_next_2_innings_opp_runs,avg_post5_runs,avg_f5_total,avg_full_total
down_5_plus,late_7_plus,45_50,1568,0.0077,0.0096,0.0089,0.3265,0.3909,0.3176,0.0242,-6.77,0.809,0.737,,,
down_1,early_1_3,45_50,1563,0.3448,0.6116,0.4766,0.3781,0.5304,0.4063,0.9475,-1.344,1.248,1.52,,,
down_1,early_1_3,50_55,1483,0.3715,0.646,0.4916,0.3837,0.5327,0.4255,0.9548,-1.12,1.301,1.335,,,
down_5_plus,late_7_plus,50_55,1366,0.0037,0.0102,0.0102,0.3031,0.3382,0.2826,0.0242,-6.93,0.727,0.708,,,
down_1,late_7_plus,45_50,1354,0.24,0.3471,0.2733,0.3656,0.4151,0.3471,0.9764,-0.838,0.922,0.767,,,
down_1,f5_1_5,45_50,1161,0.3204,0.5711,0.4264,0.4074,0.5797,0.4384,0.9759,-1.199,1.305,1.389,,,
down_1,late_7_plus,50_55,1157,0.2195,0.3155,0.2325,0.3345,0.3803,0.3155,0.9723,-0.932,0.85,0.778,,,
down_1,f5_1_5,50_55,1061,0.3468,0.5401,0.4175,0.4166,0.5815,0.4185,0.9755,-1.096,1.386,1.395,,,
down_2,late_7_plus,45_50,1003,0.1196,0.1705,0.1376,0.3559,0.4217,0.3519,0.3519,-1.896,0.87,0.792,,,
down_2,late_7_plus,50_55,979,0.141,0.2022,0.145,0.3483,0.4035,0.3299,0.3299,-1.896,0.924,0.822,,,
down_2,early_1_3,45_50,951,0.2787,0.4911,0.3849,0.3628,0.5289,0.4196,0.4196,-2.09,1.266,1.295,,,
down_2,f5_1_5,45_50,923,0.2286,0.3911,0.3044,0.3944,0.5796,0.4442,0.4442,-2.108,1.376,1.421,,,
down_1,early_1_3,55_60,819,0.4151,0.6593,0.5116,0.4408,0.5971,0.4737,0.967,-0.785,1.487,1.508,,,
down_3,late_7_plus,45_50,817,0.0539,0.0796,0.0649,0.3231,0.3745,0.3121,0.164,-2.982,0.781,0.769,,,
down_2,early_1_3,50_55,775,0.2658,0.4374,0.3303,0.3871,0.5626,0.4039,0.4039,-2.382,1.292,1.372,,,
down_3,late_7_plus,50_55,772,0.0466,0.0751,0.0531,0.3497,0.408,0.3562,0.1399,-2.937,0.788,0.715,,,
down_2,f5_1_5,50_55,711,0.2461,0.3812,0.2883,0.4093,0.5471,0.4262,0.4262,-2.245,1.197,1.47,,,
down_5_plus,late_7_plus,55_60,690,0.0072,0.0072,0.0072,0.3478,0.4043,0.3493,0.0362,-6.5,0.941,0.714,,,
down_4,late_7_plus,45_50,656,0.0244,0.0351,0.032,0.3445,0.407,0.3628,0.0899,-3.988,0.835,0.832,,,
down_4,late_7_plus,50_55,649,0.0247,0.0401,0.0247,0.2881,0.3297,0.2804,0.0632,-4.094,0.661,0.747,,,
down_5_plus,late_7_plus,40_45,646,0.0,0.0062,0.0,0.3375,0.4071,0.3251,0.017,-6.924,0.797,0.726,,,
down_1,early_1_3,40_45,631,0.3027,0.5499,0.4089,0.3819,0.5055,0.3851,0.954,-1.815,1.195,1.734,,,
down_3,f5_1_5,45_50,629,0.1526,0.248,0.1812,0.4277,0.5692,0.4515,0.2687,-3.391,1.39,1.649,,,
down_1,late_7_plus,55_60,587,0.2436,0.3543,0.2624,0.3578,0.4123,0.3543,0.9796,-0.709,0.974,0.687,,,
down_5_plus,f5_1_5,45_50,569,0.0527,0.0598,0.0598,0.3638,0.4956,0.4007,0.0316,-6.271,1.028,1.506,,,
down_5_plus,late_7_plus,lt_40,548,0.0274,0.0347,0.0274,0.3595,0.4015,0.3412,0.042,-6.44,0.991,0.706,,,
down_1,f5_1_5,55_60,546,0.3901,0.6172,0.4835,0.4304,0.5788,0.4945,0.9634,-0.778,1.504,1.388,,,
down_5_plus,f5_1_5,50_55,532,0.0263,0.0489,0.032,0.3816,0.5169,0.4079,0.0451,-6.75,1.273,1.645,,,
down_1,early_1_3,lt_40,524,0.2844,0.6508,0.4752,0.3607,0.542,0.3817,0.9561,-1.847,1.067,1.468,,,
down_1,middle_6,45_50,520,0.3346,0.5327,0.4115,0.4192,0.5808,0.4673,0.9846,-0.844,1.298,1.167,,,
down_3,early_1_3,45_50,504,0.2163,0.3313,0.246,0.3651,0.5278,0.4067,0.2202,-3.2,1.272,1.498,,,
down_3,f5_1_5,50_55,493,0.1217,0.213,0.1542,0.3834,0.5254,0.3874,0.2231,-3.568,1.187,1.568,,,
down_2,late_7_plus,55_60,483,0.1201,0.1739,0.1325,0.2961,0.3354,0.2754,0.2754,-1.826,0.756,0.602,,,
down_1,middle_6,50_55,469,0.3006,0.4243,0.3369,0.3369,0.5181,0.3817,0.9787,-1.241,1.104,1.384,,,
down_5_plus,middle_6,45_50,466,0.0172,0.0215,0.0193,0.3841,0.5386,0.4421,0.0258,-6.38,1.185,1.315,,,
down_2,early_1_3,55_60,451,0.2528,0.4989,0.337,0.3858,0.5654,0.4612,0.4612,-1.987,1.455,1.601,,,
down_1,late_7_plus,40_45,411,0.2433,0.3212,0.253,0.3528,0.4282,0.3212,0.9708,-0.949,0.891,0.842,,,
down_2,middle_6,45_50,411,0.2068,0.3382,0.2506,0.472,0.5596,0.4793,0.4793,-1.966,1.217,1.309,,,
