game_pk,game_date,game_id,away_abbr,home_abbr,f5_away,f5_home,f5_total,post5_runs,full_total,f5_low_0_3,f5_high_6_plus,post5_high_4_plus,full_over_8_5_proxy,f5_low_then_full_over_proxy,f5_high_then_stall_proxy
745444,2024-03-20,LAD@SD,LAD,SD,1,2,3,4,7,1,0,1,0,0,0
747885,2024-03-20,TOR@ATL,TOR,ATL,5,5,10,9,19,0,1,1,1,0,0
747889,2024-03-20,DET@MIN,DET,MIN,8,0,8,7,15,0,1,1,1,0,0
747888,2024-03-20,NYM@MIA,NYM,MIA,3,2,5,4,9,0,0,1,1,0,0
747878,2024-03-20,TEX@CIN,TEX,CIN,7,1,8,1,9,0,1,0,1,0,1
747879,2024-03-20,CIN@CWS,CIN,CWS,1,1,2,2,4,1,0,0,0,0,0
747882,2024-03-20,CHC@ATH,CHC,ATH,0,3,3,1,4,1,0,0,0,0,0
747880,2024-03-20,COL@AZ,COL,AZ,0,3,3,3,6,1,0,0,0,0,0
747881,2024-03-20,SF@LAA,SF,LAA,1,1,2,5,7,1,0,1,0,0,0
747884,2024-03-20,PHI@BAL,PHI,BAL,1,7,8,9,17,0,1,1,1,0,0
747886,2024-03-20,STL@WSN,STL,WSN,9,3,12,5,17,0,1,1,1,0,0
747887,2024-03-20,PIT@NYY,PIT,NYY,0,9,9,3,12,0,1,0,1,0,0
747883,2024-03-20,LAA@KC,LAA,KC,7,7,14,2,16,0,1,0,1,0,1
746175,2024-03-21,SD@LAD,SD,LAD,10,8,18,8,26,0,1,1,1,0,0
747870,2024-03-21,NYY@ATL,NYY,ATL,2,3,5,2,7,0,0,0,0,0,0
747872,2024-03-21,MIN@WSN,MIN,WSN,4,7,11,6,17,0,1,1,1,0,0
747874,2024-03-21,TB@PHI,TB,PHI,3,1,4,7,11,0,0,1,1,0,0
747875,2024-03-21,NYM@DET,NYM,DET,3,4,7,8,15,0,1,1,1,0,0
747876,2024-03-21,HOU@STL,HOU,STL,2,1,3,7,10,1,0,1,1,1,0
747865,2024-03-21,CWS@KC,CWS,KC,1,3,4,2,6,0,0,0,0,0,0
747868,2024-03-21,KC@CLE,KC,CLE,3,5,8,5,13,0,1,1,1,0,0
747869,2024-03-21,CHC@COL,CHC,COL,1,2,3,4,7,1,0,1,0,0,0
747873,2024-03-21,TOR@PIT,TOR,PIT,3,1,4,1,5,0,0,0,0,0,0
747877,2024-03-21,BAL@BOS,BAL,BOS,0,1,1,4,5,1,0,1,0,0,0
747867,2024-03-21,SF@MIL,SF,MIL,7,0,7,6,13,0,1,1,1,0,0
747871,2024-03-21,CIN@SEA,CIN,SEA,3,3,6,7,13,0,1,1,1,0,0
747863,2024-03-22,NYM@NYY,NYM,NYY,3,2,5,3,8,0,0,0,0,0,0
747864,2024-03-22,DET@PHI,DET,PHI,0,1,1,6,7,1,0,1,0,0,0
747866,2024-03-22,BOS@TOR,BOS,TOR,1,3,4,2,6,0,0,0,0,0,0
747849,2024-03-22,TEX@CLE,TEX,CLE,0,10,10,0,10,0,1,0,1,0,1
747852,2024-03-22,SF@CHC,SF,CHC,7,1,8,2,10,0,1,0,1,0,1
747853,2024-03-22,ATH@CWS,ATH,CWS,1,8,9,1,10,0,1,0,1,0,1
747855,2024-03-22,CIN@ATH,CIN,ATH,1,2,3,11,14,1,0,1,1,1,0
747856,2024-03-22,COL@TEX,COL,TEX,0,0,0,5,5,1,0,1,0,0,0
747857,2024-03-22,CHC@SF,CHC,SF,12,10,22,3,25,0,1,0,1,0,0
747848,2024-03-22,MIL@SEA,MIL,SEA,2,3,5,3,8,0,0,0,0,0,0
747850,2024-03-22,CWS@LAA,CWS,LAA,0,1,1,1,2,1,0,0,0,0,0
747851,2024-03-22,SEA@AZ,SEA,AZ,1,1,2,4,6,1,0,1,0,0,0
747854,2024-03-22,KC@MIL,KC,MIL,2,7,9,7,16,0,1,1,1,0,0
747837,2024-03-23,PHI@NYY,PHI,NYY,6,2,8,4,12,0,1,1,1,0,0
747839,2024-03-23,NYY@DET,NYY,DET,5,8,13,4,17,0,1,1,1,0,0
747842,2024-03-23,TB@ATL,TB,ATL,3,1,4,3,7,0,0,0,0,0,0
747843,2024-03-23,WSN@STL,WSN,STL,1,0,1,3,4,1,0,0,0,0,0
747846,2024-03-23,BOS@PIT,BOS,PIT,1,0,1,4,5,1,0,1,0,0,0
747847,2024-03-23,BAL@TB,BAL,TB,3,0,3,7,10,1,0,1,1,1,0
747845,2024-03-23,DET@TOR,DET,TOR,8,7,15,2,17,0,1,0,1,0,1
747844,2024-03-23,HOU@NYM,HOU,NYM,8,1,9,9,18,0,1,1,1,0,0
747831,2024-03-23,TEX@KC,TEX,KC,1,0,1,1,2,1,0,0,0,0,0
747836,2024-03-23,LAA@ATH,LAA,ATH,2,7,9,7,16,0,1,1,1,0,0
747830,2024-03-23,MIL@CHC,MIL,CHC,0,1,1,10,11,1,0,1,1,1,0
747832,2024-03-23,SEA@CWS,SEA,CWS,7,0,7,3,10,0,1,0,1,0,0
747834,2024-03-23,COL@CIN,COL,CIN,2,6,8,0,8,0,1,0,0,0,1
747835,2024-03-23,AZ@SF,AZ,SF,10,5,15,1,16,0,1,0,1,0,1
747833,2024-03-23,CLE@AZ,CLE,AZ,5,0,5,0,5,0,0,0,0,0,0
747838,2024-03-23,MIA@WSN,MIA,WSN,5,3,8,0,8,0,1,0,0,0,1
747840,2024-03-23,TOR@BAL,TOR,BAL,2,2,4,1,5,0,0,0,0,0,0
747841,2024-03-23,MIN@BOS,MIN,BOS,3,3,6,8,14,0,1,1,1,0,0
747825,2024-03-24,STL@HOU,STL,HOU,0,7,7,6,13,0,1,1,1,0,0
747821,2024-03-24,NYY@PIT,NYY,PIT,1,0,1,0,1,1,0,0,0,0,0
747823,2024-03-24,TOR@PHI,TOR,PHI,0,2,2,0,2,1,0,0,0,0,0
747824,2024-03-24,ATL@BOS,ATL,BOS,5,4,9,1,10,0,1,0,1,0,1
747826,2024-03-24,TB@DET,TB,DET,2,2,4,1,5,0,0,0,0,0,0
747828,2024-03-24,BAL@MIN,BAL,MIN,2,2,4,7,11,0,0,1,1,0,0
747827,2024-03-24,NYM@MIA,NYM,MIA,1,3,4,2,6,0,0,0,0,0,0
747829,2024-03-24,WSN@NYM,WSN,NYM,1,6,7,4,11,0,1,1,1,0,0
747818,2024-03-24,CLE@CIN,CLE,CIN,2,6,8,9,17,0,1,1,1,0,0
747817,2024-03-24,CWS@COL,CWS,COL,1,1,2,8,10,1,0,1,1,1,0
747819,2024-03-24,CHC@SEA,CHC,SEA,3,5,8,10,18,0,1,1,1,0,0
747820,2024-03-24,AZ@MIL,AZ,MIL,2,8,10,8,18,0,1,1,1,0,0
747822,2024-03-24,LAA@LAD,LAA,LAD,0,4,4,4,8,0,0,1,0,0,0
747816,2024-03-25,TB@PHI,TB,PHI,2,3,5,4,9,0,0,1,1,0,0
747813,2024-03-25,MIN@ATL,MIN,ATL,0,4,4,0,4,0,0,0,0,0,0
747815,2024-03-25,TOR@PIT,TOR,PIT,2,4,6,1,7,0,1,0,0,0,1
748868,2024-03-25,NYM@NYY,NYM,NYY,0,2,2,1,3,1,0,0,0,0,0
748338,2024-03-25,STL@CHC,STL,CHC,1,3,4,5,9,0,0,1,1,0,0
747810,2024-03-25,COL@MIL,COL,MIL,0,4,4,7,11,0,0,1,1,0,0
747812,2024-03-25,BOS@TEX,BOS,TEX,4,1,5,6,11,0,0,1,1,0,0
747811,2024-03-25,LAA@LAD,LAA,LAD,4,0,4,2,6,0,0,0,0,0,0
747807,2024-03-25,SF@ATH,SF,ATH,4,0,4,1,5,0,0,0,0,0,0
747808,2024-03-25,SEA@SD,SEA,SD,3,1,4,1,5,0,0,0,0,0,0
747809,2024-03-25,CLE@AZ,CLE,AZ,0,5,5,1,6,0,0,0,0,0,0
747806,2024-03-26,DET@TB,DET,TB,0,1,1,5,6,1,0,1,0,0,0
747804,2024-03-26,ATL@MIN,ATL,MIN,6,4,10,5,15,0,1,1,1,0,0
747802,2024-03-26,BOS@TEX,BOS,TEX,2,0,2,3,5,1,0,0,0,0,0
748339,2024-03-26,STL@CHC,STL,CHC,4,1,5,4,9,0,0,1,1,0,0
747798,2024-03-26,MIL@COL,MIL,COL,1,4,5,2,7,0,0,0,0,0,0
747803,2024-03-26,CLE@AZ,CLE,AZ,1,3,4,3,7,0,0,0,0,0,0
747799,2024-03-26,SEA@SD,SEA,SD,3,2,5,8,13,0,0,1,1,0,0
747800,2024-03-26,ATH@SF,ATH,SF,2,0,2,2,4,1,0,0,0,0,0
747801,2024-03-26,LAD@LAA,LAD,LAA,2,3,5,2,7,0,0,0,0,0,0
747060,2024-03-28,LAA@BAL,LAA,BAL,1,7,8,6,14,0,1,1,1,0,0
745116,2024-03-28,TOR@TB,TOR,TB,1,1,2,8,10,1,0,1,1,1,0
745445,2024-03-28,SF@SD,SF,SD,1,2,3,7,10,1,0,1,1,1,0
746089,2024-03-28,PIT@MIA,PIT,MIA,2,5,7,4,11,0,1,1,1,0,0
746165,2024-03-28,STL@LAD,STL,LAD,1,5,6,2,8,0,1,0,0,0,1
746335,2024-03-28,MIN@KC,MIN,KC,2,1,3,2,5,1,0,0,0,0,0
746418,2024-03-28,NYY@HOU,NYY,HOU,3,4,7,2,9,0,1,0,1,0,1
746737,2024-03-28,WSN@CIN,WSN,CIN,0,7,7,3,10,0,1,0,1,0,0
746821,2024-03-28,DET@CWS,DET,CWS,1,0,1,0,1,1,0,0,0,0,0
745039,2024-03-28,CHC@TEX,CHC,TEX,1,1,2,5,7,1,0,1,0,0,0
745687,2024-03-28,CLE@ATH,CLE,ATH,6,0,6,2,8,0,1,0,0,0,1
745283,2024-03-28,BOS@SEA,BOS,SEA,4,2,6,4,10,0,1,1,1,0,0
747224,2024-03-28,COL@AZ,COL,AZ,1,16,17,0,17,0,1,0,1,0,1
745848,2024-03-29,MIL@NYM,MIL,NYM,2,1,3,1,4,1,0,0,0,0,0
745604,2024-03-29,ATL@PHI,ATL,PHI,0,2,2,10,12,1,0,1,1,1,0
745117,2024-03-29,TOR@TB,TOR,TB,1,5,6,4,10,0,1,1,1,0,0
746091,2024-03-29,PIT@MIA,PIT,MIA,4,1,5,4,9,0,0,1,1,0,0
746412,2024-03-29,NYY@HOU,NYY,HOU,0,1,1,7,8,1,0,1,0,0,0
745276,2024-03-29,BOS@SEA,BOS,SEA,0,0,0,1,1,1,0,0,0,0,0
745435,2024-03-29,SF@SD,SF,SD,4,1,5,6,11,0,0,1,1,0,0
745682,2024-03-29,CLE@ATH,CLE,ATH,5,2,7,3,10,0,1,0,1,0,0
747223,2024-03-29,COL@AZ,COL,AZ,1,3,4,6,10,0,0,1,1,0,0
746167,2024-03-29,STL@LAD,STL,LAD,0,5,5,4,9,0,0,1,1,0,0
745850,2024-03-30,MIL@NYM,MIL,NYM,6,2,8,5,13,0,1,1,1,0,0
746818,2024-03-30,DET@CWS,DET,CWS,4,6,10,3,13,0,1,0,1,0,0
745599,2024-03-30,ATL@PHI,ATL,PHI,7,4,11,5,16,0,1,1,1,0,0
747063,2024-03-30,LAA@BAL,LAA,BAL,1,3,4,13,17,0,0,1,1,0,0
745684,2024-03-30,CLE@ATH,CLE,ATH,7,3,10,5,15,0,1,1,1,0,0
745119,2024-03-30,TOR@TB,TOR,TB,0,3,3,3,6,1,0,0,0,0,0
746087,2024-03-30,PIT@MIA,PIT,MIA,5,2,7,5,12,0,1,1,1,0,0
746333,2024-03-30,MIN@KC,MIN,KC,0,0,0,6,6,1,0,1,0,0,0
746736,2024-03-30,WSN@CIN,WSN,CIN,2,4,6,7,13,0,1,1,1,0,0
745037,2024-03-30,CHC@TEX,CHC,TEX,2,5,7,6,13,0,1,1,1,0,0
745436,2024-03-30,SF@SD,SF,SD,3,0,3,12,15,1,0,1,1,1,0
746410,2024-03-30,NYY@HOU,NYY,HOU,1,3,4,4,8,0,0,1,0,0,0
747221,2024-03-30,COL@AZ,COL,AZ,7,4,11,2,13,0,1,0,1,0,1
746168,2024-03-30,STL@LAD,STL,LAD,0,2,2,9,11,1,0,1,1,1,0
745278,2024-03-30,BOS@SEA,BOS,SEA,1,1,2,5,7,1,0,1,0,0,0
745602,2024-03-31,ATL@PHI,ATL,PHI,3,2,5,4,9,0,0,1,1,0,0
747062,2024-03-31,LAA@BAL,LAA,BAL,4,1,5,0,5,0,0,0,0,0,0
745115,2024-03-31,TOR@TB,TOR,TB,7,1,8,3,11,0,1,0,1,0,0
745845,2024-03-31,MIL@NYM,MIL,NYM,3,1,4,1,5,0,0,0,0,0,0
746090,2024-03-31,PIT@MIA,PIT,MIA,4,6,10,6,16,0,1,1,1,0,0
746739,2024-03-31,WSN@CIN,WSN,CIN,3,3,6,5,11,0,1,1,1,0,0
746332,2024-03-31,MIN@KC,MIN,KC,0,10,10,1,11,0,1,0,1,0,1
746413,2024-03-31,NYY@HOU,NYY,HOU,3,1,4,3,7,0,0,0,0,0,0
746815,2024-03-31,DET@CWS,DET,CWS,2,1,3,2,5,1,0,0,0,0,0
745035,2024-03-31,CHC@TEX,CHC,TEX,5,5,10,4,14,0,1,1,1,0,0
745683,2024-03-31,CLE@ATH,CLE,ATH,0,3,3,4,7,1,0,1,0,0,0
745279,2024-03-31,BOS@SEA,BOS,SEA,4,1,5,1,6,0,0,0,0,0,0
745438,2024-03-31,SF@SD,SF,SD,2,12,14,3,17,0,1,0,1,0,0
747222,2024-03-31,COL@AZ,COL,AZ,1,5,6,0,6,0,1,0,0,0,1
746166,2024-03-31,STL@LAD,STL,LAD,2,0,2,7,9,1,0,1,1,1,0
746817,2024-04-01,ATL@CWS,ATL,CWS,4,0,4,5,9,0,0,1,1,0,0
746899,2024-04-01,COL@CHC,COL,CHC,0,0,0,5,5,1,0,1,0,0,0
744875,2024-04-01,PIT@WSN,PIT,WSN,2,1,3,9,12,1,0,1,1,1,0
747058,2024-04-01,KC@BAL,KC,BAL,3,3,6,4,10,0,1,1,1,0,0
745600,2024-04-01,CIN@PHI,CIN,PHI,0,2,2,7,9,1,0,1,1,1,0
746085,2024-04-01,LAA@MIA,LAA,MIA,2,4,6,5,11,0,1,1,1,0,0
745109,2024-04-01,TEX@TB,TEX,TB,3,0,3,9,12,1,0,1,1,1,0
745842,2024-04-01,DET@NYM,DET,NYM,0,0,0,5,5,1,0,1,0,0,0
746409,2024-04-01,TOR@HOU,TOR,HOU,0,5,5,5,10,0,0,1,1,0,0
745277,2024-04-01,CLE@SEA,CLE,SEA,2,5,7,2,9,0,1,0,1,0,1
745437,2024-04-01,STL@SD,STL,SD,4,1,5,3,8,0,0,0,0,0,0
745675,2024-04-01,BOS@ATH,BOS,ATH,8,0,8,1,9,0,1,0,1,0,1
747218,2024-04-01,NYY@AZ,NYY,AZ,5,1,6,1,7,0,1,0,0,0,1
746170,2024-04-01,SF@LAD,SF,LAD,0,3,3,8,11,1,0,1,1,1,0
746009,2024-04-02,MIN@MIL,MIN,MIL,1,3,4,1,5,0,0,0,0,0,0
747057,2024-04-02,KC@BAL,KC,BAL,4,1,5,0,5,0,0,0,0,0,0
745598,2024-04-02,CIN@PHI,CIN,PHI,1,2,3,10,13,1,0,1,1,1,0
746086,2024-04-02,LAA@MIA,LAA,MIA,1,0,1,3,4,1,0,0,0,0,0
745111,2024-04-02,TEX@TB,TEX,TB,0,5,5,2,7,0,0,0,0,0,0
746814,2024-04-02,ATL@CWS,ATL,CWS,0,0,0,5,5,1,0,1,0,0,0
746898,2024-04-02,COL@CHC,COL,CHC,0,7,7,7,14,0,1,1,1,0,0
746411,2024-04-02,TOR@HOU,TOR,HOU,0,1,1,2,3,1,0,0,0,0,0
745273,2024-04-02,CLE@SEA,CLE,SEA,4,0,4,3,7,0,0,0,0,0,0
745439,2024-04-02,STL@SD,STL,SD,1,2,3,4,7,1,0,1,0,0,0
745680,2024-04-02,BOS@ATH,BOS,ATH,3,4,7,2,9,0,1,0,1,0,1
747220,2024-04-02,NYY@AZ,NYY,AZ,0,3,3,4,7,1,0,1,0,0,0
746169,2024-04-02,SF@LAD,SF,LAD,2,5,7,2,9,0,1,0,1,0,1
747059,2024-04-03,KC@BAL,KC,BAL,2,0,2,5,7,1,0,1,0,0,0
745114,2024-04-03,TEX@TB,TEX,TB,0,0,0,5,5,1,0,1,0,0,0
746008,2024-04-03,MIN@MIL,MIN,MIL,1,3,4,6,10,0,0,1,1,0,0
746083,2024-04-03,LAA@MIA,LAA,MIA,6,2,8,4,12,0,1,1,1,0,0
745678,2024-04-03,BOS@ATH,BOS,ATH,1,0,1,0,1,1,0,0,0,0,0
747219,2024-04-03,NYY@AZ,NYY,AZ,2,2,4,7,11,0,0,1,1,0,0
745603,2024-04-03,CIN@PHI,CIN,PHI,2,0,2,3,5,1,0,0,0,0,0
745275,2024-04-03,CLE@SEA,CLE,SEA,8,0,8,0,8,0,1,0,0,0,1
745440,2024-04-03,STL@SD,STL,SD,1,3,4,1,5,0,0,0,0,0,0
744869,2024-04-03,PIT@WSN,PIT,WSN,2,4,6,2,8,0,1,0,0,0,1
746900,2024-04-03,COL@CHC,COL,CHC,0,5,5,12,17,0,0,1,1,0,0
746407,2024-04-03,TOR@HOU,TOR,HOU,0,4,4,4,8,0,0,1,0,0,0
746163,2024-04-03,SF@LAD,SF,LAD,1,4,5,4,9,0,0,1,1,0,0
745844,2024-04-04,DET@NYM,DET,NYM,0,3,3,6,9,1,0,1,1,1,0
745843,2024-04-04,DET@NYM,DET,NYM,1,0,1,2,3,1,0,0,0,0,0
744870,2024-04-04,PIT@WSN,PIT,WSN,7,2,9,2,11,0,1,0,1,0,1
745928,2024-04-04,CLE@MIN,CLE,MIN,3,1,4,2,6,0,0,0,0,0,0
745200,2024-04-04,MIA@STL,MIA,STL,4,3,7,6,13,0,1,1,1,0,0
746327,2024-04-04,CWS@KC,CWS,KC,0,2,2,9,11,1,0,1,1,1,0
745764,2024-04-05,TOR@NYY,TOR,NYY,0,0,0,3,3,1,0,0,0,0,0
