lead_bucket,inning_bucket,count,held_to_win_rate,gave_up_tie_or_lead_rate,opponent_took_lead_later_rate,opponent_scored_next_1_inning_rate,opponent_scored_next_2_innings_rate,lead_reduced_next_2_rate,lead_cut_to_1_next_2_rate,avg_final_margin,avg_next_2_innings_team_runs,avg_next_2_innings_opp_runs,avg_post5_runs,avg_f5_total,avg_full_total
up_1,early_1_3,5340,0.6382,0.6305,0.4843,0.3964,0.5468,0.4255,0.9541,1.248,1.478,1.308,,,
up_5_plus,late_7_plus,5053,0.9927,0.0113,0.0095,0.3275,0.3794,0.3137,0.0263,6.782,0.723,0.819,,,
up_1,late_7_plus,4150,0.7598,0.3383,0.2547,0.3525,0.4051,0.3383,0.974,0.868,0.772,0.897,,,
up_1,f5_1_5,3704,0.6547,0.5702,0.4271,0.4023,0.5664,0.4355,0.9754,1.137,1.398,1.331,,,
up_2,late_7_plus,3327,0.8744,0.1776,0.1335,0.3408,0.3956,0.3267,0.3267,1.92,0.779,0.849,,,
up_2,early_1_3,3030,0.7429,0.4502,0.3376,0.3835,0.5419,0.4145,0.4145,2.34,1.462,1.283,,,
up_2,f5_1_5,2806,0.7744,0.3553,0.2776,0.3813,0.5474,0.4195,0.4195,2.326,1.482,1.211,,,
up_3,late_7_plus,2744,0.953,0.0678,0.0521,0.3287,0.3812,0.32,0.1396,3.009,0.747,0.738,,,
up_4,late_7_plus,2139,0.9715,0.0383,0.0299,0.323,0.3806,0.3249,0.0827,3.992,0.772,0.78,,,
up_3,f5_1_5,1931,0.8674,0.2258,0.1605,0.392,0.5298,0.4247,0.2496,3.444,1.567,1.257,,,
up_5_plus,f5_1_5,1894,0.9498,0.0692,0.0597,0.3685,0.5148,0.4197,0.0533,6.3,1.494,1.243,,,
up_3,early_1_3,1634,0.8237,0.2803,0.2118,0.4002,0.5532,0.4278,0.2301,3.449,1.572,1.277,,,
up_1,middle_6,1608,0.658,0.51,0.3968,0.3943,0.5647,0.449,0.9826,0.944,1.323,1.302,,,
up_5_plus,middle_6,1412,0.9816,0.0269,0.0227,0.3817,0.5163,0.4256,0.0276,6.606,1.443,1.227,,,
up_2,middle_6,1291,0.7885,0.3238,0.2455,0.4361,0.5655,0.4547,0.4547,2.007,1.447,1.288,,,
up_4,f5_1_5,1221,0.914,0.1532,0.1106,0.3931,0.5569,0.4398,0.1507,4.172,1.459,1.337,,,
up_3,middle_6,1020,0.902,0.1539,0.1206,0.4118,0.5363,0.4275,0.2392,3.127,1.467,1.195,,,
up_5_plus,early_1_3,822,0.8881,0.135,0.1229,0.4161,0.573,0.4672,0.0389,6.035,1.476,1.398,,,
up_4,early_1_3,803,0.8829,0.1918,0.1532,0.3873,0.5268,0.4247,0.1108,4.423,1.513,1.217,,,
up_4,middle_6,724,0.9282,0.1077,0.076,0.4268,0.5359,0.4448,0.1367,4.128,1.384,1.236,,,
