lead_bucket,inning_bucket,team_strength_bucket,count,held_to_win_rate,gave_up_tie_or_lead_rate,opponent_took_lead_later_rate,opponent_scored_next_1_inning_rate,opponent_scored_next_2_innings_rate,lead_reduced_next_2_rate,lead_cut_to_1_next_2_rate,avg_final_margin,avg_next_2_innings_team_runs,avg_next_2_innings_opp_runs,avg_post5_runs,avg_f5_total,avg_full_total
up_1,early_1_3,50_55,1673,0.6449,0.6276,0.4877,0.3652,0.5206,0.3981,0.9564,1.462,1.498,1.224,,,
up_5_plus,late_7_plus,50_55,1638,0.9969,0.0061,0.0061,0.2918,0.3407,0.2894,0.014,7.044,0.697,0.683,,,
up_1,early_1_3,45_50,1583,0.6361,0.6374,0.4738,0.4188,0.5698,0.4542,0.9514,1.13,1.454,1.377,,,
up_5_plus,late_7_plus,45_50,1471,0.9912,0.0129,0.0129,0.3419,0.4038,0.3467,0.0374,6.443,0.693,0.953,,,
up_1,late_7_plus,45_50,1282,0.7839,0.2956,0.234,0.3237,0.3658,0.2956,0.9727,0.945,0.764,0.81,,,
up_1,f5_1_5,50_55,1155,0.6693,0.5688,0.4381,0.4312,0.5913,0.4623,0.9732,1.298,1.461,1.396,,,
up_1,late_7_plus,50_55,1148,0.7918,0.3066,0.2282,0.3528,0.3972,0.3066,0.9721,0.976,0.878,0.889,,,
up_1,f5_1_5,45_50,1128,0.6543,0.5532,0.4069,0.3865,0.5443,0.4176,0.9725,1.076,1.353,1.262,,,
up_2,late_7_plus,45_50,1070,0.8738,0.157,0.1308,0.3243,0.3897,0.3374,0.3374,1.841,0.633,0.771,,,
up_5_plus,late_7_plus,55_60,975,0.9959,0.0092,0.0041,0.3662,0.4082,0.321,0.0236,6.826,0.756,0.863,,,
up_2,late_7_plus,50_55,971,0.8795,0.1874,0.1298,0.3502,0.3975,0.309,0.309,2.094,0.963,0.875,,,
up_2,early_1_3,45_50,915,0.7377,0.4689,0.3432,0.3814,0.5563,0.4197,0.4197,2.209,1.413,1.308,,,
up_2,early_1_3,50_55,885,0.7672,0.4102,0.3198,0.3695,0.5028,0.3921,0.3921,2.577,1.44,1.227,,,
up_1,early_1_3,55_60,879,0.7224,0.554,0.4187,0.3857,0.5154,0.3982,0.9602,1.932,1.611,1.228,,,
up_3,late_7_plus,45_50,856,0.9603,0.0607,0.0456,0.3318,0.3914,0.3446,0.1484,2.994,0.71,0.718,,,
up_2,f5_1_5,45_50,850,0.8082,0.3271,0.2518,0.3906,0.5306,0.3871,0.3871,2.353,1.447,1.175,,,
up_2,f5_1_5,50_55,827,0.7811,0.3519,0.2793,0.3519,0.5345,0.4268,0.4268,2.446,1.474,1.197,,,
up_3,late_7_plus,50_55,824,0.9697,0.0534,0.04,0.318,0.3701,0.3204,0.1153,3.142,0.818,0.677,,,
up_4,late_7_plus,50_55,687,0.9825,0.0306,0.0189,0.294,0.3377,0.2809,0.0553,4.173,0.83,0.662,,,
up_4,late_7_plus,45_50,658,0.962,0.0441,0.041,0.3313,0.4043,0.3541,0.1109,3.83,0.688,0.857,,,
up_1,late_7_plus,55_60,638,0.779,0.3652,0.2476,0.3636,0.4232,0.3652,0.9655,1.008,0.834,0.859,,,
up_5_plus,f5_1_5,50_55,623,0.9518,0.0594,0.0594,0.3596,0.5169,0.3884,0.0353,6.82,1.623,1.212,,,
up_3,f5_1_5,45_50,599,0.8731,0.197,0.1436,0.4057,0.5359,0.4174,0.2254,3.442,1.578,1.17,,,
up_5_plus,f5_1_5,45_50,572,0.9528,0.0734,0.0542,0.4056,0.5402,0.4703,0.0629,5.747,1.397,1.392,,,
up_1,f5_1_5,55_60,557,0.7451,0.5278,0.3393,0.3698,0.5135,0.3896,0.9803,1.849,1.553,1.169,,,
up_3,f5_1_5,50_55,554,0.8773,0.2347,0.1643,0.3899,0.5487,0.4332,0.2473,3.588,1.601,1.294,,,
up_2,late_7_plus,55_60,521,0.8752,0.1574,0.1363,0.3071,0.3666,0.2802,0.2802,2.052,0.912,0.82,,,
up_3,early_1_3,45_50,509,0.8271,0.2731,0.2161,0.4067,0.5658,0.446,0.2318,3.143,1.454,1.267,,,
up_2,early_1_3,55_60,506,0.7747,0.4032,0.3063,0.3834,0.5296,0.3972,0.3972,2.988,1.632,1.168,,,
up_1,middle_6,45_50,483,0.7039,0.4617,0.3499,0.3665,0.5259,0.4265,0.9772,1.263,1.424,1.178,,,
