game_date,game_id,game_pk,away_team,home_team,away_pitcher,home_pitcher,opening_ml,opening_no_vig_prob,current_kalshi_mid,brain_calib_prob,brain_edge_vs_open_pp,opp_weakness_bucket,opp_weakness_reason,side_score,status,status_reason,max_entry_prob,max_entry_ml,clv_close_prob,clv_pp,result,paper_pl_per_100
2023-04-03,SF@CWS,,SF,CWS,A. DeSclafani,M. Kopech,-125,0.5559,,0.6039,4.8,lt_40,opponent_strength_bucket=lt_40,0.4306,paper_eligible,"Opening price 55.6% ≤ 68.0% threshold, ≥2.5pp buffer below max entry",0.705,-239,0.5565,0.06,LOSS,-55.59
2023-04-03,DET@HOU,,DET,HOU,M. Boyd,H. Brown,-211,0.6786,,0.6039,-7.47,lt_40,opponent_strength_bucket=lt_40,0.8971,paper_eligible,"Opening price 67.9% ≤ 68.0% threshold, ≥2.5pp buffer below max entry",0.705,-239,0.6804,0.18,LOSS,-67.86
2023-04-04,AZ@SD,,AZ,SD,Z. Gallen,Y. Darvish,-126,0.5573,,0.6039,4.66,lt_40,opponent_strength_bucket=lt_40,0.5931,paper_eligible,"Opening price 55.7% ≤ 68.0% threshold, ≥2.5pp buffer below max entry",0.705,-239,0.585,2.77,LOSS,-55.73
2023-04-07,KC@SF,,KC,SF,B. Keller,A. Cobb,-151,0.6012,,0.6039,0.27,lt_40,opponent_strength_bucket=lt_40,0.8552,paper_eligible,"Opening price 60.1% ≤ 68.0% threshold, ≥2.5pp buffer below max entry",0.705,-239,0.6606,5.94,LOSS,-60.12
2023-04-08,KC@SF,,KC,SF,B. Singer,S. Manaea,-123,0.5515,,0.6039,5.24,lt_40,opponent_strength_bucket=lt_40,0.5594,paper_eligible,"Opening price 55.1% ≤ 68.0% threshold, ≥2.5pp buffer below max entry",0.705,-239,0.5829,3.14,LOSS,-55.15
2023-04-10,KC@TEX,,KC,TEX,Z. Greinke,A. Heaney,-142,0.5872,,0.6039,1.67,lt_40,opponent_strength_bucket=lt_40,0.5515,paper_eligible,"Opening price 58.7% ≤ 68.0% threshold, ≥2.5pp buffer below max entry",0.705,-239,0.6106,2.34,WIN,41.28
2023-04-12,KC@TEX,,KC,TEX,B. Keller,N. Eovaldi,-159,0.6144,,0.6039,-1.05,lt_40,opponent_strength_bucket=lt_40,0.6763,paper_eligible,"Opening price 61.4% ≤ 68.0% threshold, ≥2.5pp buffer below max entry",0.705,-239,0.6007,-1.37,LOSS,-61.44
2023-04-22,COL@PHI,,COL,PHI,K. Freeland,C. Sanchez,-154,0.6066,,0.6039,-0.27,lt_40,opponent_strength_bucket=lt_40,0.5266,paper_eligible,"Opening price 60.7% ≤ 68.0% threshold, ≥2.5pp buffer below max entry",0.705,-239,0.6153,0.87,WIN,39.34
2023-04-23,KC@LAA,,KC,LAA,J. Lyles,R. Detmers,-177,0.6394,,0.6039,-3.55,lt_40,opponent_strength_bucket=lt_40,0.8864,paper_eligible,"Opening price 63.9% ≤ 68.0% threshold, ≥2.5pp buffer below max entry",0.705,-239,0.6617,2.23,WIN,36.06
2023-04-24,COL@CLE,,COL,CLE,A. Gomber,C. Quantrill,-177,0.6394,,0.6039,-3.55,lt_40,opponent_strength_bucket=lt_40,0.5952,paper_eligible,"Opening price 63.9% ≤ 68.0% threshold, ≥2.5pp buffer below max entry",0.705,-239,0.6424,0.3,LOSS,-63.94
